Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2022-07-08,1,+42,43,True,334,15.58,DEJAVU,TWICE,What Is Love,40,37,2,200,111,4,2000000,111000,200000,0.87,0.05,0.09,2311000,315,19,0,1,7
2022-07-08,2,-1,1,False,259,1.75,LOVE DIVE,IVE,LOVE DIVE,20,20,1,100,60,2,1000000,60000,100000,0.86,0.05,0.09,1160000,162,59,38,1,6
2022-07-08,3,+3,6,False,242,2.74,FEARLESS,LE SSERAFIM,FEARLESS,20,19,2,100,57,4,1000000,57000,200000,0.8,0.05,0.16,1257000,161,43,38,1,10
2022-07-08,4,=,4,False,218,2.14,Flip That,Loona,Summer Special [Flip That],17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,44,36,3,3
2022-07-08,5,=,5,False,214,2.14,ELEVEN,IVE,ELEVEN,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,44,32,2,7
2022-07-08,6,+4,10,True,209,3.36,POP!,NAYEON,IM NAYEON,21,21,1,105,63,2,1050000,63000,100000,0.87,0.05,0.08,1213000,170,39,0,6,2
2022-07-08,7,+2,9,False,203,2.25,Pale Blue Dot,Loona,Summer Special [Flip That],16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,40,33,4,3
2022-07-08,8,=,8,False,200,2.17,The Great Mermaid,LE SSERAFIM,FEARLESS,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,41,29,3,6
2022-07-08,9,-6,3,False,198,2.24,Up!,Kep1er,DOUBLAST,18,18,1,90,54,2,900000,54000,100000,0.85,0.05,0.09,1054000,146,45,7,3,3
2022-07-08,10,-8,2,False,198,2.07,CLASSY,CLASS:y,LIVES ACROSS,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,45,15,2,4
2022-07-08,11,+11,22,False,189,3.93,O.O,NMIXX,AD MARE,17,17,1,85,51,2,850000,51000,100000,0.85,0.05,0.1,1001000,138,28,23,1,15
2022-07-08,12,+2,14,False,185,2.61,Vanilla,LIGHTSUM,Vanilla,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,36,19,4,4
2022-07-08,13,+11,24,False,180,3.64,Feel My Rhythm,Red Velvet,‘The ReVe Festival 2022 - Feel My Rhythm’,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,28,22,3,14
