Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2022-08-05,1,+1,2,True,False,306,0.0,This Love (Taylor’s Version),Taylor Swift,This Love (Taylor’s Version),26,24,3,130,72,6,36786750,5939,33342840,0.8,0.08,0.12,182903,208,92,6,1,11,1
2022-08-05,2,-1,1,False,False,285,-0.07,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),23,23,1,115,69,2,31081049,5436,10617300,0.86,0.1,0.05,154959,186,93,6,1,15,4
2022-08-05,3,RE,--,True,False,281,--,Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version),41,20,8,205,60,16,56352450,4808,86384160,0.77,0.04,0.19,231357,281,0,0,3,7,1
2022-08-05,4,-1,3,False,False,256,-0.12,august,Taylor Swift,folklore,20,20,2,100,60,4,29510250,5160,23177340,0.81,0.09,0.1,151116,164,88,4,1,14,1
2022-08-05,5,RE,--,True,False,224,--,Dreams Come True,aespa,Dreams Come True - SM STATION,30,20,7,150,60,14,42706125,4979,78274350,0.73,0.05,0.21,197904,224,0,0,5,2,1
2022-08-05,6,+2,8,False,False,221,0.71,LOVE DIVE,IVE,LOVE DIVE,19,17,2,95,51,4,26059687,4078,21550860,0.81,0.08,0.11,127148,150,39,32,1,10,4
2022-08-05,7,-2,5,False,False,209,0.51,POP!,NAYEON,IM NAYEON,17,17,1,85,51,2,26310900,4601,12153420,0.84,0.09,0.06,132055,138,42,29,4,7,2
2022-08-05,8,NEW,--,True,False,196,--,FOREVER 1,Girls' Generation,FOREVER 1 - The 7th Album,27,15,8,135,45,16,40228650,3908,93612960,0.7,0.04,0.26,181650,196,0,0,8,1,1
2022-08-05,9,+57,66,False,False,186,4.47,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,Red (Taylor's Version),22,19,4,110,57,8,34367025,5190,49065480,0.76,0.07,0.17,171360,175,11,0,2,24,3
2022-08-05,10,=,10,False,False,186,0.49,CRUEL,TWICE,Formula of Love: O+T=<3,16,16,1,80,48,2,23331000,4080,11453130,0.84,0.09,0.07,117348,130,38,18,7,9,1
