Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2022-08-19,1,NEW,--,True,False,305,--,My Satisfaction,IVE,After LIKE,38,37,2,190,111,4,59690400,10163,24668280,0.85,0.09,0.06,294833,305,0,0,1,1,1
2022-08-19,2,NEW,--,True,False,297,--,After LIKE,IVE,After LIKE,37,36,2,185,108,4,52564050,8944,22318920,0.85,0.09,0.06,259875,297,0,0,2,1,1
2022-08-19,3,=,3,False,False,266,0.52,LOVE DIVE,IVE,LOVE DIVE,21,19,3,105,57,6,28802812,4558,32326290,0.78,0.08,0.14,143878,168,53,45,1,12,4
2022-08-19,4,NEW,--,True,False,218,--,libidO,OnlyOneOf,Instinct Pt. 1,30,16,10,150,48,20,47557125,3628,101880900,0.68,0.04,0.28,177184,218,0,0,4,1,1
2022-08-19,5,-4,1,False,False,201,-0.1,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),9,9,2,45,27,4,12162150,2127,21234600,0.72,0.08,0.2,65940,76,68,57,1,17,5
2022-08-19,6,-4,2,False,False,200,-0.05,This Love (Taylor’s Version),Taylor Swift,This Love (Taylor’s Version),9,9,1,45,27,2,12733875,2227,11114280,0.8,0.09,0.11,65569,74,64,62,1,13,1
2022-08-19,7,-2,5,False,False,177,0.07,Dreams Come True,aespa,Dreams Come True - SM STATION,10,10,1,50,30,2,14235375,2489,11182050,0.81,0.09,0.1,72912,82,50,45,5,4,2
2022-08-19,8,+1,9,False,False,169,0.13,POP!,NAYEON,IM NAYEON,10,10,1,50,30,2,15477000,2706,12153420,0.81,0.09,0.1,79233,82,45,42,4,9,2
2022-08-19,9,-5,4,False,False,169,-0.03,august,Taylor Swift,folklore,8,8,1,40,24,2,11804100,2064,11588670,0.79,0.09,0.12,61166,66,53,50,1,12,1
2022-08-19,10,-3,7,False,False,165,0.09,Illusion,aespa,Girls - The 2nd Mini Album,10,10,1,50,30,2,13398000,2343,10526940,0.81,0.09,0.1,68649,82,46,37,7,4,1
2022-08-19,11,-5,6,False,False,163,0.03,Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version),7,7,1,35,21,2,9621150,1682,10798020,0.77,0.09,0.14,50295,58,48,57,3,9,1
2022-08-19,12,+3,15,True,False,162,0.26,Girls,aespa,Girls - The 2nd Mini Album,11,11,1,55,33,2,14547225,2544,10391400,0.82,0.09,0.09,74221,90,39,33,12,4,1
2022-08-19,13,+1,14,False,False,154,0.18,Up!,Kep1er,DOUBLAST,10,10,1,50,30,2,15390375,2691,12085650,0.81,0.09,0.1,78792,82,39,33,4,9,1
2022-08-19,14,-1,13,False,False,151,0.15,Blue Flame,LE SSERAFIM,FEARLESS,9,9,1,45,27,2,13617450,2381,11882340,0.8,0.09,0.11,70091,74,40,37,7,12,2
2022-08-19,15,-5,10,False,False,148,0.0,The Feels,TWICE,Formula of Love: O+T=<3,8,8,1,40,24,2,10810800,1891,10617300,0.79,0.09,0.12,56049,66,45,37,3,21,1
2022-08-19,16,=,16,False,False,143,0.11,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,Red (Taylor's Version),8,8,1,40,24,2,12497100,2185,12266370,0.79,0.09,0.12,64736,66,39,38,2,26,3
2022-08-19,17,-6,11,False,False,142,0.02,REAL YOU,TWICE,Formula of Love: O+T=<3,8,8,1,40,24,2,12104400,2116,11882340,0.79,0.09,0.12,62713,66,42,34,4,12,2
2022-08-19,18,+1,19,False,False,142,0.15,CRUEL,TWICE,Formula of Love: O+T=<3,8,8,1,40,24,2,11665500,2040,11453130,0.79,0.09,0.12,60452,66,38,38,8,11,1
2022-08-19,19,+1,20,False,False,138,0.13,The Great Mermaid,LE SSERAFIM,FEARLESS,8,8,1,40,24,2,10695300,1870,10504350,0.79,0.09,0.12,55454,66,37,35,4,12,1
2022-08-19,20,+4,24,False,False,134,0.44,FOREVER 1,Girls' Generation,FOREVER 1 - The 7th Album,8,8,1,40,24,2,11919600,2084,11701620,0.79,0.09,0.12,61761,66,28,40,8,3,1
2022-08-19,21,-9,12,False,False,134,-0.01,Sour Grapes,LE SSERAFIM,FEARLESS,7,7,1,35,21,2,9358387,1636,10504350,0.77,0.09,0.14,48930,58,41,35,6,11,1
2022-08-19,22,+4,26,False,False,128,0.41,FEARLESS,LE SSERAFIM,FEARLESS,9,9,1,45,27,2,13149675,2299,11475720,0.8,0.09,0.11,67697,74,28,26,1,16,3
2022-08-19,23,-5,18,False,False,126,-0.01,NO PROBLEM (feat. Felix of Stray Kids),NAYEON,IM NAYEON,7,7,1,35,21,2,9216900,1612,10346220,0.77,0.09,0.14,48194,58,39,29,18,9,1
2022-08-19,24,-2,22,False,False,122,0.15,F.I.L.A (Fall in Love Again),TWICE,Formula of Love: O+T=<3,7,7,1,35,21,2,9419025,1647,10572120,0.77,0.09,0.14,49245,58,32,32,7,13,1
2022-08-19,25,+6,31,False,False,121,0.7,Take It,IVE,ELEVEN,9,9,1,45,27,2,14267137,2041,10188090,0.8,0.09,0.11,60116,74,22,25,24,5,1
2022-08-19,26,+1,27,False,False,109,0.24,Butterflies,Red Velvet,RBB - The 5th Mini Album,11,7,3,55,21,6,16611787,1848,35579250,0.71,0.05,0.24,77322,82,27,0,16,4,1
2022-08-19,27,RE,--,False,False,105,--,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),10,10,1,50,30,2,13080375,2288,10278450,0.81,0.09,0.1,67032,82,0,23,1,37,6
2022-08-19,28,+2,30,False,False,103,0.39,ELEVEN,IVE,ELEVEN,7,7,1,35,21,2,10065825,1760,11295000,0.77,0.09,0.14,52605,58,23,22,1,14,1
2022-08-19,29,NEW,--,True,False,101,--,MY BAG,(G)I-DLE,I NEVER DIE,14,3,11,70,9,22,19040175,713,117535770,0.5,0.01,0.49,92904,101,0,0,29,1,1
2022-08-19,30,RE,--,False,False,101,--,favOriTe,Loona,[+ +],10,10,1,50,30,2,15823500,2766,10165500,0.81,0.09,0.1,66297,82,0,19,3,20,3
2022-08-19,31,+15,46,True,False,100,2.12,Baby Don’t Stop,NCT,NCT 2018 EMPATHY,11,11,1,55,33,2,14515462,2539,10368810,0.82,0.09,0.09,74060,90,10,0,31,4,1
2022-08-19,32,-24,8,False,False,95,-0.36,Ghosting,TOMORROW X TOGETHER,minisode1 : Blue Hour,6,6,1,30,18,2,9182250,1605,12017880,0.76,0.09,0.16,48503,50,45,0,8,2,1
2022-08-19,33,-1,32,False,False,92,0.33,O.O,NMIXX,AD MARE,6,6,1,30,18,2,8160075,1427,10685070,0.76,0.09,0.16,43134,50,21,21,1,20,2
2022-08-19,34,-17,17,False,False,81,-0.36,ME,CLC,ME,5,5,1,25,15,2,7435312,1300,11679030,0.73,0.08,0.18,39886,42,39,0,3,15,1
2022-08-19,35,NEW,--,True,False,79,--,Villain,Girls' Generation,FOREVER 1 - The 7th Album,10,7,4,50,21,8,15823500,1936,40662000,0.63,0.05,0.32,66297,79,0,0,35,1,1
2022-08-19,36,-15,21,False,False,76,-0.31,LOVE COUNTDOWN (feat. Wonstein),NAYEON,IM NAYEON,2,2,1,10,6,2,2760450,482,10843200,0.58,0.06,0.36,16835,18,33,25,21,9,1
2022-08-19,37,RE,--,False,False,74,--,Boy,THE BOYZ,THE BOYZ DEBUT ALBUM [THE FIRST],9,9,1,45,27,2,13903312,2431,12130830,0.8,0.09,0.11,71554,74,0,0,29,3,1
2022-08-19,38,-4,34,False,False,70,0.08,LOONATIC,LOOΠΔ / ODD EYE CIRCLE,Max & Match,6,6,1,30,18,2,8523900,1490,11159460,0.76,0.09,0.16,45045,50,20,0,34,9,1
2022-08-19,39,-10,29,False,False,69,-0.12,Maniac,MAX CHANGMIN,DEVIL - The 2nd Mini Album,1,1,1,5,3,2,1466850,256,11520900,0.42,0.05,0.53,10731,10,24,35,16,3,1
2022-08-19,40,RE,--,False,False,66,--,Heart Attack (츄),Loona,Chuu,8,8,1,40,24,2,12173700,2128,11950110,0.79,0.09,0.12,63070,66,0,0,12,16,1
2022-08-19,41,RE,--,False,False,63,--,DEJAVU,TWICE,Summer Nights,5,5,1,25,15,2,7882875,1378,12379320,0.73,0.08,0.18,42273,42,0,21,1,12,1
2022-08-19,42,RE,--,False,False,60,--,UNNATURAL,WJSN,UNNATURAL,6,6,1,30,18,2,8194725,1433,10730250,0.76,0.09,0.16,43316,50,0,10,1,26,4
2022-08-19,43,RE,--,False,False,58,--,Uptown Girl,Westlife,Coast to Coast (Expanded Edition),4,4,1,20,12,2,6121500,1070,12017880,0.7,0.08,0.22,33579,34,0,24,1,5,2
