Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2023-05-26,Kalachuchi,Kalachuchi,Munimuni,3,3,1
2023-05-26,Hot n Cold,One of the Boys,Katy Perry,2,2,1
2023-05-26,Thinking of You,One of the Boys,Katy Perry,1,1,1
2023-05-26,Waking Up in Vegas,One of the Boys,Katy Perry,2,2,1
2023-05-26,I Kissed a Girl,One of the Boys,Katy Perry,1,1,1
2023-05-26,All of Me,Love in the Future (Expanded Edition),John Legend,2,2,1
2023-05-26,Domino,Who You Are (Platinum Edition),Jessie J,1,1,1
2023-05-26,Dance Again (feat. Pitbull),Dance Again...The Hits,Jennifer Lopez,1,1,1
2023-05-26,Right Round (feat. Ke$ha),R.O.O.T.S. (Route Of Overcoming The Struggle),Flo Rida,1,1,1
2023-05-26,Pompeii,Bad Blood,Bastille,1,1,1
2023-05-26,Uptown Girl,Coast to Coast (Expanded Edition),Westlife,1,1,1
2023-05-26,Hinahanap-Hanap Kita,Greatest Hits,Rivermaya,10,5,5
2023-05-26,Tadhana,Capacities,Up Dharma Down,1,1,1
2023-05-26,I Think He Knows,Lover,Taylor Swift,6,4,3
2023-05-26,Back to You - From 13 Reasons Why – Season 2 Soundtrack,Back to You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,4,4,1
2023-05-26,You Belong with Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,10,10,1
2023-05-26,Locked Out of Heaven,Unorthodox Jukebox,Bruno Mars,3,3,1
2023-05-26,Midnight Rain,Midnights,Taylor Swift,5,5,1
2023-05-26,Young and Beautiful,Young and Beautiful,Lana Del Rey,3,2,2
2023-05-26,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,4,4,1
2023-05-26,I miss you I’m sorry,minor,Gracie Abrams,3,3,1
2023-05-26,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,7,7,1
2023-05-26,I know it won't work,Good Riddance,Gracie Abrams,2,2,1
2023-05-26,Cruel Summer,Lover,Taylor Swift,4,2,3
2023-05-26,drivers license,SOUR,Olivia Rodrigo,1,1,1
2023-05-26,Kiss You,Take Me Home (Expanded Edition),One Direction,2,2,1
2023-05-26,Lavender Haze,Midnights,Taylor Swift,2,2,1
2023-05-26,Wolves,Wolves,Selena Gomez,1,1,1
2023-05-26,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-05-26,watch,dont smile at me,Billie Eilish,1,1,1
2023-05-26,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2023-05-26,IDGAF,Dua Lipa (Deluxe),Dua Lipa,3,3,1
2023-05-26,High Infidelity,Midnights (3am Edition),Taylor Swift,1,1,1
2023-05-26,CUFF IT,RENAISSANCE,Beyoncé,1,1,1
2023-05-26,Best,Good Riddance,Gracie Abrams,2,2,1
2023-05-26,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,1,1,1
2023-05-26,What the Hell,Goodbye Lullaby (Expanded Edition),Avril Lavigne,3,3,1
2023-05-26,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-05-26,Cupid - Twin Ver.,The Beginning: Cupid,Fifty Fifty,1,1,1
2023-05-26,Reckless,Reckless,Madison Beer,1,1,1
2023-05-26,You're on Your Own Kid,Midnights,Taylor Swift,1,1,1
2023-05-26,Dance the Night (From Barbie the Album),Dance the Night (From Barbie the Album),Dua Lipa,1,1,1
2023-05-26,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,6,4,3
2023-05-26,Unholy (feat. Kim Petras),Gloria,Sam Smith,1,1,1
2023-05-26,Happier Than Ever,Happier Than Ever,Billie Eilish,1,1,1
2023-05-26,Death by a Thousand Cuts,Lover,Taylor Swift,2,2,1
2023-05-26,Difficult,Good Riddance,Gracie Abrams,3,3,1
2023-05-26,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-05-26,Say Yes to Heaven,Say Yes to Heaven,Lana Del Rey,1,1,1
2023-05-26,Blank Space,1989 (Deluxe),Taylor Swift,3,3,1
2023-05-26,Lose You to Love Me,Rare,Selena Gomez,1,1,1
2023-05-26,Karma,Midnights,Taylor Swift,2,2,1
2023-05-26,TV,Guitar Songs,Billie Eilish,1,1,1
2023-05-26,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2,2,1
2023-05-26,Summertime Sadness,Born to Die - The Paradise Edition,Lana Del Rey,1,1,1
2023-05-26,Holy Ground (Taylor's Version),Red (Taylor's Version),Taylor Swift,10,4,7
2023-05-26,21,minor,Gracie Abrams,3,3,1
2023-05-26,As It Was,Harry's House,Harry Styles,1,1,1
2023-05-26,Snow on the Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),Taylor Swift,1,1,1
2023-05-26,Anti-Hero,Midnights (The Til Dawn Edition),Taylor Swift,3,3,1
2023-05-26,Maroon,Midnights (The Til Dawn Edition),Taylor Swift,1,1,1
2023-05-26,Karma (feat. Ice Spice),Midnights (The Til Dawn Edition),Taylor Swift,66,66,1
2023-05-26,Snow on the Beach (feat. more Lana Del Rey),Midnights (The Til Dawn Edition),Taylor Swift,105,57,49
2023-05-26,Kung 'Di Rin Lang Ikaw,Kung 'Di Rin Lang Ikaw,December Avenue,33,6,21
2023-05-26,BAMBOLEO,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,14,5,10
2023-05-26,School Life,Mixtape,Stray Kids,1,1,1
2023-05-26,Hero's Soup,I am YOU,Stray Kids,2,2,1
2023-05-26,Airplane,GO LIVE,Stray Kids,1,1,1
2023-05-26,Blueprint,GO LIVE,Stray Kids,1,1,1
2023-05-26,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,1,1,1
2023-05-26,If This Was a Movie (Taylor’s Version),If This Was a Movie (Taylor’s Version),Taylor Swift,1,1,1
2023-05-26,Cornelia Street,Lover,Taylor Swift,2,2,1
2023-05-26,Wonderland,1989 (Deluxe),Taylor Swift,1,1,1
2023-05-26,The Story of Us,Speak Now,Taylor Swift,2,2,1
2023-05-26,Hits Different,Midnights (The Til Dawn Edition),Taylor Swift,55,54,2
2023-05-26,I Wish You Would,1989 (Deluxe),Taylor Swift,2,1,2
2023-05-26,Wishful Thinking,This Is What It Feels Like,Gracie Abrams,1,1,1
2023-05-26,Wish You Were Sober,Kid Krow,Conan Gray,1,1,1
2023-05-26,NASA,thank u next,Ariana Grande,1,1,1
2023-05-26,Shout Out to My Ex,Glory Days (Expanded Edition),Little Mix,1,1,1
2023-05-26,London Boy,Lover,Taylor Swift,3,3,1
2023-05-26,the bottom,This Is What It Feels Like,Gracie Abrams,2,2,1
2023-05-26,everytime,Sweetener,Ariana Grande,2,2,1
2023-05-26,The One That Got Away,Teenage Dream,Katy Perry,1,1,1
2023-05-26,Cool for the Summer,Confident,Demi Lovato,1,1,1
2023-05-26,Love Me Like You,Get Weird (Expanded Edition),Little Mix,7,7,1
2023-05-26,Getaway Car,reputation,Taylor Swift,1,1,1
2023-05-26,Sk8er Boi,Let Go,Avril Lavigne,1,1,1
2023-05-26,Wannabe,Spice,Spice Girls,1,1,1
2023-05-26,Lips Are Movin,Title (Deluxe),Meghan Trainor,2,2,1
2023-05-26,Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,1,1,1
2023-05-26,Girlfriend,The Best Damn Thing (Expanded Edition),Avril Lavigne,1,1,1
2023-05-26,Lost the Breakup,Lost The Breakup,Maisie Peters,1,1,1
2023-05-26,Give Your Heart a Break,Unbroken,Demi Lovato,1,1,1
2023-05-26,Fantasy,Daydream,Mariah Carey,1,1,1
2023-05-26,Better When I'm Dancin',Better When I'm Dancin',Meghan Trainor,1,1,1
2023-05-26,Here's to Never Growing Up,Avril Lavigne (Expanded Edition),Avril Lavigne,4,4,1
2023-05-26,She's Kinda Hot,Sounds Good Feels Good (Deluxe),5 Seconds of Summer,1,1,1
2023-05-26,Heart Attack,Demi,Demi Lovato,1,1,1
2023-05-26,Into You,Dangerous Woman,Ariana Grande,1,1,1
2023-05-26,Daydreamin',Yours Truly,Ariana Grande,1,1,1
2023-05-26,Ice Cream (with Selena Gomez),THE ALBUM,BLACKPINK,1,1,1
2023-05-26,Cate’s Brother,Cate’s Brother,Maisie Peters,2,2,1
2023-05-26,Really Don't Care,Demi,Demi Lovato,2,2,1
2023-05-26,Break Free,My Everything (Deluxe),Ariana Grande,1,1,1
2023-05-26,The Feels,Formula of Love: O+T=<3,TWICE,1,1,1
2023-05-26,I’m Trying (Not Friends),You Signed Up For This,Maisie Peters,3,3,1
2023-05-26,In My Dreams,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,4,4,1
2023-05-26,Good Bad Ugly,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,4,4,1
2023-05-26,Beg for Me,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,4,4,1
2023-05-26,Rainbow Halo,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,4,4,1
2023-05-26,Feel My Rhythm,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet,4,4,1
2023-05-26,Nonsense,emails i can't send,Sabrina Carpenter,2,2,1
2023-05-26,Birthday,PRISM,Katy Perry,2,2,1
2023-05-26,Flowers,Endless Summer Vacation,Miley Cyrus,2,2,1
2023-05-26,Toxic,In the Zone,Britney Spears,2,2,1
2023-05-26,Touch,Glory Days (Expanded Edition),Little Mix,2,2,1
2023-05-26,Don't Start Now,Future Nostalgia,Dua Lipa,2,2,1
2023-05-26,The Louvre,Melodrama,Lorde,2,2,1
2023-05-26,Out of the Woods,1989 (Deluxe),Taylor Swift,2,2,1
2023-05-26,Angels Like You,Plastic Hearts,Miley Cyrus,1,1,1
2023-05-26,Womanizer,Circus (Deluxe Version),Britney Spears,1,1,1
2023-05-26,Hard To Love,BORN PINK,BLACKPINK,2,2,1
2023-05-26,29,HOLY FVCK,Demi Lovato,2,2,1
2023-05-26,because i liked a boy,emails i can't send,Sabrina Carpenter,2,2,1
2023-05-26,bury a friend,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,43,2,42
2023-05-26,I Really Like You,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,3,3,1
2023-05-26,Dear Future Husband,Title (Deluxe),Meghan Trainor,3,3,1
2023-05-26,Fallen,Fallen,Lola Amour,2,2,1
2023-05-26,Tayo Na Lang Dalawa,Tayo Na Lang Dalawa,Mayonnaise,1,1,1
2023-05-26,Habang Buhay,Episode,Zack Tabudlo,2,2,1
2023-05-26,Ikaw Pa Rin,Ikaw Pa Rin,MRLD,2,2,1
2023-05-26,Estranghero,Estranghero,Cup of Joe,1,1,1
2023-05-26,Bahala Na,Bahala Na,Kenaniah,1,1,1
2023-05-26,Kung Maging Akin Ka,Kung Maging Akin Ka,Sugarcane,1,1,1
2023-05-26,Jopay,Mayonnaise - (15th Anniversary Remaster),Mayonnaise,1,1,1
2023-05-26,Isang Linggong Pag-Ibig,Buhay At Pag-ibig Ni Imelda Papin,Imelda Papin,1,1,1
2023-05-26,Huwag Mo Nang Itanong,Cutterpillow,Eraserheads,1,1,1
2023-05-26,Huwag Kang Matakot,Natin 99,Eraserheads,1,1,1
2023-05-26,Minsan,Circus,Eraserheads,1,1,1
