Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-04-17,1,'+1,2,True,False,444,0.24,Ocean Avenue,Yellowcard,Ocean Avenue,41,17,5,205,51,10,98717850,7847,82227600,0.84,0.04,0.11,375641,266,107,71,359,358,1,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/2770e3f5cad964e46dbe9e2c3d84be42.png
2026-04-17,2,'+6,8,False,False,401,0.37,Mr. Brightside,The Killers,Hot Fuss,32,26,3,160,78,6,75508125,11092,35579250,0.86,0.08,0.06,349790,244,87,70,293,351,1,21,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-04-17,3,'-2,1,False,False,385,-0.16,Outbound,After,After EP 2,20,20,1,100,60,2,70706212,11575,23629140,0.86,0.09,0.05,341124,162,137,86,459,433,1,9,7,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-04-17,4,'=,4,False,False,284,-0.18,I'm Low on Gas and You Need a Jacket,Pierce the Veil,Collide With the Sky,13,13,1,65,39,2,54573750,7688,35714790,0.84,0.08,0.09,251328,106,104,74,348,373,2,24,2,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-04-17,5,'+1,6,True,False,276,-0.12,Sue me,Audrey Hobert,Who's the Clown?,18,18,1,90,54,2,46786162,8182,11136870,0.87,0.1,0.03,231686,146,93,37,313,186,5,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-17,6,'-1,5,False,False,273,-0.14,Thirst Trap,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,47167312,8249,11227230,0.87,0.1,0.03,233562,154,95,24,318,122,5,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-17,7,'-4,3,False,False,259,-0.26,Drive,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,41672400,7062,20466540,0.84,0.09,0.07,206570,154,105,0,350,0,3,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-17,8,'-1,7,False,False,258,-0.13,Silver Jubilee,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,48879600,8013,11995290,0.87,0.09,0.03,234612,154,88,16,296,80,7,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-17,9,'=,9,False,False,229,-0.1,Eventually,Tame Impala,Currents,12,12,1,60,36,2,37987950,6643,11475720,0.86,0.1,0.04,188839,98,76,55,255,278,4,9,2,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-04-17,10,'+2,12,True,False,219,-0.06,Rodrick Rules,Malcolm Todd,Sweet Boy,15,15,1,75,45,2,39939900,6984,12063060,0.86,0.1,0.04,198485,122,70,27,234,136,10,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-04-17,11,'+2,13,True,False,211,-0.03,Earrings,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,34684650,5600,10481760,0.87,0.09,0.04,166005,130,65,16,218,80,11,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-04-17,12,'+3,15,True,False,211,-0.01,YES GODDD,Slayyyter,WOR$T GIRL IN AMERICA,14,14,1,70,42,2,37032187,6217,11633850,0.86,0.09,0.04,180600,114,64,33,214,166,12,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5fb948085ab415cbe3248727b7839386.png
2026-04-17,13,'+1,14,True,False,208,-0.04,CRANK,Slayyyter,WOR$T GIRL IN AMERICA,14,14,1,70,42,2,33333300,5830,10910970,0.86,0.1,0.04,166012,114,64,30,216,154,13,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5fb948085ab415cbe3248727b7839386.png
2026-04-17,14,'+11,25,True,False,207,0.16,Shooting star,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,38042812,6652,11950110,0.86,0.1,0.04,189210,154,53,0,178,0,14,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-17,15,'-4,11,False,False,204,-0.15,Reality in Motion,Tame Impala,Currents,10,10,1,50,30,2,35729925,6248,12198600,0.86,0.1,0.05,177989,82,72,50,241,252,5,9,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-04-17,16,'+4,20,True,False,200,0.02,BEAT UP CHANEL$,Slayyyter,WOR$T GIRL IN AMERICA,14,14,1,70,42,2,34136025,5969,11656440,0.86,0.1,0.05,170093,114,59,27,197,135,16,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5fb948085ab415cbe3248727b7839386.png
2026-04-17,17,'-1,16,False,False,198,-0.07,Ladygirl,Malcolm Todd,Sweet Boy,15,15,1,75,45,2,35597100,6224,12153420,0.86,0.1,0.05,177331,122,63,13,213,66,16,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-04-17,18,'-1,17,False,False,192,-0.05,Around the World,Red Hot Chili Peppers,Californication (Deluxe Edition),11,11,1,55,33,2,32542125,5691,11114280,0.86,0.1,0.05,162197,90,60,42,203,211,9,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/45dfde4f63a50f3aedeee21f3e9ed033.jpg
2026-04-17,19,'-1,18,False,False,191,-0.05,Parallel Universe,Red Hot Chili Peppers,Californication (Deluxe Edition),11,11,1,55,33,2,30682574,5367,10481760,0.86,0.1,0.05,152985,90,60,41,201,209,10,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/45dfde4f63a50f3aedeee21f3e9ed033.jpg
2026-04-17,20,'-10,10,False,False,189,-0.26,Pork and Beans,Weezer,Weezer (Deluxe Edition),7,7,1,35,21,2,30492000,5090,10888380,0.86,0.09,0.05,148764,58,76,55,254,275,5,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/e6ea145e22093f2a03b54dafe61da18b.jpg
2026-04-17,21,'+5,26,False,False,188,0.06,The Best of Both Worlds,Hannah Montana,Hannah Montana,12,12,1,60,36,2,33731775,5898,12040470,0.86,0.1,0.05,168210,98,53,37,177,185,17,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/3011949f44a8747eb9729aa28e9beff3.jpg
2026-04-17,22,'-3,19,False,False,181,-0.09,My Own Worst Enemy,Lit,A Place in the Sun,9,9,1,45,27,2,28649775,4556,10233270,0.86,0.09,0.05,136654,74,59,48,198,243,2,17,1,https://lastfm.freetls.fastly.net/i/u/300x300/7d8b7d44df2c1365918fccef438e2640.jpg
