Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-05-01,1,'=,1,False,True,373,-0.28,Ocean Avenue,Yellowcard,Ocean Avenue,16,16,1,80,48,2,74786250,9416,35240400,0.87,0.07,0.06,324583,130,155,88,517,444,1,8,3,https://lastfm.freetls.fastly.net/i/u/300x300/2770e3f5cad964e46dbe9e2c3d84be42.png
2026-05-01,2,'+6,8,True,False,325,0.04,Sue me,Audrey Hobert,Who's the Clown?,22,20,3,110,60,6,55292737,9174,33410610,0.83,0.09,0.08,273182,176,94,55,314,276,2,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-01,3,'+1,4,True,False,306,-0.09,Silver Jubilee,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,56517037,9883,11995290,0.87,0.1,0.03,279300,154,101,51,338,258,3,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-01,4,'+3,7,True,False,302,-0.04,Thirst Trap,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,51455250,8999,11227230,0.87,0.1,0.03,254478,154,94,54,314,273,4,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-01,5,'+1,6,False,False,300,-0.05,Drive,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,46881450,8201,10233270,0.87,0.1,0.03,231994,154,95,51,317,259,3,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-01,6,'-3,3,False,False,299,-0.21,Mr. Brightside,The Killers,Hot Fuss,13,13,1,65,39,2,55876012,8715,11859750,0.88,0.09,0.03,261422,106,113,80,378,401,1,23,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-05-01,7,'-2,5,False,False,295,-0.1,Outbound,After,After EP 2,15,13,3,75,39,6,54157950,8155,35443710,0.83,0.08,0.09,256760,120,98,77,328,385,1,11,7,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-05-01,8,'+3,11,True,False,275,0.03,Shooting star,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,50216512,8781,11950110,0.87,0.1,0.03,248570,154,80,41,267,207,8,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-01,9,'-7,2,False,False,274,-0.41,Scotty Doesn't Know,Lustra,Left for Dead,17,15,3,85,45,6,50519700,6872,44095680,0.82,0.07,0.11,232764,136,138,0,462,0,2,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/0bc84f25b105c908d50dc57f7ee9621e.jpg
2026-05-01,10,'-1,9,False,False,259,-0.11,Earrings,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,41354775,6767,10481760,0.87,0.09,0.04,198555,130,87,42,292,211,9,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-01,11,'+1,12,False,False,250,-0.03,Rodrick Rules,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,46084500,8058,12063060,0.87,0.1,0.04,228445,130,77,43,257,219,10,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-01,12,'+19,31,False,False,243,0.8,The Burn,Matchbox Twenty,Mad Season,29,13,5,145,39,10,48813187,3902,76693050,0.77,0.04,0.19,197316,194,40,9,135,46,6,26,1,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2026-05-01,13,'=,13,False,True,243,-0.02,Ladygirl,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,43335600,7578,12153420,0.86,0.1,0.04,215061,130,74,39,247,198,13,5,2,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-01,14,'+5,19,True,False,234,0.24,BEAT UP CHANEL$,Slayyyter,WOR$T GIRL IN AMERICA,18,14,3,90,42,6,41556900,6229,34969320,0.81,0.08,0.11,199045,138,56,40,189,200,14,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/5fb948085ab415cbe3248727b7839386.png
2026-05-01,15,'-1,14,False,False,231,0.01,On My Shoulder,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,37029300,6477,10391400,0.86,0.1,0.04,183939,130,68,33,229,165,14,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-01,16,'-1,15,False,False,231,0.01,4Me 4Me,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,40990950,7168,11498310,0.86,0.1,0.04,203490,130,68,33,229,165,15,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-01,17,'+15,32,True,False,230,0.72,OLD TECHNOLOGY,Slayyyter,WOR$T GIRL IN AMERICA,22,16,3,110,48,6,38519250,5343,31309739,0.82,0.07,0.11,178255,164,40,26,134,133,17,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5fb948085ab415cbe3248727b7839386.png
2026-05-01,18,'-2,16,False,False,226,0.11,I Like To Touch People,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,42801412,6123,10188090,0.86,0.1,0.04,174020,154,60,12,203,64,16,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-01,19,'-9,10,False,False,186,-0.33,I'm Low on Gas and You Need a Jacket,Pierce the Veil,Collide With the Sky,6,4,3,30,12,6,34866562,4771,35714790,0.8,0.07,0.13,162624,48,82,56,276,284,2,26,2,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
