Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
10-24,1,'=,1,False,True,533,0.09,Father Figure,Taylor Swift,The Life of a Showgirl,31,29,3,155,87,6,45024787,7366,34223850,0.82,0.09,0.1,223146,248,146,137,1,4,4,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
10-31,1,'=,1,False,True,372,-0.3,Father Figure,Taylor Swift,The Life of a Showgirl,14,14,1,70,42,2,20333775,3556,11407950,0.83,0.09,0.07,102718,114,159,97,1,5,5,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
11-07,1,'=,1,False,True,277,-0.26,Father Figure,Taylor Swift,The Life of a Showgirl,7,7,1,35,21,2,10166887,1778,11407950,0.77,0.09,0.14,53130,58,111,106,1,6,6,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
11-14,1,'+2,3,True,False,343,0.46,Wherever You Will Go,The Calling,Camino Palmero,40,14,15,200,42,30,58558500,3584,172474650,0.66,0.03,0.31,246330,272,70,0,1,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/085669cc3c4f4177bfd54a17739ec88c.png
11-21,1,'+25,26,True,False,436,2.03,Blue Valentine,NMIXX,Blue Valentine,52,27,15,260,81,30,68168100,6191,154515600,0.7,0.04,0.25,300706,371,43,21,1,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
11-28,1,'=,1,False,True,706,0.62,Blue Valentine,NMIXX,Blue Valentine,74,52,10,370,156,20,97008450,11924,103010400,0.8,0.06,0.14,435064,546,130,28,1,5,2,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
12-05,1,'=,1,False,True,661,-0.06,Blue Valentine,NMIXX,Blue Valentine,47,38,6,235,114,12,61613475,8714,61806240,0.8,0.07,0.13,291109,361,211,87,1,6,3,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
12-12,1,'=,1,False,True,542,-0.18,Blue Valentine,NMIXX,Blue Valentine,26,17,10,130,51,20,34084050,3898,103010400,0.64,0.05,0.31,169547,201,198,141,1,7,4,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
12-19,1,'=,1,False,True,533,-0.02,Blue Valentine,NMIXX,Blue Valentine,32,19,10,160,57,20,41949600,4357,103010400,0.69,0.05,0.27,195139,237,162,132,1,8,5,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
12-26,1,'=,1,False,True,490,-0.08,Blue Valentine,NMIXX,Blue Valentine,31,20,3,155,60,6,40638675,4586,30903120,0.84,0.06,0.1,172746,221,159,108,1,9,6,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
