Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2026-02-20,59,'-46,13,False,False,62,-0.65,What is Love?,TWICE,What is Love?,7,6,2,5,3,2,1544812,270,12130830,0.42,0.05,0.53,11298,10,52,0,13,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/ec18d8cc76a5690887f84ecaae4d63ac.jpg
2026-02-20,60,'-17,43,False,False,61,-0.38,Feeling This,blink-182,blink-182,6,6,1,10,6,2,2616075,457,10278450,0.58,0.06,0.36,15960,18,29,14,1,36,1,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-02-20,61,RE,--,False,False,58,--,Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,8,4,3,40,12,6,11088000,969,32665140,0.66,0.04,0.31,50715,58,0,0,15,13,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-02-20,62,NEW,--,True,False,58,--,Disciples,Tame Impala,Currents,7,7,1,35,21,2,11015812,1926,12356730,0.77,0.09,0.14,57540,58,0,0,62,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,63,'-4,59,False,False,57,0.02,for the night,Madison Beer,locket,5,5,1,15,9,2,4114687,719,10775430,0.65,0.07,0.27,23422,26,16,15,33,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/023ac76bfb2539febd354f53e98046b2.png
2026-02-20,64,'+5,69,False,False,56,0.22,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,5,4,1,20,12,2,5289900,925,10391400,0.7,0.08,0.22,29042,34,13,9,1,26,3,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2026-02-20,65,'-5,60,False,False,55,0.04,you're still everything,Madison Beer,locket,5,5,1,15,9,2,4617112,807,12085650,0.65,0.07,0.27,26264,26,15,14,36,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/023ac76bfb2539febd354f53e98046b2.png
2026-02-20,66,'-44,22,False,False,53,-0.63,Good Riddance (Time of Your Life),Green Day,Nimrod,6,3,3,0,0,0,0,0,0,0,0,0,0,0,43,10,14,43,1,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2026-02-20,67,NEW,--,True,False,50,--,The Less I Know the Better,Tame Impala,Currents,6,6,1,30,18,2,9078300,1587,11882340,0.76,0.09,0.16,47957,50,0,0,67,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,68,NEW,--,True,False,50,--,New Person Same Old Mistakes,Tame Impala,Currents,6,6,1,30,18,2,8939700,1563,11701620,0.76,0.09,0.16,47229,50,0,0,68,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,69,NEW,--,True,False,50,--,Love/Paranoia,Tame Impala,Currents,6,6,1,30,18,2,8506575,1487,11136870,0.76,0.09,0.16,44954,50,0,0,69,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-02-20,70,RE,--,False,False,50,--,21,Gracie Abrams,minor,7,3,3,35,9,6,10166887,762,34223850,0.63,0.03,0.34,46046,50,0,0,23,17,1,https://lastfm.freetls.fastly.net/i/u/300x300/40693c1652f55d6cb3d63911000a4bb7.jpg
2026-02-20,71,'-15,56,False,False,50,-0.23,Actually Romantic,Taylor Swift,The Life of a Showgirl,5,4,1,10,6,2,3049200,533,11972700,0.58,0.06,0.36,18585,18,19,13,2,19,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-02-20,72,RE,--,True,False,48,--,The Reason,Hoobastank,Best Of,6,4,3,30,12,6,9390150,1094,36866880,0.59,0.04,0.37,49595,48,0,0,72,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/cfc5540c7384c437d8725b4bc3c4e62c.png
2026-02-20,73,'+12,85,False,False,46,0.15,House Tour,Sabrina Carpenter,Man’s Best Friend,4,4,1,15,9,2,4305262,752,11272410,0.65,0.07,0.27,24500,26,12,8,15,26,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
