Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2026-01-23,1,'=,1,False,True,602,0.01,Mr. Brightside,The Killers,Hot Fuss,44,27,5,220,81,10,66447150,7130,59298750,0.83,0.06,0.12,279832,311,179,110,1,9,4,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-01-23,2,'=,2,False,True,319,-0.23,Smile Like You Mean It,The Killers,Hot Fuss,25,21,3,125,63,6,33855937,4974,31919670,0.8,0.08,0.12,161896,194,124,0,2,2,2,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-01-23,3,'+2,5,True,False,261,-0.06,Stateside,PinkPantheress,Fancy That,16,6,7,80,18,14,25132800,1648,86338980,0.63,0.03,0.34,111041,112,83,64,3,10,1,https://lastfm.freetls.fastly.net/i/u/300x300/1b93da0254fdeec7307cb3f1d1e16cee.png
2026-01-23,4,'-1,3,False,False,255,-0.2,Blue Valentine,NMIXX,Blue Valentine,8,4,5,40,12,10,10487400,917,51505200,0.54,0.03,0.43,54383,62,95,96,1,13,6,https://lastfm.freetls.fastly.net/i/u/300x300/0f02d5e23e1ee4763e13c17f80bd9030.jpg
2026-01-23,5,'-1,4,False,False,240,-0.18,Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,Love Drunk,8,8,1,40,24,2,11873400,2076,11656440,0.79,0.09,0.12,61523,66,87,85,3,20,3,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-01-23,6,NEW,--,True,False,223,--,bad enough,Madison Beer,locket,30,19,8,150,57,16,42706125,4730,89456400,0.71,0.05,0.24,197904,223,0,0,6,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/023ac76bfb2539febd354f53e98046b2.png
2026-01-23,7,'+1,8,True,False,220,-0.09,She's Got A Boyfriend Now,Boys Like Girls,Love Drunk,10,8,3,50,24,6,15101625,2112,35579250,0.68,0.06,0.26,77322,80,72,66,7,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-01-23,8,'-1,7,False,False,210,-0.14,My Own Worst Enemy,Lit,A Place in the Sun,9,5,3,45,15,6,11720362,1139,30699810,0.68,0.04,0.28,54026,66,72,71,5,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/7d8b7d44df2c1365918fccef438e2640.jpg
2026-01-23,9,'+4,13,False,False,206,-0.02,Down,blink-182,blink-182,11,7,3,55,21,6,16135350,1795,34562700,0.71,0.05,0.24,75117,82,63,59,1,46,7,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-01-23,10,'+1,11,False,True,190,-0.12,Heart Heart Heartbreak,Boys Like Girls,Love Drunk,7,7,1,35,21,2,9944550,1739,11159460,0.77,0.09,0.14,51975,58,65,65,10,5,2,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-01-23,11,'+12,23,True,False,189,0.12,Somebody Told Me,The Killers,Hot Fuss,17,17,1,85,51,2,22285725,3898,10301040,0.84,0.09,0.06,111965,138,50,0,11,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-01-23,12,'-6,6,False,False,187,-0.25,Always,blink-182,blink-182,6,6,1,30,18,2,7796250,1363,10210680,0.76,0.09,0.16,41223,50,75,61,3,49,1,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-01-23,13,'-1,12,False,False,185,-0.13,Chemicals Collide,Boys Like Girls,Love Drunk,7,7,1,35,21,2,9600937,1679,10775430,0.77,0.09,0.14,50190,58,63,62,12,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-01-23,14,RE,--,False,False,183,--,Body Better,Maisie Peters,Body Better,25,6,20,125,18,40,35010937,1469,220026600,0.49,0.01,0.49,174216,183,0,0,3,20,1,https://lastfm.freetls.fastly.net/i/u/300x300/d7990e5a524a0138397a44a148fc5bb8.jpg
2026-01-23,15,'=,15,False,False,179,-0.12,Supermassive Black Hole,Muse,Black Holes and Revelations,6,4,3,30,12,6,8471925,987,33275070,0.59,0.04,0.37,44772,48,61,68,3,9,2,https://lastfm.freetls.fastly.net/i/u/300x300/e6d4821f6a554c7bc882a9fa75070dfe.jpg
2026-01-23,16,'-6,10,False,False,175,-0.21,After LIKE,IVE,After LIKE,4,4,1,20,12,2,5682600,993,11159460,0.7,0.08,0.22,31185,34,66,73,1,66,5,https://lastfm.freetls.fastly.net/i/u/300x300/28ef1a80f80920cb8c84192ad66f8aac.jpg
2026-01-23,17,'+2,19,False,False,174,-0.08,I'll Believe in Anything,Wolf Parade,Apologies to the Queen Mary,7,7,1,35,21,2,9863700,1725,11069100,0.77,0.09,0.14,51555,58,57,58,5,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/f5d8d15658744ff0cf773f7adad2f437.png
2026-01-23,18,'+3,21,False,False,173,-0.07,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,6,6,1,30,18,2,8073450,1412,10572120,0.76,0.09,0.16,42679,50,55,66,3,17,3,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-01-23,19,'+1,20,False,False,168,-0.11,Thnks fr th Mmrs,Fall Out Boy,Infinity on High,6,4,3,30,12,6,8731800,1018,34291620,0.59,0.04,0.37,46137,48,56,62,8,25,2,https://lastfm.freetls.fastly.net/i/u/300x300/b01817dacd044f7d9389e6b69933330b.png
2026-01-23,20,'+17,37,True,False,164,0.44,Hot & Sexy,Zara Larsson,Midnight Sun,20,3,10,100,9,20,30838500,808,121082400,0.61,0.01,0.38,124047,129,34,0,20,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/d0c78dc3a80e2e45ac4972089360a051.jpg
2026-01-23,21,'+11,32,False,True,162,0.24,All the Things She Said,t.A.T.u.,200 KM/H In The Wrong Lane (10th Anniversary Edition),9,7,2,45,21,4,13877325,1887,24216480,0.73,0.06,0.2,67662,70,39,51,21,6,2,https://lastfm.freetls.fastly.net/i/u/300x300/1f3d3053ba7f3a5b04ab93283d435b21.jpg
2026-01-23,22,'+2,24,False,False,162,0.03,Sports car,Tate McRae,So Close to What,8,4,5,40,12,10,10764600,941,52860600,0.54,0.03,0.43,55811,62,47,51,1,46,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2026-01-23,23,'+4,27,False,False,161,0.13,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,10,5,3,50,15,6,13080375,1144,30835350,0.7,0.04,0.26,57456,71,42,46,10,24,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
