Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-03-13,1,'=,1,False,True,687,0.14,Outbound,After,After EP 2,49,43,3,245,129,6,135394875,18416,106331130,0.82,0.07,0.1,619892,380,180,127,603,639,1,4,3,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-13,2,'=,2,False,False,390,0.0,Mr. Brightside,The Killers,Hot Fuss,25,25,1,125,75,2,73997962,10299,47439000,0.84,0.08,0.09,338744,202,117,71,390,356,1,16,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-03-13,3,'=,3,False,True,323,-0.07,Deep Diving,After,After EP 2,20,20,1,100,60,2,57207150,9748,11520900,0.88,0.1,0.03,279006,162,104,57,348,287,3,4,2,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-13,4,'+10,14,True,False,321,0.15,Eventually,Tame Impala,Currents,24,24,1,120,72,2,56981925,9454,11475720,0.88,0.09,0.03,274351,194,84,43,280,216,4,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-03-13,5,'=,5,False,True,313,-0.01,The Field,After,After EP 2,20,20,1,100,60,2,57276450,9752,11837160,0.88,0.1,0.03,279300,162,95,56,317,284,5,4,3,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-13,6,'-2,4,False,False,313,-0.04,Baroque,After,After EP 2,19,19,1,95,57,2,48504225,8484,10301040,0.87,0.1,0.03,239925,154,97,62,325,312,3,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-13,7,'+9,16,False,False,298,0.14,Reality in Motion,Tame Impala,Currents,23,23,1,115,69,2,55925100,9779,12198600,0.87,0.1,0.03,276451,186,78,34,262,174,5,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
2026-03-13,8,'+3,11,False,False,296,-0.02,Where we are now,After,After EP 2,19,19,1,95,57,2,54371625,9507,12198600,0.87,0.1,0.03,268877,154,90,52,303,264,6,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-13,9,'+3,12,False,False,294,-0.0,Close your eyes,After,After EP 2,19,19,1,95,57,2,47196187,8255,10594710,0.87,0.1,0.03,233590,154,88,52,295,264,7,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-13,10,'+24,34,False,False,289,0.78,Down,blink-182,blink-182,25,25,1,125,75,2,49872900,8209,34562700,0.82,0.09,0.09,246813,202,48,39,162,195,1,54,7,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-03-13,11,'+6,17,False,False,288,0.14,Stateside,PinkPantheress,Fancy That,22,22,1,110,66,2,54978000,8789,24668280,0.85,0.09,0.06,264201,178,75,35,253,177,3,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c3b94a8c2de9fc832fca701f48a85f4.jpg
2026-03-13,12,'+1,13,False,False,283,-0.02,My Own Worst Enemy,Lit,A Place in the Sun,20,20,1,100,60,2,45579187,6834,30699810,0.83,0.08,0.09,216104,162,86,35,288,178,2,12,1,https://lastfm.freetls.fastly.net/i/u/300x300/7d8b7d44df2c1365918fccef438e2640.jpg
2026-03-13,13,'+10,23,False,False,264,0.26,She's Got A Boyfriend Now,Boys Like Girls,Love Drunk,23,23,1,115,69,2,46815037,8186,11859750,0.87,0.1,0.03,231966,186,63,15,210,78,5,12,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-03-13,14,'+10,24,False,False,263,0.26,Chemicals Collide,Boys Like Girls,Love Drunk,23,23,1,115,69,2,42518437,7437,10775430,0.87,0.1,0.03,210798,186,62,15,208,75,9,12,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
