Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-03-06,1,'=,1,False,True,603,-0.06,Outbound,After,After EP 2,53,41,5,265,123,10,120351000,14996,118145700,0.81,0.06,0.13,539196,398,191,14,639,74,1,3,2,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-06,2,'=,2,False,False,390,0.1,Mr. Brightside,The Killers,Hot Fuss,27,22,4,135,66,8,77018287,8979,83018250,0.8,0.06,0.14,338744,209,106,75,356,377,1,15,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-03-06,3,'+1,4,True,False,348,0.21,Deep Diving,After,After EP 2,31,29,3,155,87,6,61607700,10261,34562700,0.84,0.09,0.07,304045,248,86,14,287,74,3,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-06,4,'-1,3,False,False,325,0.04,Baroque,After,After EP 2,27,27,1,135,81,2,51126075,8943,10301040,0.87,0.1,0.03,252721,218,93,14,312,74,3,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-06,5,'=,5,False,True,317,0.12,The Field,After,After EP 2,27,27,1,135,81,2,57276450,9752,11837160,0.88,0.1,0.03,279300,218,85,14,284,74,5,3,2,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-06,6,'+5,11,True,False,316,0.23,300 dreams,After,After EP,28,28,1,140,84,2,59032050,10322,12198600,0.87,0.1,0.03,291599,226,76,14,256,74,6,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-03-06,7,'+2,9,True,False,308,0.2,Lichen,After,After EP,27,27,1,135,81,2,51816187,9062,11001330,0.87,0.1,0.03,256200,218,76,14,256,74,7,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-03-06,8,'+2,10,True,False,308,0.2,Ever,After,After EP,27,27,1,135,81,2,57158062,9995,12130830,0.87,0.1,0.03,282450,218,76,14,256,74,8,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-03-06,9,'+3,12,True,False,306,0.23,Obvious,After,After EP,27,27,1,135,81,2,48824737,8540,10368810,0.87,0.1,0.03,241499,218,74,14,248,74,9,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-03-06,10,'+3,13,True,False,306,0.23,Nothingmore,After,After EP,27,27,1,135,81,2,57478575,10051,12198600,0.87,0.1,0.03,284025,218,74,14,248,74,10,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-03-06,11,'-5,6,False,False,303,0.15,Where we are now,After,After EP 2,26,26,1,130,78,2,55925100,9779,12198600,0.87,0.1,0.03,276451,210,79,14,264,74,6,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-06,12,'-5,7,False,False,295,0.12,Close your eyes,After,After EP 2,25,25,1,125,75,2,47196187,8255,10594710,0.87,0.1,0.03,233590,202,79,14,264,74,7,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-03-06,13,'+5,18,False,False,288,0.62,My Own Worst Enemy,Lit,A Place in the Sun,26,22,3,130,66,6,48183712,6150,51166350,0.8,0.07,0.14,219282,202,53,33,178,169,2,11,1,https://lastfm.freetls.fastly.net/i/u/300x300/7d8b7d44df2c1365918fccef438e2640.jpg
2026-03-06,14,'=,14,False,False,280,0.3,Eventually,Tame Impala,Currents,22,22,1,110,66,2,49676550,8176,34427160,0.82,0.09,0.09,245847,178,64,38,216,190,7,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/dd45b0438a315aed98b5830aa2fc43c5.jpg
