Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-03-27,69,'-9,60,False,False,64,-0.14,Dreamin',Weezer,Weezer (Red Album),5,5,1,25,15,2,9580725,1675,10752840,0.77,0.09,0.14,50085,42,22,0,74,0,60,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/90d314e8b6456111f7ab90583e2df277.png
2026-03-27,70,'+22,92,False,False,62,0.48,May These Noises Startle You in Your Sleep Tonight,Pierce the Veil,Collide With the Sky,6,6,1,30,18,2,9277537,1622,10413990,0.77,0.09,0.14,48510,50,12,0,42,0,3,24,2,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,71,'+22,93,False,False,62,0.48,King for a Day,Pierce the Veil,Collide With the Sky,6,6,1,30,18,2,10833900,1894,12153420,0.77,0.09,0.14,56595,50,12,0,42,0,12,18,1,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,72,'+22,94,False,False,62,0.48,Hell Above,Pierce the Veil,Collide With the Sky,6,6,1,30,18,2,10126462,1771,11362770,0.77,0.09,0.14,52920,50,12,0,42,0,3,25,1,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,73,'-20,53,False,False,62,-0.23,Always,blink-182,blink-182,2,2,1,10,6,2,7796250,909,20421360,0.67,0.05,0.28,38052,18,24,20,81,101,3,59,1,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2026-03-27,74,'-9,65,False,False,61,-0.08,Hold On Till May,Pierce the Veil,Collide With the Sky,5,5,1,25,15,2,9419025,1647,10572120,0.77,0.09,0.14,49245,42,19,0,66,0,7,22,1,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,75,RE,--,False,False,60,--,Stacy's Mom,Bowling for Soup,I've Never Done Anything Like This,9,3,3,45,9,6,11798325,687,30903120,0.69,0.03,0.29,47985,60,0,0,0,0,1,28,3,https://lastfm.freetls.fastly.net/i/u/300x300/abf1742d09fa4720bc17571555c4a9fb.png
2026-03-27,76,RE,--,False,False,56,--,Tears,Sabrina Carpenter,Man’s Best Friend,7,5,3,35,15,6,9378600,1171,31580820,0.62,0.05,0.33,49035,56,0,0,0,0,14,20,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2026-03-27,77,'=,77,False,False,55,-0.02,Somebody Told Me,The Killers,Hot Fuss,3,3,1,15,9,2,6554625,1146,10301040,0.73,0.08,0.18,35189,26,16,13,56,69,10,11,1,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-03-27,78,'-30,48,False,False,52,-0.46,Hot & Sexy,Zara Larsson,Midnight Sun,1,1,1,5,3,2,7709625,1078,12108240,0.75,0.07,0.19,37590,10,29,13,97,67,6,13,1,https://lastfm.freetls.fastly.net/i/u/300x300/d0c78dc3a80e2e45ac4972089360a051.jpg
2026-03-27,79,'-8,71,False,False,51,-0.12,love is embarrassing,Olivia Rodrigo,GUTS,4,4,1,20,12,2,9182250,1605,12017880,0.76,0.09,0.16,48503,34,17,0,58,0,8,10,1,https://lastfm.freetls.fastly.net/i/u/300x300/e39eb31f874f4a5c4afa836845141437.jpg
2026-03-27,80,'-8,72,False,False,51,-0.12,get him back!,Olivia Rodrigo,GUTS,4,4,1,20,12,2,8645175,1512,11317590,0.76,0.09,0.16,45682,34,17,0,58,0,7,10,1,https://lastfm.freetls.fastly.net/i/u/300x300/e39eb31f874f4a5c4afa836845141437.jpg
2026-03-27,81,NEW,--,True,False,50,--,POSSESSION,Melanie Martinez,HADES,6,6,1,30,18,2,9026325,1578,11814570,0.76,0.09,0.16,47684,50,0,0,0,0,81,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/221c6232bd06fee890484411d675adc7.png
2026-03-27,82,RE,--,False,False,48,--,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6,4,3,30,12,6,7848225,915,30835350,0.59,0.04,0.37,41496,48,0,0,0,0,9,28,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-03-27,83,'-37,46,False,False,47,-0.52,Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),2,2,1,10,6,2,7810687,1365,12266370,0.73,0.08,0.18,41888,18,29,0,98,0,46,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/45dfde4f63a50f3aedeee21f3e9ed033.jpg
2026-03-27,84,'-5,79,False,False,46,-0.13,Manchild,Sabrina Carpenter,Manchild,2,2,1,10,6,2,5705700,997,11204640,0.7,0.08,0.22,31311,18,15,13,53,65,3,31,2,https://lastfm.freetls.fastly.net/i/u/300x300/02acf4d89bcc82933e1f767ed71cb910.jpg
2026-03-27,85,'-15,70,False,False,45,-0.24,Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,Love Drunk,2,2,1,10,6,2,4452525,778,11656440,0.65,0.07,0.27,25333,18,17,10,59,51,3,31,3,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2026-03-27,86,'-6,80,False,False,45,-0.15,Fame Is a Gun,Addison Rae,Addison,2,2,1,10,6,2,6052200,1058,11882340,0.7,0.08,0.22,33201,18,15,12,53,64,1,31,1,https://lastfm.freetls.fastly.net/i/u/300x300/16cf624f60941f15aa0ddef16dba430e.png
2026-03-27,87,'-20,67,False,False,44,-0.3,Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2,2,1,10,6,2,4253287,743,11136870,0.65,0.07,0.27,24206,18,18,8,63,40,6,31,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-03-27,88,'-25,63,False,False,44,-0.36,Red Flavor,Red Velvet,The Red Summer - Summer Mini Album,1,1,1,5,3,2,5786550,759,11362770,0.72,0.06,0.22,28224,10,20,14,69,70,9,21,1,https://lastfm.freetls.fastly.net/i/u/300x300/b23fcb8fe10d1223e09a34f412120d3b.png
2026-03-27,89,RE,--,False,False,43,--,Nice Guys Finish Last,Green Day,Nimrod,4,4,1,20,12,2,7594125,1062,11927520,0.75,0.07,0.19,37030,34,0,9,0,45,1,80,7,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2026-03-27,90,NEW,--,True,False,42,--,two,bbno$,bbno$,5,5,1,25,15,2,7392000,1292,11611260,0.73,0.08,0.18,39655,42,0,0,0,0,90,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/5caf000f76fdebd4e10c29349dfd033b.jpg
2026-03-27,91,RE,--,False,False,42,--,The First Punch,Pierce the Veil,Collide With the Sky,5,5,1,25,15,2,7002187,1224,11001330,0.73,0.08,0.18,37576,42,0,0,0,0,57,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,92,RE,--,False,False,42,--,Taste,Sabrina Carpenter,Short n' Sweet,5,5,1,25,15,2,6641249,1161,10436580,0.73,0.08,0.18,35651,42,0,0,0,0,14,22,1,https://lastfm.freetls.fastly.net/i/u/300x300/9ba24340be42673d5301c97cc5259a5e.png
2026-03-27,93,RE,--,False,False,42,--,Bulls in the Bronx,Pierce the Veil,Collide With the Sky,5,5,1,25,15,2,6597937,1154,10368810,0.73,0.08,0.18,35420,42,0,0,0,0,58,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-03-27,94,'-19,75,False,False,42,-0.25,Beverly Hills,Weezer,Make Believe,3,3,1,15,9,2,7420875,1038,11656440,0.75,0.07,0.19,36190,26,16,0,56,0,4,10,1,https://lastfm.freetls.fastly.net/i/u/300x300/1c8439b16ed4ca4e0bac727e7b325581.jpg
2026-03-27,95,RE,--,False,False,40,--,Tunnel Vision,Magdalena Bay,Imaginal Disk,5,3,3,25,9,6,6785625,712,31987440,0.55,0.04,0.41,36421,40,0,0,0,0,12,20,2,https://lastfm.freetls.fastly.net/i/u/300x300/52fa1790a044da2c763db863bcf0e389.gif
2026-03-27,96,RE,--,False,False,40,--,That's My Floor,Magdalena Bay,Imaginal Disk,5,3,3,25,9,6,7579687,795,35714790,0.55,0.04,0.41,40656,40,0,0,0,0,10,17,1,https://lastfm.freetls.fastly.net/i/u/300x300/52fa1790a044da2c763db863bcf0e389.gif
2026-03-27,97,RE,--,False,False,40,--,Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica),Kyle Gordon,Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica),5,3,3,25,9,6,6511312,683,30699810,0.55,0.04,0.41,34958,40,0,0,0,0,48,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/e240a290c3194df44c6506bf8439ff6e.jpg
2026-03-27,98,RE,--,False,False,40,--,No Surprises,Radiohead,OK Computer,5,3,3,25,9,6,6987750,733,32936220,0.55,0.04,0.41,37499,40,0,0,0,0,69,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/62d26c6cb4ac4bdccb8f3a2a0fd55421.png
2026-03-27,99,RE,--,False,False,40,--,A Moment Like This,Kelly Clarkson,Thankful,5,3,3,25,9,6,6511312,683,30699810,0.55,0.04,0.41,34958,40,0,0,0,0,3,18,1,https://lastfm.freetls.fastly.net/i/u/300x300/0fcb0432dc2d1836a43530ee73ce006e.jpg
2026-03-27,100,'-12,88,False,False,39,-0.11,My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,3,3,1,15,9,2,6121500,1070,12017880,0.7,0.08,0.22,33579,26,13,0,44,0,2,47,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
