Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-05-22,1,NEW,--,True,False,310,--,qUeStIoNs,Maisie Peters,Florescence,39,35,5,195,105,10,59121562,9278,59524650,0.79,0.08,0.13,291984,310,0,0,0,0,1,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/1fd5b13efa64fe46d3906963c4fb4725.jpg
2026-05-22,2,'-1,1,False,False,296,-0.11,Sue me,Audrey Hobert,Who's the Clown?,16,16,1,80,48,2,51039450,8430,11136870,0.88,0.09,0.03,245518,130,99,67,333,335,1,8,2,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-22,3,'+5,8,True,False,291,0.13,BEAT UP CHANEL$,Slayyyter,WOR$T GIRL IN AMERICA,21,20,2,105,60,4,51946125,8046,23312880,0.85,0.09,0.06,246092,169,77,45,258,229,3,9,1,https://lastfm.freetls.fastly.net/i/u/770x0/d60a52a2d3e8eec7d9df29dc18d16ec2.jpg
2026-05-22,4,NEW,--,True,False,282,--,Say My Name In Your Sleep,Maisie Peters,Florescence,37,29,5,185,87,10,50427300,6913,53538300,0.8,0.07,0.13,236075,282,0,0,0,0,4,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/1fd5b13efa64fe46d3906963c4fb4725.jpg
2026-05-22,5,NEW,--,True,False,254,--,Country House - 2012 Remaster,Blur,The Great Escape (Special Edition),33,27,4,165,81,8,47548462,6804,45270360,0.8,0.07,0.12,224896,254,0,0,0,0,5,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/33650d0b12028ac0b0b3b0283bbc2c15.jpg
2026-05-22,6,'-2,4,False,False,237,-0.19,The Burn,Matchbox Twenty,Mad Season,12,10,3,60,30,6,43234537,4634,54780750,0.79,0.05,0.16,187110,96,87,54,292,271,4,29,1,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2026-05-22,7,'-5,2,False,False,232,-0.22,Thirst Trap,Audrey Hobert,Who's the Clown?,10,10,1,50,30,2,38591437,6749,11227230,0.86,0.1,0.04,191730,82,89,61,297,306,2,8,2,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-22,8,'+4,12,True,False,224,-0.09,OLD TECHNOLOGY,Slayyyter,WOR$T GIRL IN AMERICA,15,11,5,75,33,10,37191000,4879,62619479,0.74,0.06,0.2,178255,118,73,33,246,169,8,7,1,https://lastfm.freetls.fastly.net/i/u/770x0/d60a52a2d3e8eec7d9df29dc18d16ec2.jpg
2026-05-22,9,NEW,--,True,False,202,--,My Regards,Maisie Peters,Florescence,25,25,1,125,75,2,35805000,6262,11249820,0.86,0.1,0.04,178143,202,0,0,0,0,9,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/1fd5b13efa64fe46d3906963c4fb4725.jpg
2026-05-22,10,'-5,5,False,False,201,-0.29,Drive,Audrey Hobert,Who's the Clown?,7,7,1,35,21,2,29952037,5239,10233270,0.86,0.1,0.05,149366,58,85,58,285,291,3,7,2,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-22,11,'-5,6,False,False,195,-0.28,Silver Jubilee,Audrey Hobert,Who's the Clown?,7,7,1,35,21,2,35132212,6143,11995290,0.86,0.1,0.05,175028,58,80,57,269,288,3,8,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-22,12,'-3,9,False,False,194,-0.23,Outbound,After,After EP 2,8,8,1,40,24,2,34600912,5787,11814570,0.86,0.09,0.05,168728,66,75,53,253,267,1,14,7,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-05-22,13,'+6,19,True,False,191,-0.17,Ray of Light,Madonna,Ray of Light,13,11,3,65,33,6,29885625,4546,40842720,0.76,0.07,0.17,149037,104,69,18,230,94,13,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/f8954eaed52fc4a524ea6f333aa2464d.png
2026-05-22,14,'+11,25,True,False,190,-0.06,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,18,10,5,90,30,10,34459425,3477,62483939,0.74,0.05,0.21,151998,130,60,0,202,0,14,24,1,https://lastfm.freetls.fastly.net/i/u/300x300/5d859232fed7488a82d37ecabb232fce.png
2026-05-22,15,'-8,7,False,False,190,-0.28,Shooting star,Audrey Hobert,Who's the Clown?,7,7,1,35,21,2,33477675,5854,11950110,0.86,0.1,0.05,166950,58,79,53,264,265,7,7,2,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-22,16,'-5,11,False,False,189,-0.24,Rodrick Rules,Malcolm Todd,Sweet Boy,8,6,3,40,18,6,35331450,5641,36189180,0.79,0.08,0.13,176015,64,74,51,248,256,10,8,2,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-22,17,'-2,15,False,False,184,-0.25,Earrings,Malcolm Todd,Sweet Boy,7,7,1,35,21,2,28014524,4900,10481760,0.85,0.1,0.05,139965,58,73,53,244,265,8,8,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-22,18,'-1,17,False,False,178,-0.26,On My Shoulder,Malcolm Todd,Sweet Boy,7,7,1,35,21,2,26449500,4626,10391400,0.85,0.1,0.05,132307,58,72,48,241,244,12,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-22,19,'-16,3,False,False,175,-0.4,But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,10,6,3,50,18,6,34136025,3633,46625760,0.78,0.05,0.17,148379,74,88,13,294,66,3,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/3e9934e3815f2949acc34415d8931aea.jpg
2026-05-22,20,'-6,14,False,False,173,-0.29,Ladygirl,Malcolm Todd,Sweet Boy,6,6,1,30,18,2,29406300,5142,12153420,0.85,0.1,0.06,147147,50,73,50,245,251,11,8,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-22,21,'-8,13,False,False,170,-0.31,I Like To Touch People,Audrey Hobert,Who's the Clown?,6,6,1,30,18,2,30119512,4309,10188090,0.85,0.1,0.06,123396,50,73,47,246,237,13,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-22,22,'-4,18,False,False,159,-0.32,4Me 4Me,Malcolm Todd,Sweet Boy,5,5,1,25,15,2,26351325,4608,11498310,0.85,0.1,0.06,132090,42,69,48,233,244,13,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
