Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-02-27,1,'+39,40,True,False,639,7.64,Outbound,After,After EP 2,87,48,19,435,144,38,133890487,13154,224476830,0.75,0.05,0.2,579544,617,22,0,74,0,1,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-02-27,2,'-1,1,False,False,356,-0.06,Mr. Brightside,The Killers,Hot Fuss,20,9,6,100,27,12,73997962,6338,106737750,0.78,0.04,0.18,301924,139,113,104,377,523,1,14,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-02-27,3,'+44,47,True,False,312,3.22,Baroque,After,After EP 2,36,36,1,180,108,2,49815150,8714,10301040,0.87,0.1,0.03,246323,290,22,0,74,0,3,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-02-27,4,'+41,45,True,False,287,2.88,Deep Diving,After,After EP 2,33,32,2,165,96,4,51339750,8722,23041800,0.85,0.09,0.06,253967,265,22,0,74,0,4,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-02-27,5,'+34,39,True,False,284,2.84,The Field,After,After EP 2,33,31,2,165,93,4,52754625,8698,23674320,0.85,0.09,0.06,257250,262,22,0,74,0,5,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-02-27,6,'+32,38,True,False,264,2.57,Where we are now,After,After EP 2,30,30,1,150,90,2,49711200,8692,12198600,0.87,0.1,0.03,246155,242,22,0,74,0,6,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-02-27,7,'+39,46,True,False,264,2.57,Close your eyes,After,After EP 2,30,30,1,150,90,2,43150800,7547,10594710,0.87,0.1,0.03,213850,242,22,0,74,0,7,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-02-27,8,'-6,2,False,False,260,0.05,Opalite,Taylor Swift,The Life of a Showgirl,15,15,1,75,45,2,48510000,6892,71429580,0.75,0.07,0.18,236544,122,74,64,247,324,2,22,6,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2026-02-27,9,'+34,43,True,False,256,2.46,Lichen,After,After EP,29,29,1,145,87,2,43413562,7593,11001330,0.87,0.1,0.03,215208,234,22,0,74,0,9,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-02-27,10,'+34,44,True,False,256,2.46,Ever,After,After EP,29,29,1,145,87,2,47889187,8374,12130830,0.87,0.1,0.03,237258,234,22,0,74,0,10,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-02-27,11,'+37,48,True,False,256,2.46,300 dreams,After,After EP,29,29,1,145,87,2,48157725,8421,12198600,0.87,0.1,0.03,238581,234,22,0,74,0,11,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
2026-02-27,12,'+29,41,True,False,248,2.35,Obvious,After,After EP,28,28,1,140,84,2,39587625,6924,10368810,0.87,0.1,0.04,196419,226,22,0,74,0,12,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/ed83fd3c0a9f28cdfb21020787861641.jpg
