Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-05-08,1,'+1,2,True,False,335,0.03,Sue me,Audrey Hobert,Who's the Clown?,22,20,3,110,60,6,56710500,9422,33410610,0.83,0.09,0.08,280098,176,97,62,325,314,1,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-08,2,'+2,4,True,False,306,0.01,Thirst Trap,Audrey Hobert,Who's the Clown?,19,19,1,95,57,2,51455250,8999,11227230,0.87,0.1,0.03,254478,154,90,62,302,314,2,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-08,3,'+2,5,False,True,291,-0.03,Drive,Audrey Hobert,Who's the Clown?,17,17,1,85,51,2,44276925,7745,10233270,0.87,0.1,0.03,219282,138,90,63,300,317,3,5,2,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-08,4,'-1,3,False,False,288,-0.06,Silver Jubilee,Audrey Hobert,Who's the Clown?,16,16,1,80,48,2,53462062,9349,11995290,0.87,0.1,0.03,264404,130,91,67,306,338,3,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-08,5,'+7,12,True,False,271,0.12,The Burn,Matchbox Twenty,Mad Season,26,12,3,130,36,6,54391837,4390,54780750,0.82,0.04,0.13,210924,172,72,27,243,135,5,27,1,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2026-05-08,6,'+1,7,False,False,267,-0.09,Outbound,After,After EP 2,14,14,1,70,42,2,48140400,7892,11814570,0.87,0.09,0.03,231084,114,88,65,295,328,1,12,7,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-05-08,7,'+1,8,True,False,265,-0.04,Shooting star,Audrey Hobert,Who's the Clown?,16,16,1,80,48,2,47173087,8249,11950110,0.87,0.1,0.03,233730,130,82,53,275,267,7,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-05-08,8,'+2,10,True,False,265,0.02,Earrings,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,42688800,7000,10481760,0.87,0.09,0.03,205065,130,77,58,259,292,8,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-08,9,'-8,1,False,False,264,-0.29,Ocean Avenue,Yellowcard,Ocean Avenue,6,6,1,30,18,2,52350375,6539,23493600,0.87,0.07,0.06,226114,50,111,103,373,517,1,9,3,https://lastfm.freetls.fastly.net/i/u/300x300/2770e3f5cad964e46dbe9e2c3d84be42.png
2026-05-08,10,'+1,11,False,True,256,0.02,Rodrick Rules,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,47620650,8327,12063060,0.87,0.1,0.03,235935,130,75,51,250,257,10,6,2,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-08,11,'+2,13,True,False,251,0.03,Ladygirl,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,44883300,7848,12153420,0.87,0.1,0.04,222607,130,72,49,243,247,11,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-05-08,12,'+3,15,True,False,244,0.06,On My Shoulder,Malcolm Todd,Sweet Boy,16,16,1,80,48,2,38351775,6708,10391400,0.87,0.1,0.04,190393,130,69,45,231,229,12,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
