Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Previous Week Raw Points,Two Weeks Ago Raw Points,Peak,WOC,Peak Streak,Album Cover
2026-04-24,1,'=,1,False,True,517,0.16,Ocean Avenue,Yellowcard,Ocean Avenue,41,34,3,205,102,6,104700750,12555,70480800,0.84,0.07,0.09,452228,313,133,71,444,359,1,7,2,https://lastfm.freetls.fastly.net/i/u/300x300/2770e3f5cad964e46dbe9e2c3d84be42.png
2026-04-24,2,NEW,--,True,False,462,--,Scotty Doesn't Know,Lustra,Left for Dead,64,44,5,320,132,10,89812800,10799,55119600,0.85,0.07,0.08,386799,462,0,0,0,0,2,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/0bc84f25b105c908d50dc57f7ee9621e.jpg
2026-04-24,3,'-1,2,False,False,378,-0.06,Mr. Brightside,The Killers,Hot Fuss,25,23,3,125,69,6,70977637,10827,35579250,0.85,0.08,0.07,335062,200,120,58,401,293,1,22,8,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg
2026-04-24,4,'+4,8,True,False,338,0.31,Silver Jubilee,Audrey Hobert,Who's the Clown?,25,25,1,125,75,2,62626987,10684,11995290,0.88,0.1,0.03,305368,202,77,59,258,296,4,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-24,5,'-2,3,False,False,328,-0.15,Outbound,After,After EP 2,16,12,3,80,36,6,61679887,9208,35443710,0.84,0.08,0.08,289772,122,115,91,385,459,1,10,7,https://lastfm.freetls.fastly.net/i/u/300x300/764cf72532e8eb727645d9a08e457a08.png
2026-04-24,6,'+1,7,False,False,317,0.22,Drive,Audrey Hobert,Who's the Clown?,21,21,1,105,63,2,49485975,8656,20466540,0.85,0.1,0.06,247884,170,77,70,259,350,3,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-24,7,'-1,6,False,False,314,0.15,Thirst Trap,Audrey Hobert,Who's the Clown?,21,21,1,105,63,2,52884562,9249,11227230,0.87,0.1,0.03,261450,170,81,63,273,318,5,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-24,8,'-3,5,False,False,314,0.14,Sue me,Audrey Hobert,Who's the Clown?,21,21,1,105,63,2,52457212,9174,11136870,0.87,0.1,0.03,259350,170,82,62,276,313,5,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
2026-04-24,9,'+2,11,True,False,292,0.38,Earrings,Malcolm Todd,Sweet Boy,24,20,3,120,60,6,48024900,7467,31445280,0.83,0.08,0.09,231105,186,63,43,211,218,9,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/824921f6bdcf5846a4f5c25654abbbf8.jpg
2026-04-24,10,'-6,4,False,False,276,-0.03,I'm Low on Gas and You Need a Jacket,Pierce the Veil,Collide With the Sky,15,15,1,75,45,2,51541875,7953,11904930,0.88,0.09,0.03,240240,122,85,69,284,348,2,25,2,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg
2026-04-24,11,'+3,14,True,False,267,0.29,Shooting star,Audrey Hobert,Who's the Clown?,21,21,1,105,63,2,48694800,8515,11950110,0.87,0.1,0.03,241150,170,62,35,207,178,11,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/5b13bfefbf9b6bdc017494f009cbeede.jpg
