Song Name,Artist Name,Album Name,Image Link,2024-01-05,2024-01-12,2024-01-19,2024-01-26,2024-02-02,2024-02-09,2024-02-16,2024-02-23,2024-03-01,2024-03-08,2024-03-15,2024-03-22,2024-03-29,2024-04-05,2024-04-12,2024-04-19,2024-04-26,2024-05-03,2024-05-10,2024-05-17,2024-05-24,2024-05-31,2024-06-07,2024-06-14,2024-06-21,2024-06-28,2024-07-05,2024-07-12,2024-07-19,2024-07-26,2024-08-02,2024-08-09,2024-08-16,2024-08-23,2024-08-30,2024-09-06,2024-09-13,2024-09-20,2024-09-27,2024-10-04,2024-10-11,2024-10-18,2024-10-25,2024-11-01,2024-11-08,2024-11-15,2024-11-22
Who’s Afraid of Little Old Me?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,45,85,,,,,,87,75,,,,,,,,,,,,,,,,,,,,,,
I Can Do It with a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,19,66,72,58,,89,,95,86,,,,74,,,,,,,,,,,,,,,,,,
loml,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Can Fix Him (No Really I Can),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,50,,,,,,,78,63,80,38,38,26,64,93,,88,,54,67,,,,,,,,,,93,
Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,46,86,17,15,9,20,10,8,5,15,21,23,10,34,48,85,34,24,19,13,27,,56,,,,,,73,31,40
Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,40,72,,74,,,,88,99,,,97,,,,,,,,,,,,,,,,,,,88
Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,51,,,,,,97,79,70,,47,42,21,41,53,96,55,,52,57,,,,,,34,,,83,42,59
But Daddy I Love Him,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So Long London,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,53,,,,,,,89,97,,,,,,,,,,,,,,,,,,,,,,
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,97,48,42,,,,90,98,,,,,,,,,,,,,,,,,,,,,,
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,98,41,39,37,33,30,35,22,18,16,13,11,35,47,86,33,23,24,25,52,66,36,43,34,,,,,75,60
The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://lastfm.freetls.fastly.net/i/u/300x300/f17c6424fdc8a236a40f8408ec77489f.jpg,,,,,,,,,,,,,,,,,,100,,,,,,,,,,98,24,39,45,,,,,,,,,,,,,,,32,31
