Song Name,Artist Name,Image Link,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-13,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2021-01-01
One Call Away,Charlie Puth,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덤디덤디 (DUMDi DUMDi),(여자)아이들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Teacher's Pet,Melanie Martinez,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,
no tears left to cry,Ariana Grande,,,,,,,,,,9,,,,,,,,,,84,,,16,,,,,,,,
Pretty Savage,BLACKPINK,,,,,,,,,,,,,,,,,,,,,,,,2,,,22,,,,
the light is coming (feat. Nicki Minaj),Ariana Grande,,,,,,,,,,10,,,,,,,,,,76,,,17,,,,,,36,,
Class Fight,Melanie Martinez,,32,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,
Stitches,Shawn Mendes,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.I.L.F. $,Fergie,,48,,18,,,,,,,,,,,,,,,,,,,1,,,,,,,,
SHADOW,TWICE,,,,,,18,,,,,,,,,,8,,,,27,,,,,,,,18,,,23
RAINBOW,TWICE,,89,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGHLIGHT,Seventeen,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
Rare,Selena Gomez,,77,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,
Kiss and Make Up,Dua Lipa & BLACKPINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Pirate King,ATEEZ,,,,,11,8,,,,,,,,,,,,,,43,,,,,,,,,19,,
Don’t Need Your Love,NCT DREAM & HRVY,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
the last great american dynasty,Taylor Swift,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,3,,
INCEPTION,ATEEZ (에이티즈),,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,
break up with your girlfriend i'm bored,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
invisible string,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,26
Summertime Sadness,Lana Del Rey,,33,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
Death by a Thousand Cuts,Taylor Swift,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
고맙다 (THANKS),Seventeen,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cool for the Summer,Demi Lovato,,62,,25,,,,,,,,,,,,,,,,58,,,,,,,,,,,21
LIT,ONEUS,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
