Song Name,Artist Name,Image Link,2020-05-08,2020-05-15,2020-05-22,2020-05-29,2020-06-05,2020-06-19,2020-06-26,2020-07-03,2020-07-10,2020-07-17,2020-07-24,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-13,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2021-01-01
Dress,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
betty,Taylor Swift,,,,,,,,,,,,,,,,,,14,,,25,,,,,,,,,,
Freak,Little Mix,,,,,,,,,,,,,,,,18,,,,45,,,,,,,,,,,
REVEAL,THE BOYZ,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Don't Start Now,Dua Lipa,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,2,10,
Victorious,Panic! at the Disco,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Some Love,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
Up & Down,EXID,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill This Love,BLACKPINK,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?chame La Culpa,Luis Fonsi & Demi Lovato,,,,,,,,,,4,,,,,,,,8,7,,,,,,,,,,,,
Pacify Her,Melanie Martinez,,,,,,,,,,,,,,,,,,16,,63,,,,,,,,,,,
Shoot Me,DAY6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
FINGERTIP,GFRIEND,,47,,22,,16,19,,,,,,,,,,,,,,,,,,,,,,,,
Story of My Life,1世代,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superhuman,NCT 127,,,,,,,,,,,6,,,,,,,,,,,,20,,,,15,,,,
I Write Sins Not Tragedies,Panic! at the Disco,,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right Here,더보이즈(THE BOYZ),,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valkyrie,ONEUS,,,,,3,1,2,,,,,,,,,,,,1,,,,,,,,,,,,
Deja Vu,Dreamcatcher,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Chewing Gum,NCT DREAM,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Look,GOT7,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Kiss and Make Up,Dua Lipa,,,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,
cowboy like me,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
gogobebe,MAMAMOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Something Big,Shawn Mendes,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scream,Dreamcatcher,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
LUV ME,TWICE,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
Oops!… I Did It Again,Britney Spears,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterflies,Zendaya,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
I'm bisexual,dodie,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
불꽃놀이 (Remember Me),OH MY GIRL,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire,2NE1,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
Hit That Drum,Red Velvet,,,,,,,,4,,,,,,,,,,,,,,29,,,,,,,,,20
Call It What You Want,Taylor Swift,,1,14,,8,,,,,,,,,,,,,,,,28,,,,,11,,,,,
Feel Special,TWICE,,,,,,,,,,,,,,,,13,,,,,22,,,,,,,,,,
DON'T CALL ME AGAIN,TWICE,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
epiphany,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Hi High,LOOΠΔ,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
ivy,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
Boogie Up,WJSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Hi Hello,DAY6,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway to Heaven - English Version,NCT 127,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,
Stylish,LOOΠΔ,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Hallucinate,Dua Lipa,,,,,,,15,,,,,,,5,,,,1,,24,,,,,,,,,27,,
Into The New World,소녀시대,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Catch Me If You Can,Girls' Generation,,,,,,,,,,,,,,,,11,,,,56,,,,,,,,,,,
Complicated,Avril Lavigne,,27,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
Bad Blood (feat. Kendrick Lamar),Taylor Swift,,56,,,,,,,,,,,,,,,,,,,37,,,,,,,13,,,
Bounce Back,Little Mix,,,,,,,,,,5,,,,,,,,,,61,,,,,,,,,,,
Rookie,Red Velvet (레드벨벳),,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
better off,Ariana Grande,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
London Boy,Taylor Swift,,,,,,,,,,,,,,17,,,,,,,5,,,,,,,,,,
Chewing Gum (Korean Ver.),NCT DREAM,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,19,
Light Me Up,Red Velvet,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
영웅 (英雄; Kick It),NCT 127,,,,,,,,,,,4,,,,,,3,,,,,,,,,,,14,,,
거침없이 (Just do it),BSS (SEVENTEEN),,,6,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Why Not?,이달의 소녀,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,,,
Love Me Harder (Ariana Grande & The Weeknd),Ariana Grande,,25,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,
Delicate,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
Sweet Crazy Love,LOOΠΔ / ODD EYE CIRCLE,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,
mad woman,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
A Year Without Rain,Selena Gomez & the Scene,,,9,13,,9,,,,,,,,,,,,,,52,,,,,,,,,,,
4 Walls,f(x),,,,,14,,,,,,,,,,,,,,,,,,4,,,,,,,,
Physical,Dua Lipa,,18,24,,17,,,,,,,,,8,,,,,,14,,,,,,,,,9,,
Breathe (feat. Colbie Caillat),Taylor Swift,,99,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,
Moonlight Melody,Red Velvet,,,,,,,,,,,,,,,,,,,,,,,,,,,12,22,,,11
Egotistic,MAMAMOO,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
A.D.I.D.A.S.,Little Mix,,,17,,,12,9,,,,,,,,2,,,,,,,,,,,,,,,,
Tell Me Something I Don't Know,Selena Gomez & the Scene,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,32,,
HANN (Alone) [한 (一)],(G)I-DLE,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naturally,Selena Gomez & the Scene,,,,,,,,,,,,,,,,,,12,,54,,,,,,,,,,15,
my tears ricochet,Taylor Swift,,,,,,,,,,,,1,,,,,,,,8,1,,,,,,,,,,
hoax,Taylor Swift,,,,,,,,,,,,,,,,,,,,,20,,,,,,26,,,,
웃음꽃 (Smiling Flower),Seventeen,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
꿈꾸는 마음으로 (Dreams Come True),WJSN (Cosmic Girls),,,,,,,,2,,,,,,,,21,,,,,,,,,,,,,,,12
BBIBBI,IU,,66,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATATA,(G)I-DLE,,28,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Story of the Swan,IZ*ONE,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
날아올라 (Fly High),Dreamcatcher,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truth Hurts,Lizzo,,,,,,,,,,,,,,,,16,,,,49,,,,,,,23,,,,
Manse,Seventeen,,39,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
환상동화 (Secret Story of the Swan),IZ*ONE,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
New Year’s Day,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Look,Red Velvet,,19,,21,,,,,,,,,,,,4,,3,,59,,,,,,,,,,,
Daisies,Katy Perry,,,19,19,,,,,,,,,,,,6,,,,,,,,,,,,,1,,
Labyrinth,여자친구 (GFriend),,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
BUNGEE (Fall In Love),OH MY GIRL,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Carousel,Melanie Martinez,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,14,
King of My Heart,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
너에게 닿기를 (I Wish),WJSN (Cosmic Girls),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
교차로 (Crossroads),GFRIEND,,,,,,,,,,,1,,,,,,,,,89,,,,,,,,,,,
NONSTOP,OH MY GIRL,,44,3,10,,,,,,,,,,1,,,,,,13,,,,,,,,,8,,
Stylish,Loona,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,
Popular Song,Ariana Grande,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day & Night (Hidden track),Loona,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,9
Don't U Wait No More,Red Velvet,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
Heart Shaker,TWICE (트와이스),,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
Picture to Burn,Taylor Swift,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
365,이달의 소녀 (Loona),,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,
Highway To Heaven,NCT 127,,,,,,,,,,,3,,,20,,,,,,65,,,,,,,,,34,,
Gone Days,Stray Kids,,,,,,,,,,,,,,,,,4,,,71,,,,,,,,,,,
WONDERLAND,ATEEZ,,,,6,2,,1,,,,,,,,,,,,,10,,,3,,,,,,28,,
세가지 소원 Wish Tree - WINTER GARDEN,Red Velvet (레드벨벳),,81,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,
Without You,NCT U,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
일상 (Another Day),Stray Kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,13
Carpool,Red Velvet,,,,,,,,,,,,,,,,,,,,,,10,,,,,,21,,,
Swish Swish,Katy Perry,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,
Fire Truck,NCT 127,,,,,,,,,,,7,,,,,,,22,,46,,,,,,,,,,,
러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳),,70,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
Weird People,Little Mix,,,,,,,,,,,,,,,,,,5,,,,,,,,,21,,,,
무대로 (Deja Vu; 舞代路),NCT DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,
Stay Tonight,CHUNG HA,,,,,,,,,,,,,,,,10,,,,68,,,,,,,,,,,
Butterflies,Red Velvet,,,,,,,,,,3,,,,,,,,10,,,,22,,,,,,,,,
엔시티 유,NCT,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Wave,ATEEZ,,,,,,15,,,,,,,,,,,,,,42,,,,,,,2,,,,
I’m Your Boy,THE BOYZ,,,,,,,,,,,,,,,,,,15,,60,,,,,,,,,,,
Mr.Ambiguous,MAMAMOO,,4,,,13,,,,,,,,,,,,,4,,,,,,,,,,,,,
BEHIND THE MASK,TWICE (트와이스),,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,,
Training Wheels,Melanie Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
this is me trying,Taylor Swift,,,,,,,,,,,,5,,,,,,,,31,9,,,,,,,,,,
舞い落ちる花びら（Fallin' Flower）,Seventeen,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
In & Out,Red Velvet,,,,,,,11,,,,,,,,,,,,,,,5,,,,,,,22,,
Bet You Wanna (feat. Cardi B),BLACKPINK,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
Twilight,ONEUS,,,,,12,,,,,,,,,,,,,,,23,,,,,,,,17,,,
