Song Name,Artist Name,Album Name,Image Link,2022-12-30,2023-01-06,2023-01-13,2023-01-20,2023-01-27,2023-02-03,2023-02-10,2023-02-17,2023-02-24,2023-03-03,2023-03-10,2023-03-17,2023-03-24,2023-03-31,2023-04-07,2023-04-14,2023-04-21,2023-04-28,2023-05-05,2023-05-12,2023-05-19,2023-05-26,2023-06-02,2023-06-09,2023-06-16,2023-06-23,2023-06-30,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-04,2023-08-11,2023-08-18,2023-08-25,2023-09-01,2023-09-08,2023-09-15,2023-09-22,2023-09-29,2023-10-06,2023-10-13,2023-10-20,2023-10-27,2023-11-03,2023-11-10,2023-11-17,2023-11-24,2023-12-01,2023-12-08,2023-12-15,2023-12-22,2023-12-29
Ang Huling El Bimbo,Eraserheads,Cutterpillow,https://lastfm.freetls.fastly.net/i/u/300x300/4590ad4edc668abe4d9f9419e05cd3a4.jpg,,,7,15,,34,,57,,,,,,,,,,,,,,,83,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stars,Callalily,Destination XYZ,https://lastfm.freetls.fastly.net/i/u/300x300/938312078b8a4a71ca68e82aa0abe444.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lando (feat. Chito Miranda),Gloc-9,Diploma,https://lastfm.freetls.fastly.net/i/u/300x300/5e5a17fc7f60d12a38645a478fc13b2d.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himala,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyang,Eraserheads,Ultraelectromagneticpop!,https://lastfm.freetls.fastly.net/i/u/300x300/73cea1e308f6446aa2aea4001a57d28a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elesi,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumayaw Ka,Gloc-9,Diploma,https://lastfm.freetls.fastly.net/i/u/300x300/5e5a17fc7f60d12a38645a478fc13b2d.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magda,Gloc-9,Liham At Lihim,https://lastfm.freetls.fastly.net/i/u/300x300/1728ca00193c76dd8c88c31ff395fc9e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirena,Gloc-9,MKNM (Mga Kwento Ng Makata),https://lastfm.freetls.fastly.net/i/u/300x300/b5162f38c8ec5a16926e0c5a4b1a702c.jpg,,,,,,,19,26,34,,,,,,,,,,,,,,66,,60,99,,77,,,,,,,,,,63,,,,,,,,,,,,,,,
Tindahan Ni Aling Nena,Eraserheads,Ultraelectromagneticpop!,https://lastfm.freetls.fastly.net/i/u/300x300/73cea1e308f6446aa2aea4001a57d28a.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,
Pasensya Ka Na,Silent Sanctuary,Langit. Luha.,https://lastfm.freetls.fastly.net/i/u/300x300/4d726214509b5a84b42ccd778ba29a23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magasin,Eraserheads,Circus,https://lastfm.freetls.fastly.net/i/u/300x300/377b34acbbb94e1081b9701d16f809a7.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,29,,,50,,,,,,,,,,,,,,,,63,,,,
Hinahanap-Hanap Kita,Rivermaya,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/be71aebc89f340b3bfc351026c6069cf.png,,,,,,,,,,,,,,,,,,,,,,,16,12,26,,,85,,,,,69,,,,,,,,,,,96,,,,,,,,,
Upuan (feat. Jeazell Grutas),Gloc-9,Matrikula,https://lastfm.freetls.fastly.net/i/u/300x300/bbe2667e4d317bb7135dbc23b81be850.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung 'Di Rin Lang Ikaw,December Avenue,Kung 'Di Rin Lang Ikaw,https://lastfm.freetls.fastly.net/i/u/300x300/24e29361148bd6247de1b76880374fcb.png,,,3,7,,10,31,27,31,38,63,,68,,,,,,,,,,65,2,3,6,18,34,48,56,68,52,58,55,64,35,36,37,38,,82,,,,,,,,,57,,,
Ikaw Lamang,Silent Sanctuary,Fuchsiang Pag-Ibig,https://lastfm.freetls.fastly.net/i/u/300x300/16dbb9dd88cc0d320fb4b909b29e4597.jpg,,,4,8,,6,29,34,38,40,,,,,,,,,,,,,49,,32,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligaya,Eraserheads,Anthology,https://lastfm.freetls.fastly.net/i/u/300x300/c328d056b29220f83268f47ce9971562.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,
