Song Name,Artist Name,Image Link,2021-01-01,2021-01-08,2021-01-15,2021-01-22,2021-01-29,2021-02-05,2021-02-12,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-03-19,2021-03-26,2021-04-02,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-05-28,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16,2021-07-23,2021-07-30,2021-08-06,2021-08-13,2021-08-20,2021-08-27,2021-09-03,2021-09-10,2021-09-17,2021-09-24,2021-10-01,2021-10-08,2021-10-15,2021-10-22,2021-10-29,2021-11-05,2021-11-12,2021-11-19,2021-11-26,2021-12-03,2021-12-10,2021-12-17,2021-12-24,2021-12-31
Weird People,Little Mix,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,59,,30,,,,,,,,,,,,,,,,,,
HALA HALA (Hearts Awakened Live Alive),ATEEZ,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,47,,,46,,,,,,,,,,,,,,,,,,
The Carol 2.0 (Vivi Choerry Yves),Loona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,
Sonatine,LOOΠΔ 1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,11,11,,,27,,,,45,,,,,,,,,,,,,52,,,,,,,,,,,,,,,63,,
Truth Hurts,Lizzo,,,,,,,,,,,,,,,,,13,,46,,,,,,,,26,,38,,,,,,,,,,82,,,,,,,,,,,,,,,
Message in a Bottle (Taylor's Version) (From the Vault),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,15,,32,21,82
Love Story (Taylor’s Version),Taylor Swift,,,,,,,,12,11,,,,,2,,1,,1,,1,2,5,,12,5,,,,,,,,71,,,,62,68,37,52,47,,,48,,,16,,,11,,,2,11
We Are Never Ever Getting Back Together,Taylor Swift,,,,,,,,,,,,,,,15,,,17,,,,,,,,,34,,,,,,38,,33,,,,,38,,,,13,,,,,,,,,,
District 9,Stray Kids,,,,,,,,,13,,,,,,,,,,10,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,
Happier Than Ever,Billie Eilish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,5,9,,,,,,,,,,,,
I Gotta Feeling,Black Eyed Peas,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
Treacherous (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,14,27,,16,,6
My Neck My Back (Lick It),Khia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,
Domino,Jessie J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,35,,,,,,,,,54,,,,36,,,,,,,,,,
Clarity,Zedd,,,,,,14,,,26,,10,,,,,,,26,,,,,,,,,35,,39,,,,,39,,,,,74,56,,,,10,,,,,,31,,,51,
CHEER UP,TWICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,
Sucker For Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,11,,,,,,,,,,,,,,,,,,,,
Death by a Thousand Cuts,Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,,17,,,,5,,,,,25,,,,,,,,41,76,,,,20
Miss Movin' On,Fifth Harmony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,31,,,,,,,,,,
Alejandro,Lady Gaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,
Bad Blood,Taylor Swift,,,,,,,,,,,,,,,10,,,,,,,13,,25,,,,,,,,34,,,,,,,,,36,,,,20,,,,,,,,74,
My Oxygen (Original Television Soundtrack),Supanut Lourhaphanich,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
열기,Loona,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,11,,21,,,,,,,,,,,,,,,,,,,,
Baby Don’t Stop,NCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,78,
Adios,Everglow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,73,
Kiss and Make Up,Dua Lipa & BLACKPINK,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (Taylor's Version),Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,15,28,,41,,4
All Night,Girls' Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,
Dreams Come True,WJSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Bang Bang,Jessie J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,
WITHOUT YOU,NCT,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirrorball,Taylor Swift,,,,,,,,,,6,,,17,,,,,,40,,,,,,31,,,,59,,23,,,,,,,,,,,,,,,,,,,,,,,
Thot Shit,Megan Thee Stallion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,
