Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2025-08-01,1,8,9,True,False,245,0.98,GENIE,소녀시대,Oh!,31,10,11,155,30,22,41623312,2348,116044830,0.68,0.02,0.3,170352,207,37,0,1,10,1
2025-08-01,2,-1,1,False,False,212,-0.14,Keeper,TWICE,STRATEGY,13,8,3,65,24,6,17980462,1935,32597370,0.74,0.05,0.21,80976,95,73,42,1,16,1
2025-08-01,3,-1,2,False,False,185,-0.19,Down,blink-182,blink-182,8,8,1,40,24,2,11734800,2052,11520900,0.79,0.09,0.12,60809,66,68,49,1,22,7
2025-08-01,4,-1,3,False,False,183,-0.04,The Bends,Radiohead,The Bends,12,12,1,60,36,2,18260550,3193,11950110,0.82,0.09,0.09,92750,98,57,26,3,5,1
2025-08-01,5,-1,4,False,False,167,-0.12,Hash Pipe,Weezer,Weezer,9,9,1,45,27,2,14189175,2481,12379320,0.8,0.09,0.11,73017,74,57,35,4,11,4
2025-08-01,6,-1,5,False,False,150,-0.2,Troublemaker,Weezer,Weezer (Red Album),7,7,1,35,21,2,9742425,1704,10933560,0.77,0.09,0.14,50925,58,56,34,3,10,2
2025-08-01,7,-1,6,False,False,150,-0.18,In Bloom,Nirvana,Nevermind (Remastered),7,7,1,35,21,2,9600937,1679,10775430,0.77,0.09,0.14,50190,58,55,36,2,7,1
2025-08-01,8,5,13,True,False,149,0.39,Sulk,Radiohead,The Bends,13,11,3,65,33,6,20345325,3010,36866880,0.72,0.07,0.21,103005,104,32,11,8,5,1
2025-08-01,9,2,11,False,False,149,0.31,2 hands,Tate McRae,So Close to What,11,9,3,55,27,6,14896612,2131,31919670,0.7,0.06,0.24,75992,88,34,25,1,21,2
2025-08-01,10,=,10,False,False,134,0.14,Sports car,Tate McRae,So Close to What,9,9,1,45,27,2,12110175,2118,10572120,0.8,0.09,0.11,62376,74,35,23,1,21,4
2025-08-01,11,-3,8,False,False,123,-0.02,The Rock Show,blink-182,Take Off Your Pants and Jacket,8,8,1,40,24,2,11295900,1975,11091690,0.79,0.09,0.12,58548,66,37,18,1,27,3
2025-08-01,12,3,15,False,False,122,0.17,Hell Above,Pierce the Veil,Collide With the Sky,8,8,1,40,24,2,11573100,2024,11362770,0.79,0.09,0.12,59976,66,31,23,2,17,1
2025-08-01,13,12,25,False,False,116,0.45,I know love (feat. The Kid LAROI),Tate McRae,So Close to What,9,9,1,45,27,2,11850300,2072,10346220,0.8,0.09,0.11,61046,74,24,17,4,16,1
2025-08-01,14,13,27,False,False,115,0.47,bloodonmyhands (feat. Flo Milli),Tate McRae,So Close to What,9,9,1,45,27,2,13565475,2372,11837160,0.8,0.09,0.11,69825,74,23,16,3,16,1
2025-08-01,15,5,20,False,False,113,0.15,The Burn,Matchbox Twenty,Mad Season,8,6,3,40,18,6,11157300,1463,32868450,0.64,0.05,0.3,57834,64,29,18,6,14,1
2025-08-01,16,RE,--,False,False,111,--,august,Taylor Swift,folklore,15,4,12,75,12,24,22132687,1032,139064040,0.49,0.01,0.49,111538,111,0,0,1,26,1
2025-08-01,17,-1,16,False,False,111,0.1,May These Noises Startle You in Your Sleep Tonight,Pierce the Veil,Collide With the Sky,7,7,1,35,21,2,9277537,1622,10413990,0.77,0.09,0.14,48510,58,30,21,3,17,2
2025-08-01,18,3,21,False,False,108,0.1,Hold On Till May,Pierce the Veil,Collide With the Sky,7,7,1,35,21,2,9419025,1647,10572120,0.77,0.09,0.14,49245,58,29,19,7,14,1
2025-08-01,19,-1,18,False,False,107,0.07,Dear god,Tate McRae,So Close to What,6,6,1,30,18,2,9164925,1602,11995290,0.76,0.09,0.16,48412,50,30,26,2,7,2
2025-08-01,20,2,22,True,False,104,0.07,Just,Radiohead,The Bends,8,8,1,40,24,2,11319000,1979,11114280,0.79,0.09,0.12,58667,66,29,7,20,4,1
2025-08-01,21,-9,12,False,False,94,-0.17,She's So Mean,Matchbox Twenty,North (Deluxe Edition),4,4,1,20,12,2,6086850,1064,11950110,0.7,0.08,0.22,33390,34,33,25,1,64,1
2025-08-01,22,16,38,False,False,93,0.45,I'm Low on Gas and You Need a Jacket,Pierce the Veil,Collide With the Sky,7,7,1,35,21,2,10611562,1855,11904930,0.77,0.09,0.14,55440,58,19,14,5,17,2
2025-08-01,23,-6,17,False,False,92,-0.08,MARS,TWICE,THIS IS FOR,5,5,1,25,15,2,6713437,1174,10549530,0.73,0.08,0.18,36036,42,30,19,14,4,1
2025-08-01,24,25,49,False,False,89,0.71,Always,blink-182,blink-182,7,5,3,35,15,6,9095625,1136,30632040,0.62,0.05,0.33,47565,56,15,16,3,24,1
2025-08-01,25,12,37,False,False,85,0.33,Tangled in the Great Escape,Pierce the Veil,Collide With the Sky,6,6,1,30,18,2,8714475,1524,11407950,0.76,0.09,0.16,46046,50,19,14,6,16,1
2025-08-01,26,-19,7,False,False,85,-0.39,FFW,TWICE,twicetagram,3,3,1,15,9,2,4677750,817,12243780,0.65,0.07,0.27,26607,26,42,16,2,11,1
2025-08-01,27,-1,26,False,False,83,0.05,Mad Season,Matchbox Twenty,Mad Season,5,5,1,25,15,2,7507500,1312,11791980,0.73,0.08,0.18,40271,42,23,16,1,26,4
2025-08-01,28,8,36,False,False,82,0.28,Feeling This,blink-182,blink-182,5,5,1,25,15,2,6540187,1144,10278450,0.73,0.08,0.18,35112,42,19,19,1,24,1
2025-08-01,29,-1,28,False,False,80,0.07,If You're Gone,Matchbox Twenty,Mad Season,5,5,1,25,15,2,6684562,1169,10504350,0.73,0.08,0.18,35882,42,22,14,2,27,1
2025-08-01,30,62,92,False,False,79,1.82,I Miss You,blink-182,blink-182,8,4,3,40,12,6,11619300,1016,34223850,0.66,0.04,0.31,53130,58,8,11,3,24,2
2025-08-01,31,15,46,False,False,71,0.34,Aliens Exist,blink-182,Enema of the State,5,5,1,25,15,2,6987750,1222,10978740,0.73,0.08,0.18,37499,42,15,12,2,33,1
2025-08-01,32,-18,14,False,False,68,-0.35,Sleep,My Chemical Romance,The Black Parade,3,3,1,15,9,2,4400550,769,11520900,0.65,0.07,0.27,25039,26,31,10,6,21,1
2025-08-01,33,29,62,False,False,66,0.57,Gnarly,KATSEYE,Gnarly,5,5,1,25,15,2,7752937,1355,12176010,0.73,0.08,0.18,41580,42,12,10,12,13,1
2025-08-01,34,-3,31,False,False,65,-0.1,Signs,Tate McRae,So Close to What,2,2,1,10,6,2,2904825,508,11407950,0.58,0.06,0.36,17710,18,21,24,3,7,1
2025-08-01,35,-3,32,False,False,62,-0.13,My Iron Lung,Radiohead,The Bends,3,3,1,15,9,2,4383225,766,11475720,0.65,0.07,0.27,24941,26,21,14,25,5,1
2025-08-01,36,-13,23,False,False,61,-0.3,A Little Less Sixteen Candles a Little More Touch Me,Fall Out Boy,From Under the Cork Tree,4,4,1,20,12,2,5428500,949,10662480,0.7,0.08,0.22,29799,34,26,0,23,3,1
2025-08-01,37,21,58,False,False,60,0.36,Fame Is a Gun,Addison Rae,Addison,4,4,1,20,12,2,6052200,1058,11882340,0.7,0.08,0.22,33201,34,13,11,1,8,1
2025-08-01,38,9,47,False,False,58,0.09,Unwell,Matchbox Twenty,More Than You Think You Are,4,2,3,20,6,6,5671050,495,33410610,0.5,0.03,0.47,31122,32,15,9,8,37,1
2025-08-01,39,-10,29,False,False,56,-0.24,Bones,Radiohead,The Bends,2,2,1,10,6,2,3049200,533,11972700,0.58,0.06,0.36,18585,18,22,14,20,5,1
2025-08-01,40,NEW,--,True,False,54,--,Weightless,All Time Low,Nothing Personal (Deluxe Version),7,3,5,35,9,10,9216900,690,51731100,0.52,0.02,0.46,48194,54,0,0,40,1,1
2025-08-01,41,30,71,False,False,54,0.54,Siren sounds (bonus),Tate McRae,So Close to What,4,4,1,20,12,2,5209050,911,10233270,0.7,0.08,0.22,28602,34,10,8,19,14,1
2025-08-01,42,18,60,False,False,54,0.23,THIS IS FOR,TWICE,THIS IS FOR,3,3,1,15,9,2,3924112,686,10278450,0.65,0.07,0.27,22344,26,13,13,34,4,1
2025-08-01,43,-10,33,False,False,54,-0.24,(Nice Dream),Radiohead,The Bends,2,2,1,10,6,2,2881725,504,11317590,0.58,0.06,0.36,17570,18,21,13,24,5,1
2025-08-01,44,-1,43,False,False,52,-0.05,24/7,TWICE,twicetagram,3,3,1,15,9,2,4227300,739,11069100,0.65,0.07,0.27,24059,26,16,8,5,8,1
2025-08-01,45,RE,--,False,False,51,--,Sugar We're Goin Down,Fall Out Boy,From Under the Cork Tree,5,5,1,25,15,2,6915562,1209,10865790,0.73,0.08,0.18,37114,42,0,8,1,35,5
2025-08-01,46,-22,24,False,False,51,-0.36,Last Beautiful Girl,Matchbox Twenty,Mad Season,1,1,1,5,3,2,1541925,269,12108240,0.42,0.05,0.53,11277,10,24,17,8,19,1
2025-08-01,47,RE,--,False,False,49,--,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),6,5,2,30,15,4,8697150,1267,22770720,0.66,0.06,0.28,45955,49,0,0,1,20,1
2025-08-01,48,-14,34,False,False,49,-0.26,Planet Telex,Radiohead,The Bends,2,2,1,10,6,2,2893275,506,11362770,0.58,0.06,0.36,17640,18,19,11,30,5,1
2025-08-01,49,-10,39,False,False,49,-0.17,King for a Day,Pierce the Veil,Collide With the Sky,2,2,1,10,6,2,3095400,541,12153420,0.58,0.06,0.36,18865,18,17,12,12,17,1
2025-08-01,50,-8,42,False,False,48,-0.16,It's ok I'm ok,Tate McRae,it's ok i'm ok,2,2,1,10,6,2,2789325,487,10956150,0.58,0.06,0.36,17010,18,17,11,5,21,4
2025-08-01,51,10,61,False,False,47,0.12,My Life Would Suck Without You,Kelly Clarkson,All I Ever Wanted,4,4,1,20,12,2,6248550,1092,12266370,0.7,0.08,0.22,34272,34,12,0,8,39,1
2025-08-01,52,34,86,False,False,45,0.36,How Far We've Come,Matchbox Twenty,How Far We've Come,3,3,1,15,9,2,4036725,706,10572120,0.65,0.07,0.27,22981,26,9,8,2,20,1
2025-08-01,53,30,83,False,False,44,0.33,Hitchin' a Ride,Green Day,Nimrod,4,4,1,20,12,2,5209050,911,10233270,0.7,0.08,0.22,28602,34,9,0,2,67,7
2025-08-01,54,-14,40,False,False,44,-0.23,High and Dry,Radiohead,The Bends,2,2,1,10,6,2,3060750,535,12017880,0.58,0.06,0.36,18655,18,17,7,40,4,2
2025-08-01,55,-14,41,False,False,44,-0.23,Fake Plastic Trees,Radiohead,The Bends,2,2,1,10,6,2,2823975,493,11091690,0.58,0.06,0.36,17220,18,17,7,41,4,2
2025-08-01,56,3,59,False,False,44,0.0,Diet Pepsi,Addison Rae,Addison,2,2,1,10,6,2,2997225,524,11769390,0.58,0.06,0.36,18270,18,13,11,4,8,1
2025-08-01,57,RE,--,False,False,42,--,Geek Stink Breath,Green Day,Insomniac,5,5,1,25,15,2,6756750,1181,10617300,0.73,0.08,0.18,36267,42,0,0,6,23,1
