Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2025-08-15,76,RE,--,False,False,18,--,Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,1989 (Taylor's Version),2,2,1,10,6,2,2668050,466,10481760,0.58,0.06,0.36,16275,18,0,0,1,22,1
2025-08-15,77,RE,--,False,False,18,--,Misery,Green Day,Warning,2,2,1,10,6,2,2748900,480,10798020,0.58,0.06,0.36,16765,18,0,0,56,4,1
2025-08-15,78,RE,--,False,False,18,--,Los Angeles,blink-182,California (Deluxe Edition),2,2,1,10,6,2,2610300,456,10255860,0.58,0.06,0.36,15925,18,0,0,9,7,1
2025-08-15,79,NEW,--,True,False,18,--,Lightning,Little Mix,Get Weird (Expanded Edition),2,2,1,10,6,2,2922150,511,11475720,0.58,0.06,0.36,17815,18,0,0,79,1,1
2025-08-15,80,RE,--,False,False,18,--,Is It Over Now? (Taylor's Version) (From the Vault),Taylor Swift,1989 (Taylor's Version),2,2,1,10,6,2,3158925,552,12401910,0.58,0.06,0.36,15750,18,0,0,5,16,1
2025-08-15,81,RE,--,False,False,18,--,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,2,2,1,10,6,2,2598750,454,10210680,0.58,0.06,0.36,15855,18,0,0,3,52,1
2025-08-15,82,RE,--,False,False,18,--,Dilemma,Green Day,Dilemma,2,2,1,10,6,2,2887500,505,11340180,0.58,0.06,0.36,17605,18,0,0,7,40,1
2025-08-15,83,RE,--,False,False,18,--,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2,2,1,10,6,2,3020325,528,11859750,0.58,0.06,0.36,18410,18,0,0,1,38,2
2025-08-15,84,RE,--,False,False,18,--,A.D.I.D.A.S.,Little Mix,Get Weird (Deluxe),2,2,1,10,6,2,2743125,479,10775430,0.58,0.06,0.36,16730,18,0,0,6,6,1
2025-08-15,85,RE,--,False,False,18,--,Whatsername,Green Day,American Idiot,1,1,1,5,3,2,1365787,238,10730250,0.42,0.05,0.53,9996,10,0,7,8,50,1
2025-08-15,86,-12,74,False,False,18,-0.31,Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,1,1,1,5,3,2,1576575,275,12379320,0.42,0.05,0.53,11529,10,7,0,9,18,1
2025-08-15,87,-1,86,False,False,18,-0.25,In the End,Green Day,Dookie,1,1,1,5,3,2,1345575,235,10572120,0.42,0.05,0.53,9849,10,7,0,21,5,1
2025-08-15,88,-12,76,False,False,18,-0.31,I Do Not Hook Up,Kelly Clarkson,All I Ever Wanted,1,1,1,5,3,2,1386000,242,10888380,0.42,0.05,0.53,10143,10,7,0,1,35,1
2025-08-15,89,RE,--,False,False,17,--,XS,Rina Sawayama,SAWAYAMA,2,1,2,10,3,4,2604525,227,20466540,0.43,0.02,0.54,15890,17,0,0,64,4,1
2025-08-15,90,RE,--,False,False,17,--,Wings,Little Mix,DNA: The Deluxe Edition,2,1,2,10,3,4,2696925,235,21189420,0.43,0.02,0.54,16450,17,0,0,1,10,1
2025-08-15,91,RE,--,False,False,17,--,Wasabi,Little Mix,LM5 (Deluxe),2,1,2,10,3,4,2725800,238,21415320,0.43,0.02,0.54,16625,17,0,0,14,12,1
2025-08-15,92,RE,--,False,False,17,--,Virtual Angel,ARTMS,<Dall>,2,1,2,10,3,4,2852850,249,22409280,0.43,0.02,0.54,17395,17,0,0,18,7,1
2025-08-15,93,RE,--,False,False,17,--,Timber,Pitbull,Global Warming: Meltdown (Deluxe Version),2,1,2,10,3,4,2616075,228,20556900,0.43,0.02,0.54,15960,17,0,0,82,2,1
2025-08-15,94,RE,--,False,False,17,--,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),2,1,2,10,3,4,2754675,240,21641220,0.43,0.02,0.54,16800,17,0,0,1,20,1
2025-08-15,95,RE,--,False,False,17,--,Sensitive,Loossemble,LOOSSEMBLE,2,1,2,10,3,4,2702700,236,21234600,0.43,0.02,0.54,16485,17,0,0,3,13,1
2025-08-15,96,RE,--,False,False,17,--,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Singles,2,1,2,10,3,4,3124275,273,24532740,0.43,0.02,0.54,19040,17,0,0,9,12,1
2025-08-15,97,RE,--,False,False,17,--,Move,Little Mix,Salute (The Deluxe Edition),2,1,2,10,3,4,2644950,231,20782800,0.43,0.02,0.54,16134,17,0,0,15,17,1
2025-08-15,98,RE,--,False,False,17,--,LOVE DIVE,IVE,LOVE DIVE,2,1,2,10,3,4,2743125,239,21550860,0.43,0.02,0.54,16730,17,0,0,1,71,4
2025-08-15,99,RE,--,False,True,17,--,Hair,Little Mix,Get Weird (Expanded Edition),2,1,2,10,3,4,3147375,275,24713460,0.43,0.02,0.54,19180,17,0,0,99,2,2
2025-08-15,100,RE,--,False,False,17,--,Fast Times,Sabrina Carpenter,emails i can't send,2,1,2,10,3,4,3031875,265,23809860,0.43,0.02,0.54,18480,17,0,0,4,12,1
