Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2025-04-04,If This Was a Movie (Taylor’s Version),If This Was a Movie (Taylor’s Version),Taylor Swift,1,1,1
2025-04-04,Bye Bye Baby (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Don’t You (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,That’s When (feat. Keith Urban) (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,We Were Happy (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Mr. Perfectly Fine (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Today Was a Fairytale (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,The Other Side of the Door (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Superstar (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Come in with the Rain (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Untouchable (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Change (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,You Belong with Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,4,4,1
2025-04-04,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2025-04-04,Fresh Out the Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,50,21,17
2025-04-04,Our Song,North (Deluxe Edition),Matchbox Twenty,2,2,1
2025-04-04,Overjoyed,North (Deluxe Edition),Matchbox Twenty,2,2,1
2025-04-04,Put Your Hands Up,North (Deluxe Edition),Matchbox Twenty,2,2,1
2025-04-04,She's So Mean,North (Deluxe Edition),Matchbox Twenty,19,6,14
2025-04-04,These Hard Times,Exile On Mainstream (International),Matchbox Twenty,2,2,1
2025-04-04,How Far We've Come,How Far We've Come,Matchbox Twenty,2,2,1
2025-04-04,Bright Lights,More Than You Think You Are,Matchbox Twenty,2,2,1
2025-04-04,Disease,More Than You Think You Are,Matchbox Twenty,2,2,1
2025-04-04,Unwell,More Than You Think You Are,Matchbox Twenty,3,3,1
2025-04-04,Juno,Short n' Sweet,Sabrina Carpenter,4,4,1
2025-04-04,Keeper,Strategy,TWICE,3,3,1
2025-04-04,Easy Target,blink-182,blink-182,9,9,1
2025-04-04,Rest Stop,Mad Season,Matchbox Twenty,9,9,1
2025-04-04,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,4,4,1
2025-04-04,Fat Lip,All Killer No Filler,Sum 41,4,4,1
2025-04-04,Obvious,blink-182,blink-182,9,9,1
2025-04-04,Angry,Mad Season,Matchbox Twenty,11,11,1
2025-04-04,Purple Lace Bra,So Close to What,Tate McRae,9,9,1
2025-04-04,Motivation,All Killer No Filler,Sum 41,4,4,1
2025-04-04,Los Angeles,California (Deluxe Edition),blink-182,9,9,1
2025-04-04,Bent,Mad Season,Matchbox Twenty,7,7,1
2025-04-04,It's OK I'm OK,So Close to What,Tate McRae,9,9,1
2025-04-04,Jet Lag (feat. Natasha Bedingfield),Get Your Heart On! (Deluxe Edition),Simple Plan,4,4,1
2025-04-04,I Miss You,blink-182,blink-182,8,8,1
2025-04-04,If You're Gone,Mad Season,Matchbox Twenty,7,7,1
2025-04-04,Miss Possessive,So Close to What,Tate McRae,9,9,1
2025-04-04,The Static Age,21st Century Breakdown,Green Day,4,4,1
2025-04-04,Always,blink-182,blink-182,5,5,1
2025-04-04,Last Beautiful Girl,Mad Season,Matchbox Twenty,15,15,1
2025-04-04,Revolving Door,So Close to What,Tate McRae,8,8,1
2025-04-04,Tócame (feat. Dillom),X-sex,Six Sex,3,3,1
2025-04-04,She's out of Her Mind,California (Deluxe Edition),blink-182,6,6,1
2025-04-04,2 hands,So Close to What,Tate McRae,8,8,1
2025-04-04,Scattered,Nimrod,Green Day,8,8,1
2025-04-04,Feeling This,blink-182,blink-182,4,4,1
2025-04-04,Mad Season,Mad Season,Matchbox Twenty,9,9,1
2025-04-04,Sports car,So Close to What,Tate McRae,8,8,1
2025-04-04,Prosthetic Head,Nimrod,Green Day,1,1,1
2025-04-04,Good Riddance (Time of Your Life),Nimrod,Green Day,1,1,1
2025-04-04,King for a Day,Nimrod,Green Day,1,1,1
2025-04-04,Take Back,Nimrod,Green Day,1,1,1
2025-04-04,Reject,Nimrod,Green Day,1,1,1
2025-04-04,Walking Alone,Nimrod,Green Day,1,1,1
2025-04-04,Haushinka,Nimrod,Green Day,1,1,1
2025-04-04,Jinx,Nimrod,Green Day,1,1,1
2025-04-04,Last Ride In,Nimrod,Green Day,1,1,1
2025-04-04,Uptight,Nimrod,Green Day,1,1,1
2025-04-04,Platypus (I Hate You),Nimrod,Green Day,1,1,1
2025-04-04,Worry Rock,Nimrod,Green Day,1,1,1
2025-04-04,All the Time,Nimrod,Green Day,1,1,1
2025-04-04,Redundant,Nimrod,Green Day,5,5,1
2025-04-04,The Grouch,Nimrod,Green Day,1,1,1
2025-04-04,Hitchin' a Ride,Nimrod,Green Day,1,1,1
2025-04-04,Nice Guys Finish Last,Nimrod,Green Day,1,1,1
2025-04-04,Tunnel Vision,Imaginal Disk,Magdalena Bay,12,3,10
2025-04-04,You Won't Be Mine,Mad Season,Matchbox Twenty,3,3,1
2025-04-04,Stop,Mad Season,Matchbox Twenty,3,3,1
2025-04-04,Leave,Mad Season,Matchbox Twenty,3,3,1
2025-04-04,Bed of Lies,Mad Season,Matchbox Twenty,3,3,1
2025-04-04,The Burn,Mad Season,Matchbox Twenty,6,6,1
2025-04-04,Crutch,Mad Season,Matchbox Twenty,8,8,1
2025-04-04,Black & White People,Mad Season,Matchbox Twenty,8,8,1
2025-04-04,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2,2,1
2025-04-04,Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,3,3,1
2025-04-04,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2,2,1
2025-04-04,The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,8,8,1
2025-04-04,The Ballad Of Matt & Mica,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Angel On A Satellite,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Cry For Me,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Feeling Diskinserted?,Imaginal Disk,Magdalena Bay,3,3,1
2025-04-04,That's My Floor,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Love Is Everywhere,Imaginal Disk,Magdalena Bay,3,3,1
2025-04-04,Watching T.V.,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Vampire In The Corner,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Fear Sex,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Death & Romance,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Image,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,True Blue Interlude,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,Killing Time,Imaginal Disk,Magdalena Bay,3,2,2
2025-04-04,She Looked Like Me!,Imaginal Disk,Magdalena Bay,2,2,1
2025-04-04,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,4,4,1
2025-04-04,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,3,3,1
2025-04-04,Style (Taylor's Version),1989 (Taylor's Version),Taylor Swift,3,3,1
2025-04-04,Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2025-04-04,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,3,3,1
2025-04-04,My Life Would Suck Without You,All I Ever Wanted,Kelly Clarkson,3,3,1
2025-04-04,Bulletproof Heart,Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,5,5,1
2025-04-04,Bored to Death,California (Deluxe Edition),blink-182,4,4,1
2025-04-04,San Diego,California (Deluxe Edition),blink-182,4,4,1
2025-04-04,Sugar We're Goin Down,From Under the Cork Tree,Fall Out Boy,4,4,1
2025-04-04,Teenage Satellites,California (Deluxe Edition),blink-182,4,4,1
2025-04-04,No Future,California (Deluxe Edition),blink-182,4,4,1
