Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2024-04-26,1,=,1,True,True,428,-0.06,Uptight,Green Day,Nimrod,31,31,1,155,93,2,1550000,93000,100000,0.89,0.05,0.06,1743000,250,137,41,1,7,4
2024-04-26,2,+4,6,True,False,351,0.52,Redundant,Green Day,Nimrod,33,31,3,165,93,6,1650000,93000,300000,0.81,0.05,0.15,2043000,264,70,17,2,16,1
2024-04-26,3,+13,16,True,False,320,1.94,Extraordinary Girl / Letterbomb,Green Day,American Idiot,32,32,1,160,96,2,1600000,96000,100000,0.89,0.05,0.06,1796000,258,33,29,3,13,1
2024-04-26,4,-2,2,False,False,196,-0.55,All the Time,Green Day,Nimrod,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,131,31,2,7,1
2024-04-26,5,-2,3,False,False,150,-0.53,Worry Rock,Green Day,Nimrod,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,97,19,3,6,1
2024-04-26,6,+41,47,False,False,142,1.15,21 Guns,Green Day,21st Century Breakdown,16,6,6,80,18,12,800000,18000,600000,0.56,0.01,0.42,1418000,110,20,12,4,20,1
2024-04-26,7,NEW,--,True,False,130,--,Espionage,Green Day,Shenanigans,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,0,0,7,1,1
2024-04-26,8,-1,7,False,False,125,-0.26,Nice Guys Finish Last,Green Day,Nimrod,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,51,40,1,16,3
2024-04-26,9,NEW,--,True,False,122,--,Ha Ha You're Dead,Green Day,Shenanigans,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,0,0,9,1,1
2024-04-26,10,-6,4,False,False,118,-0.6,Reject,Green Day,Nimrod,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,88,12,4,5,1
2024-04-26,11,-6,5,False,False,118,-0.6,Walking Alone,Green Day,Nimrod,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,88,12,5,5,1
2024-04-26,12,NEW,--,True,False,114,--,Desensitized,Green Day,Shenanigans,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,0,0,12,1,1
2024-04-26,13,NEW,--,True,False,114,--,Suffocate,Green Day,Shenanigans,14,14,1,70,42,2,700000,42000,100000,0.83,0.05,0.12,842000,114,0,0,13,1,1
2024-04-26,14,+11,25,True,False,111,0.18,Buddy Holly,Weezer,Weezer,10,10,1,50,30,2,500000,30000,100000,0.79,0.05,0.16,630000,82,29,0,14,2,1
2024-04-26,15,+34,49,True,False,110,0.69,All the Small Things,blink-182,Enema of the State,11,11,1,55,33,2,550000,33000,100000,0.81,0.05,0.15,683000,90,20,0,15,2,1
2024-04-26,16,-5,11,False,False,107,-0.14,Look Ma No Brains!,Green Day,Saviors,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,38,35,1,17,6
2024-04-26,17,NEW,--,True,False,106,--,On the Wagon,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,17,1,1
2024-04-26,18,NEW,--,True,False,106,--,Do Da Da,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,18,1,1
2024-04-26,19,NEW,--,True,False,106,--,Rotting,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,19,1,1
2024-04-26,20,NEW,--,True,False,106,--,Sick of Me,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,20,1,1
2024-04-26,21,NEW,--,True,False,106,--,Tired of Waiting for You,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,21,1,1
2024-04-26,22,NEW,--,True,False,106,--,Scumbag,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,22,1,1
2024-04-26,23,NEW,--,True,False,106,--,I Want to Be on T.V.,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,23,1,1
2024-04-26,24,NEW,--,True,False,106,--,Don't Wanna Fall in Love,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,24,1,1
2024-04-26,25,NEW,--,True,False,106,--,Outsider,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,25,1,1
2024-04-26,26,NEW,--,True,False,106,--,You Lied,Green Day,Shenanigans,13,13,1,65,39,2,650000,39000,100000,0.82,0.05,0.13,789000,106,0,0,26,1,1
2024-04-26,27,+35,62,True,False,100,0.72,1985,Bowling for Soup,A Hangover You Don't Deserve,10,10,1,50,30,2,500000,30000,100000,0.79,0.05,0.16,630000,82,18,0,27,2,1
2024-04-26,28,-18,10,False,False,92,-0.31,Hitchin' a Ride,Green Day,Nimrod,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,40,26,2,17,6
2024-04-26,29,-20,9,False,False,92,-0.34,Homecoming,Green Day,American Idiot,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,42,32,4,11,1
2024-04-26,30,-10,20,False,False,88,-0.18,Dead!,My Chemical Romance,The Black Parade,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,33,21,2,18,1
2024-04-26,31,-19,12,False,False,79,-0.35,Whatsername,Green Day,American Idiot,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,37,24,8,11,1
2024-04-26,32,+38,70,False,False,77,0.45,Good Riddance (Time of Your Life),Green Day,Nimrod,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,16,11,16,17,1
2024-04-26,33,-20,13,False,False,75,-0.35,Jesus of Suburbia,Green Day,American Idiot,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,35,22,11,14,1
2024-04-26,34,-17,17,False,False,75,-0.31,Governator,Green Day,American Idiot (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,33,24,12,11,1
2024-04-26,35,-16,19,False,False,75,-0.31,Shoplifter,Green Day,American Idiot (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,33,24,13,11,1
2024-04-26,36,-18,18,False,False,75,-0.31,Too Much Too Soon,Green Day,American Idiot (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,33,24,14,11,1
2024-04-26,37,-29,8,False,False,74,-0.5,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,45,11,1,89,1
2024-04-26,38,-11,27,False,False,73,-0.22,Wake Me Up When September Ends,Green Day,American Idiot,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,28,27,1,20,2
2024-04-26,39,-15,24,False,False,70,-0.27,Helena,My Chemical Romance,Three Cheers for Sweet Revenge,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,29,23,2,17,1
2024-04-26,40,RE,--,True,False,66,--,The Saints Are Coming,U2,The Saints Are Coming,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,0,0,40,1,1
2024-04-26,41,RE,--,True,False,66,--,Back in the USA,Green Day,Greatest Hits: God's Favorite Band,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,0,0,41,1,1
2024-04-26,42,+8,50,False,False,62,-0.05,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,20,24,1,81,1
2024-04-26,43,+11,54,False,False,60,-0.05,Welcome to the Black Parade,My Chemical Romance,The Black Parade,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,19,15,3,20,1
2024-04-26,44,+13,57,False,False,59,-0.03,Teenagers,My Chemical Romance,The Black Parade,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,19,14,7,18,1
2024-04-26,45,+10,55,False,False,60,-0.03,I Don't Love You,My Chemical Romance,The Black Parade,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,19,15,6,18,2
2024-04-26,46,-13,33,False,False,60,-0.22,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,24,18,4,17,1
2024-04-26,47,-16,31,False,False,59,-0.27,Geek Stink Breath,Green Day,Insomniac,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,24,6,14,1
2024-04-26,48,-3,45,False,False,58,-0.19,The End.,My Chemical Romance,The Black Parade,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,22,10,8,8,1
2024-04-26,49,+15,64,False,False,56,0.02,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,21,1,27,2
2024-04-26,50,+19,69,False,False,56,0.06,American Idiot,Green Day,American Idiot,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,16,14,1,20,1
2024-04-26,51,+1,52,False,False,54,-0.16,Breakaway,Kelly Clarkson,Breakaway,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,20,16,5,26,1
2024-04-26,52,-1,51,False,False,54,-0.16,Since U Been Gone,Kelly Clarkson,Breakaway,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,20,16,9,29,2
2024-04-26,53,+6,59,False,False,53,-0.12,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,18,17,2,27,2
2024-04-26,54,-6,48,False,False,51,-0.23,Before the Lobotomy,Green Day,21st Century Breakdown,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,20,13,8,11,1
2024-04-26,55,+25,80,False,False,50,0.04,Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,15,17,1,27,3
