Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2024-08-02,1,+28,29,True,True,229,0.89,Nice Guys Finish Last,Green Day,Nimrod,21,12,10,105,36,20,30318750,3024,112950000,0.6,0.04,0.36,150500,161,37,31,1,30,4
2024-08-02,2,+14,16,False,False,175,0.28,Uptight,Green Day,Nimrod,12,12,1,60,36,2,17325000,3024,11295000,0.82,0.09,0.09,87500,98,42,35,1,21,6
2024-08-02,3,-2,1,False,False,162,-0.16,I Do Not Hook Up,Kelly Clarkson,All I Ever Wanted,7,7,1,35,21,2,10106250,1764,11295000,0.77,0.09,0.14,52500,58,59,45,1,6,1
2024-08-02,4,+8,12,True,True,157,0.12,Suffocate,Green Day,Shenanigans,9,9,1,45,27,2,12993750,2268,11295000,0.8,0.09,0.11,66500,74,42,41,4,10,2
2024-08-02,5,+13,18,False,False,156,0.16,Hitchin' a Ride,Green Day,Nimrod,10,10,1,50,30,2,14437500,2520,11295000,0.81,0.09,0.1,73500,82,41,33,2,30,7
2024-08-02,6,RE,--,False,False,156,--,Funeral (feat. James Bay),Maisie Peters,Trying: Season 2 (Apple TV+ Original Series Soundtrack),21,7,15,105,21,30,30318750,1764,169425000,0.52,0.02,0.46,150500,156,0,0,3,11,1
2024-08-02,7,-5,2,False,False,154,-0.19,Cry,Kelly Clarkson,All I Ever Wanted,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,58,30,2,3,1
2024-08-02,8,+2,10,False,False,148,-0.04,Beautiful Disaster,Kelly Clarkson,Thankful,7,7,1,35,21,2,10106250,1764,11295000,0.77,0.09,0.14,52500,58,47,43,3,6,1
2024-08-02,9,+2,11,False,False,143,-0.07,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),6,6,1,30,18,2,8662500,1512,11295000,0.76,0.09,0.16,45500,50,46,47,1,10,1
2024-08-02,10,-5,5,False,False,143,-0.2,Before Your Love,Kelly Clarkson,Thankful,6,6,1,30,18,2,8662500,1512,11295000,0.76,0.09,0.16,45500,50,54,39,5,5,2
2024-08-02,11,+17,28,True,False,142,0.16,First Date,blink-182,Take Off Your Pants and Jacket,13,12,2,65,36,4,18768750,3024,22590000,0.77,0.08,0.15,94500,105,37,0,11,2,1
2024-08-02,12,-6,6,False,False,139,-0.18,All I Ever Wanted,Kelly Clarkson,All I Ever Wanted,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,51,22,6,3,1
2024-08-02,13,-6,7,False,False,139,-0.18,Already Gone,Kelly Clarkson,All I Ever Wanted,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,51,22,7,3,1
2024-08-02,14,NEW,--,True,False,138,--,Tie It Up,Kelly Clarkson,Tie It Up,17,17,1,85,51,2,24543750,4284,11295000,0.84,0.09,0.06,122500,138,0,0,14,1,1
2024-08-02,15,NEW,--,True,False,138,--,People Like Us,Kelly Clarkson,Greatest Hits - Chapter One,17,17,1,85,51,2,24543750,4284,11295000,0.84,0.09,0.06,122500,138,0,0,15,1,1
2024-08-02,16,NEW,--,True,False,138,--,Catch My Breath,Kelly Clarkson,Greatest Hits - Chapter One,17,17,1,85,51,2,24543750,4284,11295000,0.84,0.09,0.06,122500,138,0,0,16,1,1
2024-08-02,17,+3,20,False,False,137,0.04,Desensitized,Green Day,Shenanigans,7,7,1,35,21,2,10106250,1764,11295000,0.77,0.09,0.14,52500,58,40,39,5,10,1
2024-08-02,18,-15,3,False,False,136,-0.26,Low,Kelly Clarkson,Thankful,6,6,1,30,18,2,8662500,1512,11295000,0.76,0.09,0.16,45500,50,55,31,3,3,1
2024-08-02,19,-15,4,False,False,135,-0.25,A Moment Like This,Kelly Clarkson,Thankful,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,54,39,3,5,1
2024-08-02,20,NEW,--,True,False,130,--,S/C/A/R/E/C/R/O/W,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,16,16,1,80,48,2,23100000,4032,11295000,0.84,0.09,0.07,115500,130,0,0,20,1,1
2024-08-02,21,NEW,--,True,False,130,--,The Only Hope for Me Is You,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,16,16,1,80,48,2,23100000,4032,11295000,0.84,0.09,0.07,115500,130,0,0,21,1,1
2024-08-02,22,+1,23,True,False,128,-0.02,One Minute,Kelly Clarkson,My December,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,40,22,22,3,1
2024-08-02,23,+7,30,True,False,126,0.05,What's My Age Again?,blink-182,Enema of the State,11,11,1,55,33,2,15881250,2772,11295000,0.82,0.09,0.09,80500,90,36,0,23,2,1
2024-08-02,24,-10,14,False,False,125,-0.11,Guilty as Sin?,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6,6,1,30,18,2,8662500,1512,11295000,0.76,0.09,0.16,45500,50,42,33,3,15,1
2024-08-02,25,-10,15,False,False,124,-0.11,My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6,6,1,30,18,2,8662500,1512,11295000,0.76,0.09,0.16,45500,50,42,32,2,15,1
2024-08-02,26,-17,9,False,False,125,-0.21,Miss Independent,Kelly Clarkson,Thankful,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,48,35,9,5,2
2024-08-02,27,-14,13,False,False,123,-0.12,Piece by Piece,Kelly Clarkson,Piece by Piece (Deluxe Version),5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,42,39,7,3,1
2024-08-02,28,+32,60,False,False,123,0.5,All the Small Things,blink-182,Enema of the State,12,12,1,60,36,2,17325000,3024,11295000,0.82,0.09,0.09,87500,98,25,0,15,8,1
2024-08-02,29,-5,24,False,False,123,-0.06,Never Again,Kelly Clarkson,My December,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,40,17,24,3,1
2024-08-02,30,NEW,--,True,False,122,--,Save Yourself I'll Hold Them Back,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,15,15,1,75,45,2,21656250,3780,11295000,0.84,0.09,0.07,108500,122,0,0,30,1,1
2024-08-02,31,-5,26,False,False,120,-0.02,Don't Waste Your Time,Kelly Clarkson,My December,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,37,17,26,3,1
2024-08-02,32,-5,27,False,False,120,-0.02,Sober,Kelly Clarkson,My December,8,8,1,40,24,2,11550000,2016,11295000,0.79,0.09,0.12,59500,66,37,17,27,3,1
2024-08-02,33,-16,17,False,False,119,-0.12,Invincible,Kelly Clarkson,Piece by Piece (Deluxe Version),5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,41,36,9,3,1
2024-08-02,34,-26,8,False,False,120,-0.25,The Trouble with Love Is,Kelly Clarkson,Thankful,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,49,29,8,5,1
2024-08-02,35,-14,21,False,False,115,-0.12,Heartbeat Song,Kelly Clarkson,Piece by Piece (Deluxe Version),5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,40,33,15,4,1
2024-08-02,36,-14,22,False,False,115,-0.12,Dark Side,Kelly Clarkson,Stronger (Deluxe Version),5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,40,33,16,3,1
2024-08-02,37,-12,25,False,False,113,-0.11,The Black Dog,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,39,32,1,11,1
2024-08-02,38,-7,31,False,False,109,-0.08,I Look in People's Windows,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,36,31,4,11,1
2024-08-02,39,-6,33,False,False,105,-0.06,imgonnagetyouback,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,34,29,10,11,1
2024-08-02,40,-3,37,False,False,102,-0.04,The Albatross,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,32,28,15,11,1
2024-08-02,41,+12,53,False,False,97,0.1,My Life Would Suck Without You,Kelly Clarkson,All I Ever Wanted,6,6,1,30,18,2,8662500,1512,11295000,0.76,0.09,0.16,45500,50,27,20,8,28,1
2024-08-02,42,-7,35,False,False,95,-0.13,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,4,4,1,20,12,2,5775000,1008,11295000,0.7,0.08,0.22,31500,34,33,28,32,9,1
2024-08-02,43,-3,40,False,False,94,-0.04,Mr. Know It All,Kelly Clarkson,Stronger (Deluxe Version),5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,30,22,40,3,1
2024-08-02,44,-10,34,False,False,92,-0.16,Favorite Son,Green Day,21 Guns (DMD Maxi),4,4,1,20,12,2,5775000,1008,11295000,0.7,0.08,0.22,31500,34,33,25,1,8,2
2024-08-02,45,=,45,True,True,88,-0.05,Heat,Kelly Clarkson,Meaning of Life,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,28,18,45,3,2
2024-08-02,46,=,46,True,True,88,-0.05,I Don't Think About You,Kelly Clarkson,Meaning of Life,5,5,1,25,15,2,7218750,1260,11295000,0.73,0.08,0.18,38500,42,28,18,46,3,2
