Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2024-04-12,1,=,1,True,True,206,-0.13,Uptight,Green Day,Nimrod,10,10,1,50,30,2,14639625,2560,11498310,0.81,0.09,0.1,74970,82,72,52,1,5,2
2024-04-12,2,+2,4,False,False,198,-0.05,Nice Guys Finish Last,Green Day,Nimrod,10,9,2,50,27,4,15188250,2390,23855040,0.74,0.07,0.19,77763,81,63,54,1,14,3
2024-04-12,3,-1,2,False,False,176,-0.22,Look Ma No Brains!,Green Day,Saviors,8,6,3,40,18,6,10556700,1384,31106429,0.64,0.05,0.3,54739,64,68,44,1,15,6
2024-04-12,4,+5,9,True,False,159,-0.07,Homecoming,Green Day,American Idiot,11,10,2,55,30,4,15849487,2520,22635180,0.75,0.08,0.17,80822,89,52,18,4,9,1
2024-04-12,5,-2,3,False,False,155,-0.28,All the Time,Green Day,Nimrod,6,6,1,30,18,2,8593200,1502,11249820,0.76,0.09,0.16,45409,50,65,40,3,5,1
2024-04-12,6,+11,17,False,False,143,0.07,Extraordinary Girl / Letterbomb,Green Day,American Idiot,7,7,1,35,21,2,9176475,1605,10301040,0.77,0.09,0.14,47985,58,41,44,2,11,3
2024-04-12,7,NEW,--,True,False,134,--,Buddy Holly,Weezer,Weezer,17,13,5,85,39,10,25083712,3354,57943350,0.69,0.06,0.25,125930,134,0,0,7,1,1
2024-04-12,8,+10,18,False,False,134,0.02,Wake Me Up When September Ends,Green Day,American Idiot,6,6,1,30,18,2,9338175,1632,12221190,0.76,0.09,0.16,49322,50,40,44,1,18,2
2024-04-12,9,+6,15,False,False,129,-0.08,Hitchin' a Ride,Green Day,Nimrod,6,6,1,30,18,2,7813575,1366,10233270,0.76,0.09,0.16,41314,50,42,37,2,15,6
2024-04-12,10,+19,29,False,False,124,0.38,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],9,9,2,45,27,4,12006225,2100,20963520,0.72,0.08,0.2,65100,76,27,21,2,25,2
2024-04-12,11,-3,8,False,False,120,-0.3,Whatsername,Green Day,American Idiot,6,6,1,30,18,2,8194725,1433,10730250,0.76,0.09,0.16,43316,50,52,18,8,9,1
2024-04-12,12,-7,5,False,False,119,-0.43,Prosthetic Head,Green Day,Nimrod,2,2,1,10,6,2,2777775,485,10910970,0.58,0.06,0.36,16940,18,63,38,5,5,2
2024-04-12,13,+13,26,False,False,118,0.19,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),8,8,1,40,24,2,11388300,1991,11182050,0.79,0.09,0.12,59024,66,30,22,2,77,1
2024-04-12,14,+2,16,False,False,117,-0.14,Geek Stink Breath,Green Day,Insomniac,5,5,1,25,15,2,6756750,1181,10617300,0.73,0.08,0.18,36267,42,41,34,6,12,1
2024-04-12,15,-3,12,False,False,116,-0.26,Too Much Too Soon,Green Day,American Idiot (Deluxe),6,6,1,30,18,2,8056125,1409,10549530,0.76,0.09,0.16,42588,50,47,19,12,9,1
2024-04-12,16,-3,13,False,False,116,-0.26,Shoplifter,Green Day,American Idiot (Deluxe),6,6,1,30,18,2,7848225,1372,10278450,0.76,0.09,0.16,41496,50,47,19,13,9,1
