Week,Position,Rise/Fall,Previous Rank,Total Weighted Points,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2020-05-22,1,NEW,,40,REVEAL,THE BOYZ,THE BOYZ 1ST ALBUM [REVEAL],5,3,3,25,9,6,40,0,0,1,1
2020-05-22,2,+14,16,32,Zombie,DAY6,The Book of Us : The Demon,3,3,1,15,9,2,26,6,0,2,2
2020-05-22,3,+11,14,31,Heart Attack,Demi Lovato,Demi,3,2,2,15,6,4,25,6,0,3,2
2020-05-22,4,-3,1,24,Circus,Britney Spears,Circus (Deluxe Version),1,1,1,5,3,2,10,12,2,1,3
2020-05-22,5,+2,7,23,FANCY,TWICE,FANCY YOU,2,1,2,10,3,4,17,6,0,5,2
2020-05-22,6,+41,47,21,Strawberry Shortcake,Melanie Martinez,K-12,2,2,1,10,6,2,18,3,0,6,2
2020-05-22,7,-5,2,21,If U Seek Amy,Britney Spears,Circus (Deluxe Version),1,1,1,5,3,2,10,9,2,2,3
2020-05-22,8,RE,,20,LATATA,(G)I-DLE,I Am,2,2,1,10,6,2,18,0,2,8,2
2020-05-22,9,RE,,20,M.I.L.F. $,Fergie,Double Dutchess,2,2,1,10,6,2,18,0,2,9,2
2020-05-22,10,-6,4,19,NONSTOP,OH MY GIRL,NONSTOP - EP,1,1,1,5,3,2,10,7,2,4,3
2020-05-22,11,NEW,,18,Don't Start Now,Dua Lipa,Don't Start Now,2,2,1,10,6,2,18,0,0,11,1
2020-05-22,12,NEW,,18,Answer,ATEEZ,TREASURE EPILOGUE : Action To Answer - EP,2,2,1,10,6,2,18,0,0,12,1
2020-05-22,13,NEW,,18,WONDERLAND,ATEEZ,TREASURE EP.FIN: All To Action,2,2,1,10,6,2,18,0,0,13,1
2020-05-22,14,NEW,,18,시간이 안 지나가 (Walkin` In Time),THE BOYZ,THE BOYZ DEBUT ALBUM [THE FIRST],2,2,1,10,6,2,18,0,0,14,1
2020-05-22,15,NEW,,18,지킬게 (KeePer) (Prod. Park Kyung),THE BOYZ,THE BOYZ 1st Single Album [THE SPHERE],2,2,1,10,6,2,18,0,0,15,1
2020-05-22,16,NEW,,18,HALA HALA (Hearts Awakened Live Alive),ATEEZ,TREASURE EP.2: Zero to One,2,2,1,10,6,2,18,0,0,16,1
2020-05-22,17,NEW,,18,In & Out,Red Velvet,‘The ReVe Festival’ Finale,2,2,1,10,6,2,18,0,0,17,1
2020-05-22,18,NEW,,18,Gashina,SUNMI,SUNMI SPECIAL EDITION [Gashina],2,2,1,10,6,2,18,0,0,18,1
2020-05-22,19,NEW,,18,HIT,Seventeen,An Ode,2,2,1,10,6,2,18,0,0,19,1
2020-05-22,20,NEW,,18,break up with your girlfriend i'm bored,Ariana Grande,thank u next,2,2,1,10,6,2,18,0,0,20,1
2020-05-22,21,NEW,,18,Twilight,ONEUS,RAISE US,2,2,1,10,6,2,18,0,0,21,1
2020-05-22,22,NEW,,18,Hurts Like Hell (feat. Offset),Madison Beer,Hurts Like Hell (feat. Offset),2,2,1,10,6,2,18,0,0,22,1
2020-05-22,23,NEW,,18,This Is Why We Can't Have Nice Things,Taylor Swift,Reputation,2,2,1,10,6,2,18,0,0,23,1
2020-05-22,24,NEW,,18,Kiss and Make Up,Dua Lipa,Dua Lipa (Complete Edition),2,2,1,10,6,2,18,0,0,24,1
