Week,Position,Rise/Fall,Previous Rank,Total Weighted Points,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2020-09-25,1,NEW,,17,I Just,Red Velvet,Perfect Velvet - The 2nd Album,2,1,2,10,3,4,17,0,0,1,1
2020-09-25,2,RE,,13,9와 4분의 3 승강장에서 너를 기다려 (Run Away),TXT,The Dream Chapter: MAGIC,1,1,1,5,3,2,10,0,3,1,4
2020-09-25,3,RE,,13,Look,Red Velvet,Perfect Velvet - The 2nd Album,1,1,1,5,3,2,10,0,3,2,5
2020-09-25,4,+11,15,13,Back Door,Stray Kids (스트레이 키즈),IN生,1,1,1,5,3,2,10,3,0,4,2
2020-09-25,5,RE,,12,Anaconda,Nicki Minaj,The Pinkprint,1,1,1,5,3,2,10,0,2,5,2
2020-09-25,6,RE,,12,Fire Truck,NCT 127,NCT #127 – The 1st Mini Album,1,1,1,5,3,2,10,0,2,6,3
2020-09-25,7,RE,,12,Cherry Bomb,NCT 127,NCT #127 CHERRY BOMB – The 3rd Mini Album,1,1,1,5,3,2,10,0,2,5,3
2020-09-25,8,RE,,12,pete davidson,Ariana Grande,Sweetener,1,1,1,5,3,2,10,0,2,8,2
2020-09-25,9,RE,,12,Genie,Girls' Generation,Oh!,1,1,1,5,3,2,10,0,2,5,2
2020-09-25,10,RE,,12,WANNABE,ITZY,IT'z ME,1,1,1,5,3,2,10,0,2,6,3
2020-09-25,11,RE,,12,Naturally,Selena Gomez & the Scene,Kiss & Tell,1,1,1,5,3,2,10,0,2,4,2
2020-09-25,12,RE,,12,Still Into You,Paramore,Paramore,1,1,1,5,3,2,10,0,2,12,3
2020-09-25,13,RE,,12,I’m Your Boy,THE BOYZ,THE BOYZ DEBUT ALBUM [THE FIRST],1,1,1,5,3,2,10,0,2,13,2
2020-09-25,14,RE,,12,La Rouge,Red Velvet,‘The ReVe Festival’ Finale - EP,1,1,1,5,3,2,10,0,2,14,2
2020-09-25,15,RE,,12,You Can STAY,Stray Kids (스트레이 키즈),Cl? : LEVANTER,1,1,1,5,3,2,10,0,2,15,2
2020-09-25,16,RE,,12,Jumpin’,Red Velvet,‘The ReVe Festival’ Day 2 - EP,1,1,1,5,3,2,10,0,2,13,2
2020-09-25,17,RE,,12,Hallucinate,Dua Lipa,Future Nostalgia,1,1,1,5,3,2,10,0,2,9,5
2020-09-25,18,RE,,12,A Million Dreams,Ziv Zaifman Hugh Jackman & Michelle Williams,The Greatest Showman (Original Motion Picture Soundtrack),1,1,1,5,3,2,10,0,2,7,2
2020-09-25,19,RE,,12,better off,Ariana Grande,Sweetener,1,1,1,5,3,2,10,0,2,8,2
2020-09-25,20,RE,,12,Pacify Her,Melanie Martinez,Cry Baby (Deluxe Edition),1,1,1,5,3,2,10,0,2,16,3
2020-09-25,21,RE,,12,Word Up!,Little Mix,Word Up! - Single,1,1,1,5,3,2,10,0,2,21,3
2020-09-25,22,RE,,12,I'm Every Woman,Taylor Swift,Unreleased Songs,1,1,1,5,3,2,10,0,2,19,2
2020-09-25,23,RE,,12,Magnolia,Too,REASON FOR BEING : Benevolence - EP,1,1,1,5,3,2,10,0,2,10,2
2020-09-25,24,RE,,12,One Of These Nights (Piano Version),Red Velvet,The Velvet - The 2nd Mini Album,1,1,1,5,3,2,10,0,2,3,2
2020-09-25,25,RE,,12,HOT SUMMER NIGHTS,OH MY GIRL,Oh My Girl - EP,1,1,1,5,3,2,10,0,2,12,2
2020-09-25,26,RE,,12,Dance Again (feat. Pitbull),Jennifer Lopez,Dance Again...The Hits,1,1,1,5,3,2,10,0,2,15,2
2020-09-25,27,RE,,12,Light Me Up,Red Velvet,The Velvet - The 2nd Mini Album,1,1,1,5,3,2,10,0,2,11,2
2020-09-25,28,RE,,12,Boyfriend,Selena Gomez,Rare (Deluxe),1,1,1,5,3,2,10,0,2,28,3
2020-09-25,29,NEW,,10,Ridin',NCT DREAM,Reload,1,1,1,5,3,2,10,0,0,29,1
2020-09-25,30,NEW,,10,Taste,Red Velvet,RBB - The 5th Mini Album - EP,1,1,1,5,3,2,10,0,0,30,1
2020-09-25,31,NEW,,10,Oh My God,(G)I-DLE,I Trust - EP,1,1,1,5,3,2,10,0,0,31,1
2020-09-25,32,NEW,,10,We Go (방찬 & 창빈 & 한),Stray Kids (스트레이 키즈),IN生,1,1,1,5,3,2,10,0,0,32,1
2020-09-25,33,NEW,,10,All Right,Red Velvet,The Perfect Red Velvet - The 2nd Album Repackage - EP,1,1,1,5,3,2,10,0,0,33,1
2020-09-25,34,NEW,,10,Décalcomanie (데칼코마니),MAMAMOO,MEMORY,1,1,1,5,3,2,10,0,0,34,1
2020-09-25,35,NEW,,10,Day 1,Red Velvet,The Red - The 1st Album,1,1,1,5,3,2,10,0,0,35,1
2020-09-25,36,NEW,,10,successful,Ariana Grande,Sweetener,1,1,1,5,3,2,10,0,0,36,1
2020-09-25,37,NEW,,10,Young and Beautiful,Lana Del Rey,The Great Gatsby (Music From Baz Luhrmann's Film) [Deluxe Edition],1,1,1,5,3,2,10,0,0,37,1
2020-09-25,38,NEW,,10,Eyes Locked Hands Locked,Red Velvet,‘The ReVe Festival’ Day 2 - EP,1,1,1,5,3,2,10,0,0,38,1
2020-09-25,39,NEW,,10,Swish Swish,Katy Perry,Witness,1,1,1,5,3,2,10,0,0,39,1
2020-09-25,40,NEW,,10,STAY BY MY SIDE,TWICE,BDZ -Repackage-,1,1,1,5,3,2,10,0,0,40,1
2020-09-25,41,NEW,,10,About Love,Red Velvet,Perfect Velvet - The 2nd Album,1,1,1,5,3,2,10,0,0,41,1
2020-09-25,42,NEW,,10,Q&A,SEVENTEEN & Ailee,Q&A,1,1,1,5,3,2,10,0,0,42,1
2020-09-25,43,NEW,,10,GO,NCT DREAM,NCT 2018 EMPATHY,1,1,1,5,3,2,10,0,0,43,1
2020-09-25,44,NEW,,10,Top Gang,MCND,Top Gang - Single,1,1,1,5,3,2,10,0,0,44,1
2020-09-25,45,NEW,,10,Lose You to Love Me,Selena Gomez,Lose You To Love Me - Single,1,1,1,5,3,2,10,0,0,45,1
2020-09-25,46,NEW,,10,Greased Lightnin',John Travolta,Grease (The Original Soundtrack from the Motion Picture),1,1,1,5,3,2,10,0,0,46,1
2020-09-25,47,NEW,,10,덤디덤디 (DUMDi DUMDi),(여자)아이들,덤디덤디 (DUMDi DUMDi),1,1,1,5,3,2,10,0,0,47,1
2020-09-25,48,NEW,,10,청사진 (Blueprint),Stray Kids,GO生 (GO LIVE),1,1,1,5,3,2,10,0,0,48,1
2020-09-25,49,NEW,,10,Kingdom Come,Red Velvet,Perfect Velvet - The 2nd Album,1,1,1,5,3,2,10,0,0,49,1
2020-09-25,50,NEW,,10,Freak,Little Mix,Glory Days (Deluxe),1,1,1,5,3,2,10,0,0,50,1
2020-09-25,51,NEW,,10,To Heart,fromis_9,To. Heart,1,1,1,5,3,2,10,0,0,51,1
2020-09-25,52,NEW,,10,If I'm Being Honest,dodie,Human,1,1,1,5,3,2,10,0,0,52,1
2020-09-25,53,RE,,10,Blow Your Mind (Mwah),Dua Lipa,Dua Lipa (Deluxe),1,1,1,5,3,2,10,0,0,36,3
2020-09-25,54,RE,,10,TOP (Tower of God OP),Stray Kids,TOP,1,1,1,5,3,2,10,0,0,23,2
2020-09-25,55,RE,,10,DUN DUN,Everglow,reminiscence - EP,1,1,1,5,3,2,10,0,0,10,3
2020-09-25,56,RE,,10,peace,Taylor Swift,folklore,1,1,1,5,3,2,10,0,0,14,2
2020-09-25,57,RE,,10,Gone Days,Stray Kids,GO生 (GO LIVE),1,1,1,5,3,2,10,0,0,2,2
2020-09-25,58,RE,,10,Physical,Dua Lipa,Future Nostalgia,1,1,1,5,3,2,10,0,0,18,5
2020-09-25,59,RE,,10,Wave,ATEEZ,TREASURE EP.3 : One To All,1,1,1,5,3,2,10,0,0,19,2
2020-09-25,60,RE,,10,this is me trying,Taylor Swift,folklore,1,1,1,5,3,2,10,0,0,4,2
2020-09-25,61,RE,,10,Starry Night,MAMAMOO,Yellow Flower,1,1,1,5,3,2,10,0,0,61,2
2020-09-25,62,RE,,10,일상 (Another Day),Stray Kids,GO生 (GO LIVE),1,1,1,5,3,2,10,0,0,9,2
2020-09-25,63,RE,,10,Wheels on the Bus,Melanie Martinez,K-12,1,1,1,5,3,2,10,0,0,63,2
2020-09-25,64,RE,,10,Pirate King,ATEEZ,TREASURE EP.1: All to Zero,1,1,1,5,3,2,10,0,0,6,4
2020-09-25,65,RE,,10,神메뉴 (God's Menu),Stray Kids,GO生 (GO LIVE),1,1,1,5,3,2,10,0,0,3,3
2020-09-25,66,RE,,10,세계가 불타버린 밤 우린... (Can't You See Me?),TXT,THE DREAM CHAPTER : ETERNITY,1,1,1,5,3,2,10,0,0,11,3
2020-09-25,67,RE,,10,illicit affairs,Taylor Swift,folklore,1,1,1,5,3,2,10,0,0,3,2
2020-09-25,68,RE,,10,거침없이 (Just do it),BSS (SEVENTEEN),BSS Digital Single ‘Just do it’,1,1,1,5,3,2,10,0,0,3,2
2020-09-25,69,RE,,10,Illusion,ATEEZ,TREASURE EP.3: One To All,1,1,1,5,3,2,10,0,0,22,2
2020-09-25,70,RE,,10,Macavity,Taylor Swift,Cats: Highlights From the Motion Picture Soundtrack,1,1,1,5,3,2,10,0,0,13,2
2020-09-25,71,RE,,10,the light is coming (feat. Nicki Minaj),Ariana Grande,Sweetener,1,1,1,5,3,2,10,0,0,4,2
2020-09-25,72,RE,,10,exile,Taylor Swift Bon Iver,folklore,1,1,1,5,3,2,10,0,0,10,2
2020-09-25,73,RE,,10,Milk and Cookies,Melanie Martinez,Cry Baby,1,1,1,5,3,2,10,0,0,5,2
2020-09-25,74,RE,,10,So What,이달의 소녀 (Loona),[#],1,1,1,5,3,2,10,0,0,15,2
2020-09-25,75,RE,,10,Truth Hurts,Lizzo,Cuz I Love You (Deluxe),1,1,1,5,3,2,10,0,0,7,2
2020-09-25,76,RE,,10,Toxic,Britney Spears,In the Zone,1,1,1,5,3,2,10,0,0,36,2
2020-09-25,77,RE,,10,A Year Without Rain,Selena Gomez & the Scene,A Year Without Rain,1,1,1,5,3,2,10,0,0,13,4
2020-09-25,78,RE,,10,hoax,Taylor Swift,folklore,1,1,1,5,3,2,10,0,0,13,2
2020-09-25,79,RE,,10,Psycho,Red Velvet,‘The ReVe Festival’ Finale - EP,1,1,1,5,3,2,10,0,0,11,4
2020-09-25,80,RE,,10,Your Gravity,UP10TION,The Moment of Illusion - EP,1,1,1,5,3,2,10,0,0,1,5
2020-09-25,81,RE,,10,넌 is 뭔들 (You`re the Best),MAMAMOO,Melting,1,1,1,5,3,2,10,0,0,17,2
2020-09-25,82,RE,,10,Uncover (Sung by SEULGI) (Bonus Track),Red Velvet - IRENE & SEULGI,Monster - The 1st Mini Album,1,1,1,5,3,2,10,0,0,1,2
2020-09-25,83,RE,,10,TOUCH,NCT 127,NCT 2018 EMPATHY,1,1,1,5,3,2,10,0,0,9,3
2020-09-25,84,RE,,10,Catch Me If You Can,Girls' Generation,Catch Me If You Can - Single,1,1,1,5,3,2,10,0,0,20,3
2020-09-25,85,RE,,10,Attaboy,Red Velvet,Perfect Velvet - The 2nd Album,1,1,1,5,3,2,10,0,0,6,2
2020-09-25,86,RE,,10,The Reason Why,TWICE,&TWICE,1,1,1,5,3,2,10,0,0,14,2
2020-09-25,87,RE,,10,Rare,Selena Gomez,Rare,1,1,1,5,3,2,10,0,0,77,2
2020-09-25,88,RE,,10,Dance With the Devil,Katy Perry,Witness (Deluxe),1,1,1,5,3,2,10,0,0,53,2
2020-09-25,89,RE,,10,Mr. Potter,DIA,Spell,1,1,1,5,3,2,10,0,0,25,2
2020-09-25,90,RE,,10,Cool for the Summer,Demi Lovato,Confident (Deluxe Edition),1,1,1,5,3,2,10,0,0,44,3
2020-09-25,91,RE,,10,Carpool,Red Velvet,‘The ReVe Festival’ Day 2 - EP,1,1,1,5,3,2,10,0,0,22,2
2020-09-25,92,RE,,10,Happy,WJSN,Happy Moment,1,1,1,5,3,2,10,0,0,4,3
2020-09-25,93,RE,,10,Answer,ATEEZ,TREASURE EPILOGUE : Action To Answer - EP,1,1,1,5,3,2,10,0,0,12,3
2020-09-25,94,RE,,10,舞い落ちる花びら（Fallin' Flower）,Seventeen,舞い落ちる花びら（Fallin' Flower）,1,1,1,5,3,2,10,0,0,15,3
2020-09-25,95,RE,,10,WONDERLAND,ATEEZ,TREASURE EP.FIN : All To Action,1,1,1,5,3,2,10,0,0,2,4
2020-09-25,96,RE,,10,REVEAL,THE BOYZ,THE BOYZ 1ST ALBUM [REVEAL],1,1,1,5,3,2,10,0,0,1,2
2020-09-25,97,RE,,10,Bounce Back,Little Mix,Bounce Back - Single,1,1,1,5,3,2,10,0,0,15,2
2020-09-25,98,RE,,10,Blue Jeans,Lana Del Rey,Born to Die,1,1,1,5,3,2,10,0,0,15,2
2020-09-25,99,RE,,10,Detention,Melanie Martinez,K-12,1,1,1,5,3,2,10,0,0,91,2
2020-09-25,100,RE,,10,Twilight,ONEUS,Raise Us - EP,1,1,1,5,3,2,10,0,0,17,3
