Week,Position,Rise/Fall,Previous Rank,Total Weighted Points,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2020-06-05,1,NEW,,26,SWEET SUMMER DAY,TWICE,MORE & MORE,3,3,1,15,9,2,26,0,0,1,1
2020-06-05,2,NEW,,26,MAKE ME GO,TWICE,MORE & MORE,3,3,1,15,9,2,26,0,0,2,1
2020-06-05,3,NEW,,26,FIREWORK,TWICE,MORE & MORE,3,3,1,15,9,2,26,0,0,3,1
2020-06-05,4,NEW,,26,OXYGEN,TWICE,MORE & MORE,3,3,1,15,9,2,26,0,0,4,1
2020-06-05,5,NEW,,26,MORE & MORE,TWICE,MORE & MORE,3,3,1,15,9,2,26,0,0,5,1
2020-06-05,6,+10,16,19,Pirate King,ATEEZ,TREASURE EP.1: All to Zero,1,1,1,5,3,2,10,5,4,6,3
2020-06-05,7,NEW,,18,DON'T CALL ME AGAIN,TWICE,MORE & MORE,2,2,1,10,6,2,18,0,0,7,1
2020-06-05,8,NEW,,18,SHADOW,TWICE,MORE & MORE,2,2,1,10,6,2,18,0,0,8,1
2020-06-05,9,-6,3,16,Happy,WJSN,Happy Moment,1,1,1,5,3,2,10,6,0,3,2
2020-06-05,10,-9,1,16,Valkyrie,ONEUS,LIGHT US,1,1,1,5,3,2,10,6,0,1,2
2020-06-05,11,RE,,15,FANCY,TWICE,FANCY YOU,1,1,1,5,3,2,10,0,5,5,3
2020-06-05,12,RE,,14,Answer,ATEEZ,TREASURE EPILOGUE : Action To Answer - EP,1,1,1,5,3,2,10,0,4,12,2
2020-06-05,13,RE,,14,A Year Without Rain,Selena Gomez & the Scene,A Year Without Rain,1,1,1,5,3,2,10,0,4,13,3
2020-06-05,14,RE,,13,FINGERTIP,GFRIEND,GFRIEND The 4th Mini Album 'THE AWAKENING',1,1,1,5,3,2,10,0,3,14,3
2020-06-05,15,NEW,,10,So What,이달의 소녀 (Loona),[#],1,1,1,5,3,2,10,0,0,15,1
2020-06-05,16,NEW,,10,Butterflies,Zendaya,Zendaya,1,1,1,5,3,2,10,0,0,16,1
2020-06-05,17,NEW,,10,Ain't Your Mama,Jennifer Lopez,Ain't Your Mama,1,1,1,5,3,2,10,0,0,17,1
2020-06-05,18,NEW,,10,Work Bitch,Britney Spears,Britney Jean (Deluxe Version),1,1,1,5,3,2,10,0,0,18,1
2020-06-05,19,NEW,,10,Wave,ATEEZ,TREASURE EP.3 : One To All,1,1,1,5,3,2,10,0,0,19,1
2020-06-05,20,NEW,,10,Stay Tonight,CHUNG HA,Stay Tonight - Single,1,1,1,5,3,2,10,0,0,20,1
2020-06-05,21,NEW,,10,Rain On Me,Lady Gaga/Ariana Grande,Rain on Me,1,1,1,5,3,2,10,0,0,21,1
2020-06-05,22,NEW,,10,Illusion,ATEEZ,TREASURE EP.3: One To All,1,1,1,5,3,2,10,0,0,22,1
2020-06-05,23,NEW,,10,Sour Candy,Lady Gaga & BLACKPINK,Chromatica,1,1,1,5,3,2,10,0,0,23,1
2020-06-05,24,RE,,10,A.D.I.D.A.S.,Little Mix,Get Weird (Deluxe),1,1,1,5,3,2,10,0,0,10,2
2020-06-05,25,RE,,10,Break My Heart,Dua Lipa,Future Nostalgia,1,1,1,5,3,2,10,0,0,11,2
