Week,Position,Rise/Fall,Song,Artist,Album,Total Points,Streams Points,Sales Points,Airplay Points
2024-01-05,1,NEW,Basket Case,Green Day,Green Day,312,200k,108k,4k
2024-01-05,2,NEW,American Idiot,Green Day,Green Day,309,195k,102k,12k
2024-01-05,3,NEW,Teenagers,My Chemical Romance,My Chemical Romance,234,145k,87k,2k
2024-01-05,4,NEW,Wake Me Up When September Ends,Green Day,Green Day,226,140k,84k,2k
2024-01-05,5,NEW,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,218,135k,81k,2k
2024-01-05,6,NEW,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,202,125k,75k,2k
2024-01-05,7,NEW,Dead!,My Chemical Romance,My Chemical Romance,194,120k,72k,2k
2024-01-05,8,NEW,I Don't Love You,My Chemical Romance,My Chemical Romance,178,110k,66k,2k
2024-01-05,9,NEW,Famous Last Words,My Chemical Romance,My Chemical Romance,170,105k,63k,2k
2024-01-05,10,NEW,21 Guns,Green Day,Green Day,105,65k,36k,4k
2024-01-05,11,NEW,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,82,50k,30k,2k
2024-01-05,12,NEW,Take on Me,a-ha,a-ha,80,50k,24k,6k
2024-01-05,13,NEW,Hard Feelings/Loveless,Lorde,Lorde,77,50k,15k,12k
2024-01-05,14,NEW,Breakaway,Kelly Clarkson,Kelly Clarkson,74,45k,27k,2k
2024-01-05,15,NEW,Style (Taylor's Version),Taylor Swift,Taylor Swift,74,45k,27k,2k
2024-01-05,16,NEW,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,74,45k,27k,2k
2024-01-05,17,NEW,Uptown Girl,Westlife,Westlife,73,45k,24k,4k
2024-01-05,18,NEW,A Thousand Miles,Vanessa Carlton,Vanessa Carlton,66,40k,24k,2k
2024-01-05,19,NEW,Look Ma No Brains!,Green Day,Green Day,66,40k,24k,2k
2024-01-05,20,NEW,The American Dream Is Killing Me,Green Day,Green Day,66,40k,24k,2k
2024-01-05,21,NEW,Dilemma,Green Day,Green Day,66,40k,24k,2k
2024-01-05,22,NEW,Because of You,Kelly Clarkson,Kelly Clarkson,66,40k,24k,2k
2024-01-05,23,NEW,My Life Would Suck Without You,Kelly Clarkson,Kelly Clarkson,66,40k,24k,2k
2024-01-05,24,NEW,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,66,40k,24k,2k
2024-01-05,25,NEW,One Eyed Bastard,Green Day,Green Day,65,40k,21k,4k
2024-01-05,26,NEW,Make Your Own Kind of Music,Cass Elliot,Cass Elliot,58,35k,21k,2k
2024-01-05,27,NEW,burned out,dodie,dodie,58,35k,21k,2k
2024-01-05,28,NEW,Here Comes the Sun - Remastered 2009,The Beatles,The Beatles,50,30k,18k,2k
2024-01-05,29,NEW,Vision of Love,Mariah Carey,Mariah Carey,50,30k,18k,2k
2024-01-05,30,NEW,Talking In Your Sleep (2023 Remaster),The Romantics,The Romantics,50,30k,18k,2k
2024-01-05,31,NEW,Helena,My Chemical Romance,My Chemical Romance,50,30k,18k,2k
2024-01-05,32,NEW,Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-01-05,33,NEW,Bye Bye Bye,*NSYNC,*NSYNC,42,25k,15k,2k
2024-01-05,34,NEW,The Ghost of You,My Chemical Romance,My Chemical Romance,42,25k,15k,2k
2024-01-05,35,NEW,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,42,25k,15k,2k
2024-01-05,36,NEW,She's So Mean,Matchbox Twenty,Matchbox Twenty,42,25k,15k,2k
2024-01-05,37,NEW,Monster,dodie,dodie,42,25k,15k,2k
2024-01-05,38,NEW,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney Houston,34,20k,12k,2k
2024-01-05,39,NEW,Behind These Hazel Eyes,Kelly Clarkson,Kelly Clarkson,34,20k,12k,2k
2024-01-05,40,NEW,It's Gonna Be Me,*NSYNC,*NSYNC,34,20k,12k,2k
2024-01-05,41,NEW,You’re Losing Me (From the Vault),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-01-05,42,NEW,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-01-05,43,NEW,Midnight Rain,Taylor Swift,Taylor Swift,34,20k,12k,2k
2024-01-05,44,NEW,Baddie,IVE,IVE,34,20k,12k,2k
2024-01-05,45,NEW,Buttons,The Pussycat Dolls,The Pussycat Dolls,34,20k,12k,2k
2024-01-05,46,NEW,Lucky,Britney Spears,Britney Spears,34,20k,12k,2k
2024-01-05,47,NEW,22 (Taylor's Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-01-05,48,NEW,Complicated,Avril Lavigne,Avril Lavigne,26,15k,9k,2k
2024-01-05,49,NEW,My Happy Ending,Avril Lavigne,Avril Lavigne,26,15k,9k,2k
2024-01-05,50,NEW,I'm with You,Avril Lavigne,Avril Lavigne,26,15k,9k,2k
2024-01-05,51,NEW,Nobody's Home,Avril Lavigne,Avril Lavigne,26,15k,9k,2k
2024-01-05,52,NEW,Hollaback Girl,Gwen Stefani,Gwen Stefani,26,15k,9k,2k
2024-01-05,53,NEW,Irreplaceable,Beyoncé,Beyoncé,26,15k,9k,2k
2024-01-05,54,NEW,Sometimes,Britney Spears,Britney Spears,26,15k,9k,2k
2024-01-05,55,NEW,Stickwitu,The Pussycat Dolls,The Pussycat Dolls,26,15k,9k,2k
2024-01-05,56,NEW,Sweet Crazy Love (Eng Ver.),ODD EYE CIRCLE (ARTMS),ODD EYE CIRCLE (ARTMS),26,15k,9k,2k
2024-01-05,57,NEW,Arms Unfolding,dodie,dodie,26,15k,9k,2k
2024-01-05,58,NEW,Girlfriend,Avril Lavigne,Avril Lavigne,26,15k,9k,2k
2024-01-05,59,NEW,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly Clarkson,26,15k,9k,2k
2024-01-05,60,NEW,Physical,Dua Lipa,Dua Lipa,26,15k,9k,2k
2024-01-05,61,NEW,Unwell,Matchbox Twenty,Matchbox Twenty,26,15k,9k,2k
2024-01-05,62,NEW,Oops!...I Did It Again,Britney Spears,Britney Spears,26,15k,9k,2k
2024-01-05,63,NEW,Keep on Movin',Five,Five,26,15k,9k,2k
2024-01-05,64,NEW,Sk8er Boi,Avril Lavigne,Avril Lavigne,26,15k,9k,2k
2024-01-05,65,NEW,Alapaap,Eraserheads,Eraserheads,26,15k,9k,2k
2024-01-05,66,NEW,Soñar (Breaker),NMIXX,NMIXX,26,15k,9k,2k
2024-01-05,67,NEW,Walk Away,Kelly Clarkson,Kelly Clarkson,26,15k,9k,2k
2024-01-05,68,NEW,bad idea right?,Olivia Rodrigo,Olivia Rodrigo,26,15k,9k,2k
2024-01-05,69,NEW,West Coast,Lana Del Rey,Lana Del Rey,24,15k,3k,6k
2024-01-05,70,NEW,Focus,Ariana Grande,Ariana Grande,24,15k,3k,6k
2024-01-05,71,NEW,When I Grow Up,The Pussycat Dolls,The Pussycat Dolls,18,10k,6k,2k
2024-01-05,72,NEW,Bon Appétit,Katy Perry,Katy Perry,18,10k,6k,2k
2024-01-05,73,NEW,Chained to the Rhythm,Katy Perry,Katy Perry,18,10k,6k,2k
2024-01-05,74,NEW,Swish Swish,Katy Perry,Katy Perry,18,10k,6k,2k
2024-01-05,75,NEW,Hey Jude - Remastered 2015,The Beatles,The Beatles,18,10k,6k,2k
2024-01-05,76,NEW,Sweet Child o' Mine,Guns N' Roses,Guns N' Roses,18,10k,6k,2k
2024-01-05,77,NEW,Dreamlover,Mariah Carey,Mariah Carey,18,10k,6k,2k
2024-01-05,78,NEW,Hung Up,Madonna,Madonna,18,10k,6k,2k
2024-01-05,79,NEW,Hey Ya!,OutKast,OutKast,18,10k,6k,2k
2024-01-05,80,NEW,Touch My Body,Mariah Carey,Mariah Carey,18,10k,6k,2k
2024-01-05,81,NEW,#Beautiful,Mariah Carey,Mariah Carey,18,10k,6k,2k
2024-01-05,82,NEW,Lips of an Angel,Hinder,Hinder,18,10k,6k,2k
2024-01-05,83,NEW,Pon de Replay,Rihanna,Rihanna,18,10k,6k,2k
2024-01-05,84,NEW,Is It Over Now? (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,85,NEW,Suburban Legends (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,86,NEW,Bad Blood (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,87,NEW,I Wish You Would (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,88,NEW,Out of the Woods (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,89,NEW,New Romantics (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,90,NEW,Welcome to New York (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,91,NEW,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-05,92,NEW,Kiss You,One Direction,One Direction,18,10k,6k,2k
2024-01-05,93,NEW,Call Me Maybe,Carly Rae Jepsen,Carly Rae Jepsen,18,10k,6k,2k
2024-01-05,94,NEW,Say My Name,Destiny's Child,Destiny's Child,18,10k,6k,2k
2024-01-05,95,NEW,What the Hell,Avril Lavigne,Avril Lavigne,18,10k,6k,2k
2024-01-05,96,NEW,I Really Like You,Carly Rae Jepsen,Carly Rae Jepsen,18,10k,6k,2k
2024-01-05,97,NEW,The Way,Ariana Grande,Ariana Grande,18,10k,6k,2k
2024-01-05,98,NEW,Smile,Avril Lavigne,Avril Lavigne,18,10k,6k,2k
2024-01-05,99,NEW,U Can't Touch This,MC Hammer,MC Hammer,18,10k,6k,2k
2024-01-05,100,NEW,In the End,Linkin Park,Linkin Park,18,10k,6k,2k
2024-01-12,1,RE,When I Come Around,Green Day,Green Day,282,175k,105k,2k
2024-01-12,2,+33,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,274,170k,102k,2k
2024-01-12,3,+31,The Ghost of You,My Chemical Romance,My Chemical Romance,266,165k,99k,2k
2024-01-12,4,+6,21 Guns,Green Day,Green Day,258,160k,96k,2k
2024-01-12,5,+3,I Don't Love You,My Chemical Romance,My Chemical Romance,258,160k,96k,2k
2024-01-12,6,+25,Helena,My Chemical Romance,My Chemical Romance,258,160k,96k,2k
2024-01-12,7,RE,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,My Chemical Romance,256,160k,90k,6k
2024-01-12,8,RE,Know Your Enemy,Green Day,Green Day,242,150k,90k,2k
2024-01-12,9,=,Famous Last Words,My Chemical Romance,My Chemical Romance,242,150k,90k,2k
2024-01-12,10,RE,Blood - Hidden Track,My Chemical Romance,My Chemical Romance,210,130k,78k,2k
2024-01-12,11,-9,American Idiot,Green Day,Green Day,209,130k,75k,4k
2024-01-12,12,-6,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,194,120k,72k,2k
2024-01-12,13,-12,Basket Case,Green Day,Green Day,170,105k,63k,2k
2024-01-12,14,-11,Teenagers,My Chemical Romance,My Chemical Romance,162,100k,60k,2k
2024-01-12,15,RE,Mama,My Chemical Romance,My Chemical Romance,154,95k,57k,2k
2024-01-12,16,RE,She,Green Day,Green Day,154,95k,57k,2k
2024-01-12,17,RE,Sleep,My Chemical Romance,My Chemical Romance,146,90k,54k,2k
2024-01-12,18,RE,Hitchin' a Ride,Green Day,Green Day,146,90k,54k,2k
2024-01-12,19,-12,Dead!,My Chemical Romance,My Chemical Romance,138,85k,51k,2k
2024-01-12,20,RE,Good Riddance (Time of Your Life),Green Day,Green Day,130,80k,48k,2k
2024-01-12,21,-2,Look Ma No Brains!,Green Day,Green Day,104,65k,33k,6k
2024-01-12,22,RE,Are We the Waiting / St. Jimmy,Green Day,Green Day,90,55k,33k,2k
2024-01-12,23,-8,Style (Taylor's Version),Taylor Swift,Taylor Swift,82,50k,30k,2k
2024-01-12,24,-20,Wake Me Up When September Ends,Green Day,Green Day,82,50k,30k,2k
2024-01-12,25,+17,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,Taylor Swift,74,45k,27k,2k
2024-01-12,26,-1,One Eyed Bastard,Green Day,Green Day,74,45k,27k,2k
2024-01-12,27,-3,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,73,45k,24k,4k
2024-01-12,28,-23,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,66,40k,24k,2k
2024-01-12,29,+3,Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,66,40k,24k,2k
2024-01-12,30,-10,The American Dream Is Killing Me,Green Day,Green Day,66,40k,24k,2k
2024-01-12,31,-10,Dilemma,Green Day,Green Day,66,40k,24k,2k
2024-01-12,32,-18,Breakaway,Kelly Clarkson,Kelly Clarkson,58,35k,21k,2k
2024-01-12,33,-17,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,58,35k,21k,2k
2024-01-12,34,-23,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,57,35k,18k,4k
2024-01-12,35,+52,I Wish You Would (Taylor's Version),Taylor Swift,Taylor Swift,52,35k,3k,14k
2024-01-12,36,+7,Midnight Rain,Taylor Swift,Taylor Swift,56,35k,15k,6k
2024-01-12,37,-25,Take on Me,a-ha,a-ha,34,20k,12k,2k
2024-01-12,38,-12,Make Your Own Kind of Music,Cass Elliot,Cass Elliot,34,20k,12k,2k
2024-01-12,39,+17,Sweet Crazy Love (Eng Ver.),ODD EYE CIRCLE (ARTMS),ODD EYE CIRCLE (ARTMS),34,20k,12k,2k
2024-01-12,40,-18,Because of You,Kelly Clarkson,Kelly Clarkson,34,20k,12k,2k
2024-01-12,41,-23,A Thousand Miles,Vanessa Carlton,Vanessa Carlton,34,20k,12k,2k
2024-01-12,42,-25,Uptown Girl,Westlife,Westlife,34,20k,12k,2k
2024-01-12,43,-2,You’re Losing Me (From the Vault),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-01-12,44,+26,Focus,Ariana Grande,Ariana Grande,24,15k,3k,6k
2024-01-12,45,+3,Complicated,Avril Lavigne,Avril Lavigne,18,10k,6k,2k
2024-01-12,46,-16,Talking In Your Sleep (2023 Remaster),The Romantics,The Romantics,18,10k,6k,2k
2024-01-12,47,-8,Behind These Hazel Eyes,Kelly Clarkson,Kelly Clarkson,18,10k,6k,2k
2024-01-12,48,+45,Call Me Maybe,Carly Rae Jepsen,Carly Rae Jepsen,10,5k,3k,2k
2024-01-12,49,+39,Out of the Woods (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-01-12,50,+41,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-01-12,51,+45,I Really Like You,Carly Rae Jepsen,Carly Rae Jepsen,10,5k,3k,2k
2024-01-12,52,+6,Girlfriend,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-12,53,+42,What the Hell,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-12,54,-5,My Happy Ending,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-12,55,-5,I'm with You,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-12,56,+24,Touch My Body,Mariah Carey,Mariah Carey,10,5k,3k,2k
2024-01-12,57,-34,My Life Would Suck Without You,Kelly Clarkson,Kelly Clarkson,10,5k,3k,2k
2024-01-12,58,-12,Lucky,Britney Spears,Britney Spears,10,5k,3k,2k
2024-01-12,59,-15,Baddie,IVE,IVE,10,5k,3k,2k
2024-01-12,60,-33,burned out,dodie,dodie,10,5k,3k,2k
2024-01-12,61,-14,22 (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-01-12,62,-33,Vision of Love,Mariah Carey,Mariah Carey,10,5k,3k,2k
2024-01-12,63,=,Keep on Movin',Five,Five,10,5k,3k,2k
2024-01-19,1,+20,Look Ma No Brains!,Green Day,Green Day,729,520k,141k,68k
2024-01-19,2,RE,Redundant,Green Day,Green Day,279,175k,96k,8k
2024-01-19,3,+15,Hitchin' a Ride,Green Day,Green Day,242,150k,90k,2k
2024-01-19,4,+9,Basket Case,Green Day,Green Day,122,75k,45k,2k
2024-01-19,5,+25,The American Dream Is Killing Me,Green Day,Green Day,194,120k,72k,2k
2024-01-19,6,RE,Walking Contradiction,Green Day,Green Day,210,135k,69k,6k
2024-01-19,7,-6,When I Come Around,Green Day,Green Day,202,125k,75k,2k
2024-01-19,8,+23,Dilemma,Green Day,Green Day,178,110k,66k,2k
2024-01-19,9,+17,One Eyed Bastard,Green Day,Green Day,178,110k,66k,2k
2024-01-19,10,RE,1981,Green Day,Green Day,194,120k,72k,2k
2024-01-19,11,RE,Platypus (I Hate You),Green Day,Green Day,194,120k,72k,2k
2024-01-19,12,+3,Mama,My Chemical Romance,My Chemical Romance,194,120k,72k,2k
2024-01-19,13,-2,American Idiot,Green Day,Green Day,98,60k,36k,2k
2024-01-19,14,RE,Coma City,Green Day,Green Day,186,115k,69k,2k
2024-01-19,15,RE,Bobby Sox,Green Day,Green Day,178,110k,66k,2k
2024-01-19,16,RE,Saviors,Green Day,Green Day,178,110k,66k,2k
2024-01-19,17,RE,Father to a Son,Green Day,Green Day,178,110k,66k,2k
2024-01-19,18,RE,Living in the '20s,Green Day,Green Day,178,110k,66k,2k
2024-01-19,19,RE,Corvette Summer,Green Day,Green Day,178,110k,66k,2k
2024-01-19,20,-4,She,Green Day,Green Day,170,105k,63k,2k
2024-01-19,21,+3,Wake Me Up When September Ends,Green Day,Green Day,98,60k,36k,2k
2024-01-19,22,-5,Sleep,My Chemical Romance,My Chemical Romance,162,100k,60k,2k
2024-01-19,23,-9,Teenagers,My Chemical Romance,My Chemical Romance,90,55k,33k,2k
2024-01-19,24,-15,Famous Last Words,My Chemical Romance,My Chemical Romance,98,60k,36k,2k
2024-01-19,25,-13,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,82,50k,30k,2k
2024-01-19,26,-21,I Don't Love You,My Chemical Romance,My Chemical Romance,82,50k,30k,2k
2024-01-19,27,-25,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,120,75k,39k,6k
2024-01-19,28,-6,Are We the Waiting / St. Jimmy,Green Day,Green Day,130,80k,48k,2k
2024-01-19,29,-2,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,106,65k,39k,2k
2024-01-19,30,-2,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,58,35k,21k,2k
2024-01-19,31,-25,Helena,My Chemical Romance,My Chemical Romance,98,60k,36k,2k
2024-01-19,32,+1,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,90,55k,33k,2k
2024-01-19,33,-10,Style (Taylor's Version),Taylor Swift,Taylor Swift,90,55k,33k,2k
2024-01-19,34,-30,21 Guns,Green Day,Green Day,74,45k,27k,2k
2024-01-19,35,-16,Dead!,My Chemical Romance,My Chemical Romance,42,25k,15k,2k
2024-01-19,36,-7,Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,74,45k,27k,2k
2024-01-19,37,-12,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,Taylor Swift,66,40k,24k,2k
2024-01-19,38,-4,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,50,30k,18k,2k
2024-01-19,39,-7,Breakaway,Kelly Clarkson,Kelly Clarkson,50,30k,18k,2k
2024-01-19,40,+2,Uptown Girl,Westlife,Westlife,50,30k,18k,2k
2024-01-19,41,-38,The Ghost of You,My Chemical Romance,My Chemical Romance,58,35k,21k,2k
2024-01-19,42,-4,Make Your Own Kind of Music,Cass Elliot,Cass Elliot,50,30k,18k,2k
2024-01-19,43,-8,I Wish You Would (Taylor's Version),Taylor Swift,Taylor Swift,58,35k,21k,2k
2024-01-19,44,-4,Because of You,Kelly Clarkson,Kelly Clarkson,42,25k,15k,2k
2024-01-19,45,-4,A Thousand Miles,Vanessa Carlton,Vanessa Carlton,42,25k,15k,2k
2024-01-19,46,-3,You’re Losing Me (From the Vault),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-01-19,47,-10,Take on Me,a-ha,a-ha,26,15k,9k,2k
2024-01-19,48,+2,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
2024-01-19,49,-41,Know Your Enemy,Green Day,Green Day,42,25k,15k,2k
2024-01-19,50,-30,Good Riddance (Time of Your Life),Green Day,Green Day,42,25k,15k,2k
2024-01-19,51,-44,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,My Chemical Romance,42,25k,15k,2k
2024-01-19,52,-13,Sweet Crazy Love (Eng Ver.),ODD EYE CIRCLE (ARTMS),ODD EYE CIRCLE (ARTMS),26,15k,9k,2k
2024-01-19,53,-43,Blood - Hidden Track,My Chemical Romance,My Chemical Romance,34,20k,12k,2k
2024-01-19,54,RE,New Romantics (Taylor's Version),Taylor Swift,Taylor Swift,33,20k,9k,4k
2024-01-19,55,-6,Out of the Woods (Taylor's Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-01-19,56,-20,Midnight Rain,Taylor Swift,Taylor Swift,65,40k,21k,4k
2024-01-19,57,RE,Welcome to New York (Taylor's Version),Taylor Swift,Taylor Swift,26,15k,9k,2k
2024-01-19,58,-6,Girlfriend,Avril Lavigne,Avril Lavigne,18,10k,6k,2k
2024-01-19,59,-11,Call Me Maybe,Carly Rae Jepsen,Carly Rae Jepsen,18,10k,6k,2k
2024-01-19,60,-7,What the Hell,Avril Lavigne,Avril Lavigne,18,10k,6k,2k
2024-01-19,61,-10,I Really Like You,Carly Rae Jepsen,Carly Rae Jepsen,18,10k,6k,2k
2024-01-19,62,-1,22 (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-01-19,63,-8,I'm with You,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-19,64,-19,Complicated,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-19,65,-21,Focus,Ariana Grande,Ariana Grande,10,5k,3k,2k
2024-01-19,66,RE,Is It Over Now? (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,18,10k,6k,2k
2024-01-19,67,RE,bad idea right?,Olivia Rodrigo,Olivia Rodrigo,10,5k,3k,2k
2024-01-19,68,RE,Oops!...I Did It Again,Britney Spears,Britney Spears,10,5k,3k,2k
2024-01-19,69,RE,Arms Unfolding,dodie,dodie,10,5k,3k,2k
2024-01-19,70,RE,Suburban Legends (Taylor's Version) (From the Vault),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-01-19,71,RE,Bad Blood (Taylor's Version),Taylor Swift,Taylor Swift,10,5k,3k,2k
2024-01-19,72,RE,Smile,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-19,73,RE,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly Clarkson,10,5k,3k,2k
2024-01-19,74,RE,Kiss You,One Direction,One Direction,10,5k,3k,2k
2024-01-19,75,RE,Physical,Dua Lipa,Dua Lipa,10,5k,3k,2k
2024-01-19,76,RE,In the End,Linkin Park,Linkin Park,10,5k,3k,2k
2024-01-19,77,RE,Sk8er Boi,Avril Lavigne,Avril Lavigne,10,5k,3k,2k
2024-01-26,1,+12,American Idiot,Green Day,Green Day,237,150k,75k,12k
2024-01-26,2,-1,Look Ma No Brains!,Green Day,Green Day,273,175k,84k,14k
2024-01-26,3,=,Hitchin' a Ride,Green Day,Green Day,261,165k,84k,12k
2024-01-26,4,+22,I Don't Love You,My Chemical Romance,My Chemical Romance,162,100k,60k,2k
2024-01-26,5,+19,Famous Last Words,My Chemical Romance,My Chemical Romance,138,85k,51k,2k
2024-01-26,6,+17,Teenagers,My Chemical Romance,My Chemical Romance,138,85k,51k,2k
2024-01-26,7,-3,Basket Case,Green Day,Green Day,114,70k,42k,2k
2024-01-26,8,+19,I'm Not Okay (I Promise),My Chemical Romance,My Chemical Romance,130,80k,48k,2k
2024-01-26,9,+21,Welcome to the Black Parade,My Chemical Romance,My Chemical Romance,146,90k,54k,2k
2024-01-26,10,+21,Helena,My Chemical Romance,My Chemical Romance,114,70k,42k,2k
2024-01-26,11,+10,Wake Me Up When September Ends,Green Day,Green Day,130,80k,48k,2k
2024-01-26,12,+13,Holiday / Boulevard of Broken Dreams,Green Day,Green Day,90,55k,33k,2k
2024-01-26,13,+22,Dead!,My Chemical Romance,My Chemical Romance,106,65k,39k,2k
2024-01-26,14,-2,Mama,My Chemical Romance,My Chemical Romance,138,85k,51k,2k
2024-01-26,15,-8,When I Come Around,Green Day,Green Day,98,60k,36k,2k
2024-01-26,16,RE,Macy's Day Parade,Green Day,Green Day,176,115k,51k,10k
2024-01-26,17,-15,Redundant,Green Day,Green Day,170,105k,63k,2k
2024-01-26,18,+16,21 Guns,Green Day,Green Day,74,45k,27k,2k
2024-01-26,19,+22,The Ghost of You,My Chemical Romance,My Chemical Romance,82,50k,30k,2k
2024-01-26,20,-15,The American Dream Is Killing Me,Green Day,Green Day,130,80k,48k,2k
2024-01-26,21,+29,Good Riddance (Time of Your Life),Green Day,Green Day,122,75k,45k,2k
2024-01-26,22,+22,Because of You,Kelly Clarkson,Kelly Clarkson,130,80k,48k,2k
2024-01-26,23,+28,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,My Chemical Romance,74,45k,27k,2k
2024-01-26,24,RE,Nice Guys Finish Last,Green Day,Green Day,146,90k,54k,2k
2024-01-26,25,+13,Since U Been Gone,Kelly Clarkson,Kelly Clarkson,114,70k,42k,2k
2024-01-26,26,+27,Blood - Hidden Track,My Chemical Romance,My Chemical Romance,82,50k,30k,2k
2024-01-26,27,-18,One Eyed Bastard,Green Day,Green Day,106,65k,39k,2k
2024-01-26,28,+21,Know Your Enemy,Green Day,Green Day,66,40k,24k,2k
2024-01-26,29,-21,Dilemma,Green Day,Green Day,106,65k,39k,2k
2024-01-26,30,+9,Breakaway,Kelly Clarkson,Kelly Clarkson,106,65k,39k,2k
2024-01-26,31,-20,Platypus (I Hate You),Green Day,Green Day,114,70k,42k,2k
2024-01-26,32,-10,Sleep,My Chemical Romance,My Chemical Romance,90,55k,33k,2k
2024-01-26,33,-5,Are We the Waiting / St. Jimmy,Green Day,Green Day,98,60k,36k,2k
2024-01-26,34,RE,Give Me Novacaine / She's a Rebel,Green Day,Green Day,98,60k,36k,2k
2024-01-26,35,RE,Warning,Green Day,Green Day,122,75k,45k,2k
2024-01-26,36,-16,She,Green Day,dodie,66,40k,24k,2k
2024-01-26,37,RE,ASAP,NewJeans,NewJeans,111,75k,12k,24k
2024-01-26,38,RE,King for a Day,Green Day,Green Day,114,70k,42k,2k
2024-01-26,39,-33,Walking Contradiction,Green Day,Green Day,114,70k,42k,2k
2024-01-26,40,RE,Waiting,Green Day,Green Day,106,65k,39k,2k
2024-01-26,41,RE,Last Ride In,Green Day,Green Day,106,65k,39k,2k
2024-01-26,42,RE,Minority,Green Day,Green Day,98,60k,36k,2k
2024-01-26,43,RE,Take Back,Green Day,Green Day,98,60k,36k,2k
2024-01-26,44,-30,Coma City,Green Day,Green Day,98,60k,36k,2k
2024-01-26,45,-35,1981,Green Day,Green Day,98,60k,36k,2k
2024-01-26,46,-17,Blank Space (Taylor's Version),Taylor Swift,Taylor Swift,58,35k,21k,2k
2024-01-26,47,-28,Corvette Summer,Green Day,Green Day,90,55k,33k,2k
2024-01-26,48,-15,Style (Taylor's Version),Taylor Swift,Taylor Swift,50,30k,18k,2k
2024-01-26,49,-17,Shake It Off (Taylor's Version),Taylor Swift,Taylor Swift,42,25k,15k,2k
