Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2025-06-06,1,NEW,--,True,False,457,--,Fame Is a Gun,Addison Rae,Addison,58,49,10,290,147,20,83737500,12348,112950000,0.76,0.07,0.16,409500,457,0,0,1,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-06-06,2,'-1,1,False,False,445,0.37,Down,blink-182,blink-182,30,30,1,150,90,2,43312500,7560,11295000,0.87,0.1,0.04,213500,242,98,105,1,14,2,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-06-06,3,NEW,--,True,False,421,--,Headphones On,Addison Rae,Addison,53,50,3,265,150,6,76518750,12600,33885000,0.85,0.09,0.06,371000,421,0,0,3,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-06-06,4,NEW,--,True,False,409,--,Diet Pepsi,Addison Rae,Addison,51,50,2,255,150,4,73631250,12600,22590000,0.86,0.1,0.04,360500,409,0,0,4,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-06-06,5,'-1,4,False,False,367,0.46,Aliens Exist,blink-182,Enema of the State,26,26,1,130,78,2,37537500,6552,11295000,0.86,0.1,0.04,185500,210,76,81,3,25,1,https://lastfm.freetls.fastly.net/i/u/300x300/fa585497562506b87fd59b41dfc53ff7.jpg
2025-06-06,6,'+1,7,False,False,287,0.21,Sports car,Tate McRae,So Close to What,20,19,2,100,57,4,28875000,4788,22590000,0.81,0.09,0.1,143500,161,72,54,1,13,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-06-06,7,'+61,68,False,False,286,4.72,Getaway Car,Taylor Swift,reputation,38,23,6,190,69,12,54862500,5796,67770000,0.79,0.05,0.16,234500,271,15,0,6,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/05df79341035d53b68eb846764365e02.png
2025-06-06,8,'+4,12,False,False,253,0.27,I know love (feat. The Kid LAROI),Tate McRae,So Close to What,18,18,1,90,54,2,25987500,4536,11295000,0.85,0.1,0.06,129500,146,60,47,4,8,1,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-06-06,9,'+2,11,False,False,252,0.24,2 hands,Tate McRae,So Close to What,18,18,1,90,54,2,25987500,4536,11295000,0.85,0.1,0.06,129500,146,61,45,1,13,2,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-06-06,10,'+10,20,True,False,244,0.55,Troublemaker,Weezer,Weezer (Deluxe Edition),24,24,2,120,72,4,34650000,6048,22590000,0.82,0.09,0.09,175000,196,48,0,10,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/e6ea145e22093f2a03b54dafe61da18b.jpg
