Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak,Album Cover
2025-10-10,1,'=,1,True,True,687,0.76,Father Figure,Taylor Swift,The Life of a Showgirl,71,71,1,355,213,2,103121287,18035,11407950,0.88,0.1,0.02,506506,570,117,0,1,2,2,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2025-10-10,2,'+12,14,True,False,493,1.36,Opalite,Taylor Swift,The Life of a Showgirl,54,50,5,270,150,10,81860625,13255,59524650,0.82,0.09,0.09,402864,430,63,0,2,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2025-10-10,3,'+10,13,True,False,470,1.08,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,50,50,1,250,150,2,67278750,11768,10572120,0.88,0.1,0.02,331583,402,68,0,3,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2025-10-10,4,'-1,3,False,False,341,0.26,Stacy's Mom,Bowling for Soup,I've Never Done Anything Like This,25,25,1,125,75,2,32773125,5733,10301040,0.86,0.1,0.04,163149,202,82,57,1,10,3,https://lastfm.freetls.fastly.net/i/u/300x300/abf1742d09fa4720bc17571555c4a9fb.png
2025-10-10,5,'-1,4,False,False,339,0.26,Weightless,All Time Low,Nothing Personal (Deluxe Version),25,25,1,125,75,2,32917500,5758,10346220,0.86,0.1,0.04,163863,202,81,56,1,11,1,https://lastfm.freetls.fastly.net/i/u/300x300/171d1318b43a4609c68186afdd8e6501.png
2025-10-10,6,'+2,8,True,True,335,0.37,Iris,Goo Goo Dolls,Dizzy Up the Girl,26,26,1,130,78,2,38063025,6656,11498310,0.86,0.1,0.04,189210,210,74,51,6,20,2,https://lastfm.freetls.fastly.net/i/u/300x300/f650f979f3613c2f3f32570500350552.jpg
2025-10-10,7,'=,7,True,True,314,0.28,Lips of an Angel,Hinder,Extreme Behavior,24,24,1,120,72,2,35204400,6156,11520900,0.86,0.1,0.04,175273,194,74,46,7,32,2,https://lastfm.freetls.fastly.net/i/u/300x300/73f0bcf49b8d468ce3e00b2ef71f831e.jpg
2025-10-10,8,'+3,11,False,False,311,0.32,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),24,24,1,120,72,2,34788600,6084,11385360,0.86,0.1,0.04,173215,194,71,46,1,28,1,https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg
2025-10-10,9,NEW,--,True,False,306,--,When You're Looking Like That - Single Remix,Westlife,Coast to Coast (Expanded Edition),38,38,1,190,114,2,49815150,8714,10301040,0.87,0.1,0.03,246323,306,0,0,9,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/02cdcba26891ffae5fa9081995302a4b.png
2025-10-10,10,'-5,5,False,False,292,0.15,My Man on Willpower,Sabrina Carpenter,Man’s Best Friend,18,15,4,90,45,8,23804550,3470,41565600,0.73,0.07,0.2,119398,143,77,72,1,7,3,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2025-10-10,11,'-5,6,False,False,286,0.13,Thunder,Boys Like Girls,Boys Like Girls,20,19,2,100,57,4,31647000,5257,20331000,0.81,0.09,0.1,129437,161,76,49,6,24,1,https://lastfm.freetls.fastly.net/i/u/300x300/fb9c1ef099fc47beba182893453edcf0.png
2025-10-10,12,NEW,--,True,False,261,--,I Lay My Love On You - Remix,Westlife,Coast to Coast (Expanded Edition),33,30,3,165,90,6,49930650,7938,35647020,0.82,0.08,0.09,243474,261,0,0,12,1,1,https://lastfm.freetls.fastly.net/i/u/300x300/02cdcba26891ffae5fa9081995302a4b.png
2025-10-10,13,'+3,16,True,False,253,0.49,Wood,Taylor Swift,The Life of a Showgirl,25,25,1,125,75,2,37465312,6552,11769390,0.86,0.1,0.04,186354,202,51,0,13,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2025-10-10,14,'+3,17,True,False,251,0.55,Elizabeth Taylor,Taylor Swift,The Life of a Showgirl,25,25,1,125,75,2,33711562,5896,10594710,0.86,0.1,0.04,167790,202,49,0,14,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2025-10-10,15,'+6,21,True,False,238,0.63,CANCELLED!,Taylor Swift,The Life of a Showgirl,24,24,1,120,72,2,34026300,5951,11136870,0.86,0.1,0.04,169442,194,44,0,15,2,1,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png
2025-10-10,16,'+53,69,True,False,225,3.5,Love Drunk,Boys Like Girls,Love Drunk,26,26,1,130,78,2,38888850,6800,11746800,0.86,0.1,0.04,193291,210,15,0,16,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png
2025-10-10,17,'-5,12,False,False,212,-0.09,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,12,12,1,60,36,2,18295200,3199,11972700,0.82,0.09,0.09,92925,98,70,44,10,21,1,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png
2025-10-10,18,'+25,43,True,False,209,1.82,The Middle,Jimmy Eat World,Bleed American,23,23,1,115,69,2,32010825,5598,10933560,0.86,0.1,0.05,159565,186,23,0,18,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/5f6bed4795106f6a5ace9295accf4493.jpg
2025-10-10,19,'-10,9,False,False,187,-0.23,21 Guns,Green Day,21st Century Breakdown,8,8,1,40,24,2,12589500,2201,12356730,0.79,0.09,0.12,65212,66,73,48,4,49,1,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg
2025-10-10,20,'-5,15,False,False,178,-0.11,Dilaw,Maki,KOLORCOASTER,5,5,1,25,15,2,7132125,1247,11204640,0.73,0.08,0.18,38269,42,60,76,1,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/eb5fd8df39a28d631b86e9b9f8444b5a.jpg
2025-10-10,21,'-19,2,False,False,171,-0.4,Wake Me Up When September Ends,Green Day,American Idiot,2,2,1,10,6,2,3112725,544,12221190,0.58,0.06,0.36,18970,18,86,67,1,58,2,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg
2025-10-10,22,RE,--,False,False,162,--,The Rock Show,blink-182,Take Off Your Pants and Jacket,20,20,1,100,60,2,28239750,4939,11091690,0.85,0.1,0.05,141204,162,0,0,1,35,3,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png
2025-10-10,23,'-4,19,False,False,155,0.05,2 hands,Tate McRae,So Close to What,9,9,1,45,27,2,12188137,2131,10639890,0.8,0.09,0.11,62776,74,45,36,1,31,2,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-10-10,24,RE,--,False,False,146,--,Uptown Girl,Westlife,Coast to Coast (Expanded Edition),18,18,1,90,54,2,27546750,4817,12017880,0.85,0.1,0.06,138047,146,0,0,1,48,2,https://lastfm.freetls.fastly.net/i/u/300x300/02cdcba26891ffae5fa9081995302a4b.png
2025-10-10,25,RE,--,False,False,146,--,Hitchin' a Ride,Green Day,Nimrod,18,18,1,90,54,2,23440725,4100,10233270,0.85,0.1,0.06,117586,146,0,0,2,69,7,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2025-10-10,26,'-3,23,False,False,144,0.06,Sports car,Tate McRae,So Close to What,8,8,1,40,24,2,10764600,1882,10572120,0.79,0.09,0.12,55811,66,41,37,1,31,4,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png
2025-10-10,27,'-7,20,False,False,141,-0.05,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,6,6,1,30,18,2,8264025,1445,10820610,0.76,0.09,0.16,43680,50,45,46,6,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2025-10-10,28,'-4,24,False,False,139,0.03,In the Rain,Addison Rae,Addison,7,7,1,35,21,2,10308375,1802,11566080,0.77,0.09,0.14,53865,58,41,40,15,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-10-10,29,'-19,10,False,False,132,-0.45,Always,blink-182,blink-182,1,1,1,5,3,2,1299375,227,10210680,0.42,0.05,0.53,9513,10,72,50,3,34,1,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-10-10,30,'-8,22,False,False,131,-0.04,Go Go Juice,Sabrina Carpenter,Man’s Best Friend,6,6,1,30,18,2,9355500,1635,12243780,0.76,0.09,0.16,49413,50,42,39,11,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2025-10-10,31,'-6,25,False,False,118,-0.13,Money Is Everything,Addison Rae,Addison,4,4,1,20,12,2,6294750,1100,12356730,0.7,0.08,0.22,34524,34,41,43,8,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-10-10,32,'-5,27,False,False,111,-0.15,Manchild,Sabrina Carpenter,Man’s Best Friend,4,4,1,20,12,2,6248550,1092,12266370,0.7,0.08,0.22,34272,34,39,38,3,13,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2025-10-10,33,'-5,28,False,False,111,-0.15,House Tour,Sabrina Carpenter,Man’s Best Friend,4,4,1,20,12,2,5740350,1003,11272410,0.7,0.08,0.22,31500,34,39,38,15,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
2025-10-10,34,'-16,18,False,False,102,-0.35,exes,Tate McRae,THINK LATER,3,3,1,15,9,2,4374562,765,11453130,0.65,0.07,0.27,24892,26,47,29,8,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/d5c9a69fcda54143308997e32981c139.jpg
2025-10-10,35,'+5,40,False,False,90,0.01,New York,Addison Rae,Addison,3,3,1,15,9,2,4608450,805,12063060,0.65,0.07,0.27,26215,26,27,37,20,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-10-10,36,'-6,30,False,False,84,-0.34,yes baby,Madison Beer,Yes Baby,1,1,1,5,3,2,1400437,244,11001330,0.42,0.05,0.53,10248,10,39,35,8,4,1,https://lastfm.freetls.fastly.net/i/u/300x300/90d08d47c2abef14048d69999e45a188.jpg
2025-10-10,37,'+38,75,False,False,83,0.93,Fame Is a Gun,Addison Rae,Addison,7,7,1,35,21,2,10591350,1852,11882340,0.77,0.09,0.14,55335,58,13,12,1,15,1,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg
2025-10-10,38,'-5,33,False,False,78,-0.32,A Little Less Sixteen Candles a Little More Touch Me,Fall Out Boy,From Under the Cork Tree,1,1,1,5,3,2,1357125,237,10662480,0.42,0.05,0.53,9933,10,35,33,3,14,3,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png
2025-10-10,39,'=,39,False,False,77,-0.13,We Almost Broke Up Again Last Night,Sabrina Carpenter,Man’s Best Friend,3,3,1,15,9,2,4080037,713,10685070,0.65,0.07,0.27,23226,26,27,24,15,7,1,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png
