Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2023-06-16,1,'+10,11,False,214,4.06,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),24,4,15,120,12,30,1200000,12000,1500000,0.44,0.0,0.55,2712000,162,32,20,1,49,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2023-06-16,2,'+1,3,True,168,0.43,Clouds,Any Name's Okay,Clouds,14,5,7,70,15,14,700000,15000,700000,0.49,0.01,0.49,1415000,99,69,0,2,2,https://lastfm.freetls.fastly.net/i/u/300x300/7a4eb756fbd665c41e3bbdd0fb5367f1.jpg
2023-06-16,3,'+1,4,False,163,0.57,Kung 'Di Rin Lang Ikaw,December Avenue,Kung 'Di Rin Lang Ikaw,13,5,8,65,15,16,650000,15000,800000,0.44,0.01,0.55,1465000,96,61,6,2,13,https://lastfm.freetls.fastly.net/i/u/300x300/24e29361148bd6247de1b76880374fcb.png
2023-06-16,4,'-3,1,False,143,-0.87,Snow on the Beach (feat. more Lana Del Rey),Taylor Swift,Midnights (The Til Dawn Edition),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,77,56,1,4,https://lastfm.freetls.fastly.net/i/u/300x300/10c6e02743956727145fcada8d5cc73a.jpg
2023-06-16,5,'+18,23,False,133,10.7,Ditto,NewJeans,NewJeans 'OMG',18,3,9,90,9,18,900000,9000,900000,0.5,0.0,0.5,1809000,117,10,6,1,21,https://lastfm.freetls.fastly.net/i/u/300x300/833e2b1c9df787fd2ad468b008be96e4.jpg
2023-06-16,6,'-1,5,False,129,-0.42,You Belong with Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,45,58,1,47,https://lastfm.freetls.fastly.net/i/u/300x300/1aaa3638ee0bfee0ba8089c78ad63b26.jpg
2023-06-16,7,'=,7,False,121,0.85,Cruel Summer,Taylor Swift,Lover,11,3,5,55,9,10,550000,9000,500000,0.52,0.01,0.47,1059000,74,40,7,1,38,https://lastfm.freetls.fastly.net/i/u/300x300/d3f083370c371a3ba1cddafaf193c27d.jpg
2023-06-16,8,RE,--,True,120,--,Fetish (feat. Gucci Mane),Selena Gomez,Fetish (feat. Gucci Mane),16,6,11,80,18,22,800000,18000,1100000,0.42,0.01,0.57,1918000,120,0,0,8,8,https://lastfm.freetls.fastly.net/i/u/300x300/1b2acd9a5df76d2d700aa0504214cdb9.jpg
2023-06-16,9,'-3,6,False,117,-0.4,Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,43,48,2,29,https://lastfm.freetls.fastly.net/i/u/300x300/1aaa3638ee0bfee0ba8089c78ad63b26.jpg
2023-06-16,10,'+69,79,False,106,33.33,Bejeweled,Taylor Swift,Midnights (3am Edition),14,3,12,70,9,24,700000,9000,1200000,0.37,0.0,0.63,1909000,103,3,0,10,23,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2023-06-16,11,'-2,9,False,104,0.0,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),5,3,2,25,9,4,250000,9000,200000,0.54,0.02,0.44,459000,38,38,28,2,63,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
