Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2025-04-11,22,'+5,27,False,137,0.05,Tócame (feat. Dillom),Six Sex,X-sex,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,39,32,6,5,https://lastfm.freetls.fastly.net/i/u/300x300/a713a193d9d6f5e7687aa00353aba089.jpg
2025-04-11,23,'-6,17,False,136,-0.3,Feeling This,blink-182,blink-182,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,58,44,1,8,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,24,'-1,23,False,135,-0.14,Black & White People,Matchbox Twenty,Mad Season,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,48,29,23,5,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,25,'-7,18,False,133,-0.3,Rest Stop,Matchbox Twenty,Mad Season,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,58,9,18,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,26,'+3,29,False,131,0.24,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),9,8,2,45,24,4,450000,24000,200000,0.67,0.04,0.3,674000,73,32,26,1,11,https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg
2025-04-11,27,'-5,22,False,129,-0.2,Always,blink-182,blink-182,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,49,38,3,8,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,28,'-4,24,False,124,-0.21,The Static Age,Green Day,21st Century Breakdown,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,47,43,4,27,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg
2025-04-11,29,'+3,32,False,121,0.16,Helena,My Chemical Romance,Three Cheers for Sweet Revenge,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,32,23,2,52,https://lastfm.freetls.fastly.net/i/u/300x300/09cb27a9f908354fd210a07830951791.png
2025-04-11,30,'+14,44,True,113,0.45,Violence,blink-182,blink-182,9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,24,15,30,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,31,'-17,14,False,105,-0.49,The Burn,Matchbox Twenty,Mad Season,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,62,9,14,3,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg
2025-04-11,32,'+7,39,False,104,0.22,The Fallen Interlude,blink-182,blink-182,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,26,28,29,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,33,RE,--,False,97,--,Tunnel Vision,Magdalena Bay,Imaginal Disk,13,4,10,65,12,20,650000,12000,1000000,0.39,0.01,0.6,1662000,97,0,0,13,15,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg
2025-04-11,34,'-6,28,False,91,-0.16,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,33,24,1,120,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2025-04-11,35,'-2,33,False,85,-0.11,Motivation,Sum 41,All Killer No Filler,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,29,22,2,14,https://lastfm.freetls.fastly.net/i/u/300x300/dd9846d796fc425bbd8aecdc6129c7c2.png
2025-04-11,36,'+1,37,False,83,-0.06,Fat Lip,Sum 41,All Killer No Filler,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,27,22,3,13,https://lastfm.freetls.fastly.net/i/u/300x300/dd9846d796fc425bbd8aecdc6129c7c2.png
2025-04-11,37,'+21,58,True,81,0.33,Go,blink-182,blink-182,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,19,12,37,6,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png
2025-04-11,38,'+2,40,False,78,-0.06,Redundant,Green Day,Nimrod,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,25,11,2,53,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg
2025-04-11,39,'-5,34,False,74,-0.22,No Future,blink-182,California (Deluxe Edition),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,29,19,34,4,https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png
2025-04-11,40,'-10,30,False,73,-0.31,If I Can't Have You,Kelly Clarkson,All I Ever Wanted,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,32,31,21,4,https://lastfm.freetls.fastly.net/i/u/300x300/6eb2d8d5b34d5744320e1a0e260085d9.png
2025-04-11,41,RE,--,False,73,--,Longview,Green Day,Dookie,10,1,10,50,3,20,500000,3000,1000000,0.33,0.0,0.67,1503000,73,0,0,22,22,https://lastfm.freetls.fastly.net/i/u/300x300/2248e72411992639ffa8ab94ba97a631.jpg
2025-04-11,42,'-4,38,False,72,-0.17,Teenage Satellites,blink-182,California (Deluxe Edition),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,27,19,38,4,https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png
2025-04-11,43,'+3,46,False,72,-0.05,Don't You Wanna Stay (feat. Kelly Clarkson),Jason Aldean,Stronger (Deluxe Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,23,39,16,3,https://lastfm.freetls.fastly.net/i/u/300x300/e9eea19f703d4a8893c9031f40bf5027.png
2025-04-11,44,RE,--,False,71,--,I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,21,3,50,https://lastfm.freetls.fastly.net/i/u/300x300/09cb27a9f908354fd210a07830951791.png
2025-04-11,45,'+3,48,False,70,-0.07,Bulletproof Heart,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,23,13,25,17,https://lastfm.freetls.fastly.net/i/u/300x300/5d859232fed7488a82d37ecabb232fce.png
2025-04-11,46,'-4,42,False,70,-0.12,Bored to Death,blink-182,California (Deluxe Edition),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,24,20,42,3,https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png
