Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2022-02-18,1,'=,1,False,114,2.36,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,22,18,1,13,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2022-02-18,2,'+6,8,True,99,5.07,MOONLIGHT,TWICE,Formula of Love: O+T=<3,11,8,3,55,24,6,550000,24000,300000,0.63,0.03,0.34,874000,85,14,0,2,4,https://lastfm.freetls.fastly.net/i/u/300x300/799889a45a0aed866919708e1c6913a2.jpg
2022-02-18,3,NEW,--,True,71,--,UNNATURAL,WJSN,UNNATURAL,10,5,3,50,15,6,500000,15000,300000,0.61,0.02,0.37,815000,71,0,0,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/6c4034fa4077886bed11a8208891d50e.jpg
2022-02-18,4,'-1,3,False,72,1.94,Feel Special,TWICE,Feel Special,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,17,5,1,19,https://lastfm.freetls.fastly.net/i/u/300x300/b8bba89b517241d34f53687a9a0fd9b4.jpg
2022-02-18,5,'+15,20,False,69,3.17,Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,Red (Taylor's Version),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,12,7,1,15,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2022-02-18,6,'+1,7,False,67,2.0,She,dodie,Human,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,14,11,2,9,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2022-02-18,7,'+8,15,False,64,2.5,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From the Vault),Taylor Swift,Red (Taylor's Version),5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,12,10,2,15,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2022-02-18,8,'+2,10,False,63,2.23,YES or YES,TWICE,YES or YES,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,13,8,5,13,https://lastfm.freetls.fastly.net/i/u/300x300/e8456084d553d41b66a992ea571196a9.jpg
2022-02-18,9,'+15,24,False,60,3.2,If I'm Being Honest,dodie,Human,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,10,8,2,11,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2022-02-18,10,'+19,29,False,59,3.67,HUMAN,dodie,Human,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,9,8,1,16,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2022-02-18,11,'+5,16,False,58,1.17,Funeral,Phoebe Bridgers,Stranger in the Alps (Deluxe Edition),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,12,20,1,3,https://lastfm.freetls.fastly.net/i/u/300x300/431f51f7525d2724d6f2e1eaf0867c7f.jpg
2022-02-18,12,NEW,--,True,57,--,WA DA DA,Kep1er,FIRST IMPACT,7,6,2,35,18,4,350000,18000,200000,0.62,0.03,0.35,568000,57,0,0,12,1,https://lastfm.freetls.fastly.net/i/u/300x300/2a9572122f9e4b6949354c3761219b41.jpg
2022-02-18,13,'-2,11,False,55,1.62,Heart Shaker,TWICE,Merry & Happy,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,13,8,10,7,https://lastfm.freetls.fastly.net/i/u/300x300/4929cfba7c2ec125774d598e6c383b08.png
2022-02-18,14,RE,--,True,54,--,Walkin’ in Time,THE BOYZ,THE BOYZ DEBUT ALBUM [THE FIRST],7,3,5,35,9,10,350000,9000,500000,0.41,0.01,0.58,859000,54,0,0,14,4,https://lastfm.freetls.fastly.net/i/u/300x300/46239d17b69d00dbd6e72e69c7695c73.png
2022-02-18,15,'-2,13,False,53,1.0,All I Want,Olivia Rodrigo,High School Musical: The Musical: The Series (Original Soundtrack),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,13,14,3,4,https://lastfm.freetls.fastly.net/i/u/300x300/4eef44a9645e348cb858e02bc91c255e.jpg
2022-02-18,16,RE,--,True,50,--,NAVILLERA,GFRIEND,GFriend The 1st Album 'LOL',6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,16,3,https://lastfm.freetls.fastly.net/i/u/300x300/2147a2293105edc2d15179fcfad67e66.png
2022-02-18,17,'+4,21,True,51,1.83,LIKEY,TWICE,twicetagram,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,12,5,17,6,https://lastfm.freetls.fastly.net/i/u/300x300/5b9e08f5c46471a5485caee3a8b14e87.png
2022-02-18,18,RE,--,False,48,--,Come Back...Be Here (Taylor's Version),Taylor Swift,Red (Taylor's Version),6,4,3,30,12,6,300000,12000,300000,0.49,0.02,0.49,612000,48,0,0,12,9,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2022-02-18,19,'-15,4,False,48,0.62,FANCY,TWICE,FANCY YOU,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,16,6,1,19,https://lastfm.freetls.fastly.net/i/u/300x300/a9b4e7025d2217c85044064c984ff68d.jpg
2022-02-18,20,'-14,6,False,49,0.73,The Story of Us,Taylor Swift,Speak Now (Deluxe Package),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,15,8,6,14,https://lastfm.freetls.fastly.net/i/u/300x300/48c0470785481694dfa57d4c67fe441f.jpg
2022-02-18,21,'+34,55,False,46,3.86,Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,7,5,1,21,https://lastfm.freetls.fastly.net/i/u/300x300/3856d213e777106809c33f9a3d951d98.jpg
2022-02-18,22,'+25,47,False,47,3.25,burned out,dodie,Human,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,8,5,11,8,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2022-02-18,23,'-14,9,False,43,1.0,반드시 웃는다 I Smile,DAY6,SUNRISE,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,13,4,9,3,https://lastfm.freetls.fastly.net/i/u/300x300/c6bb70bc982139e52813d67b60c329a3.png
2022-02-18,24,'+67,91,False,43,5.8,La Vie en Rose,IZ*ONE,COLOR*IZ,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,5,4,22,8,https://lastfm.freetls.fastly.net/i/u/300x300/d505cfe5064d897b8439b51df2bffad3.png
2022-02-18,25,'+18,43,False,42,3.25,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,8,0,5,13,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
