Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Album Cover
2024-01-05,1,'+3,4,True,348,2.05,Wake Me Up When September Ends,Green Day,American Idiot,28,28,1,140,84,2,1400000,84000,100000,0.88,0.05,0.06,1584000,226,74,48,1,4,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg
2024-01-05,2,RE,--,True,316,--,American Idiot,Green Day,American Idiot,39,34,6,195,102,12,1950000,102000,600000,0.74,0.04,0.23,2652000,309,0,7,2,2,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg
2024-01-05,3,NEW,--,True,312,--,Basket Case,Green Day,Dookie,40,36,2,200,108,4,2000000,108000,200000,0.87,0.05,0.09,2308000,312,0,0,3,1,https://lastfm.freetls.fastly.net/i/u/300x300/2248e72411992639ffa8ab94ba97a631.jpg
2024-01-05,4,'+2,6,True,296,2.46,Welcome to the Black Parade,My Chemical Romance,The Black Parade,27,27,1,135,81,2,1350000,81000,100000,0.88,0.05,0.07,1531000,218,63,15,4,4,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png
2024-01-05,5,NEW,--,True,234,--,Teenagers,My Chemical Romance,The Black Parade,29,29,1,145,87,2,1450000,87000,100000,0.89,0.05,0.06,1637000,234,0,0,5,1,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png
2024-01-05,6,NEW,--,True,202,--,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,25,25,1,125,75,2,1250000,75000,100000,0.88,0.05,0.07,1425000,202,0,0,6,1,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg
2024-01-05,7,'-6,1,False,199,-0.07,Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,80,45,1,11,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
2024-01-05,8,'-5,3,False,199,-0.05,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,78,47,1,11,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
2024-01-05,9,NEW,--,True,194,--,Dead!,My Chemical Romance,The Black Parade,24,24,1,120,72,2,1200000,72000,100000,0.87,0.05,0.07,1372000,194,0,0,9,1,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png
2024-01-05,10,'-8,2,False,189,-0.15,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,78,45,1,11,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
2024-01-05,11,'-6,5,False,186,-0.22,Make Your Own Kind of Music,Cass Elliot,Mama's Big Ones,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,74,54,1,4,https://lastfm.freetls.fastly.net/i/u/300x300/fff816b202933bfbb01074219a88866a.png
2024-01-05,12,NEW,--,True,178,--,I Don't Love You,My Chemical Romance,The Black Parade,22,22,1,110,66,2,1100000,66000,100000,0.87,0.05,0.08,1266000,178,0,0,12,1,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png
2024-01-05,13,NEW,--,True,170,--,Famous Last Words,My Chemical Romance,The Black Parade,21,21,1,105,63,2,1050000,63000,100000,0.87,0.05,0.08,1213000,170,0,0,13,1,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png
2024-01-05,14,'+12,26,False,169,2.28,21 Guns,Green Day,21st Century Breakdown,13,12,2,65,36,4,650000,36000,200000,0.73,0.04,0.23,886000,105,32,32,13,3,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg
2024-01-05,15,'-6,9,False,165,0.43,Uptown Girl,Westlife,Coast to Coast (Expanded Edition),9,8,2,45,24,4,450000,24000,200000,0.67,0.04,0.3,674000,73,51,41,1,22,https://lastfm.freetls.fastly.net/i/u/300x300/02cdcba26891ffae5fa9081995302a4b.png
2024-01-05,16,'-5,11,False,164,0.78,Since U Been Gone,Kelly Clarkson,Breakaway,10,10,1,50,30,2,500000,30000,100000,0.79,0.05,0.16,630000,82,46,36,9,14,https://lastfm.freetls.fastly.net/i/u/300x300/82319aa62c8ffc147a31fae6c0cdb370.jpg
2024-01-05,17,'-5,12,False,157,0.61,Breakaway,Kelly Clarkson,Breakaway,9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,46,37,5,9,https://lastfm.freetls.fastly.net/i/u/300x300/82319aa62c8ffc147a31fae6c0cdb370.jpg
2024-01-05,18,'-3,15,False,143,0.53,My Life Would Suck Without You,Kelly Clarkson,All I Ever Wanted,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,43,34,10,3,https://lastfm.freetls.fastly.net/i/u/300x300/6eb2d8d5b34d5744320e1a0e260085d9.png
2024-01-05,19,'-3,16,False,142,0.57,Because of You,Kelly Clarkson,Breakaway,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,42,34,9,8,https://lastfm.freetls.fastly.net/i/u/300x300/82319aa62c8ffc147a31fae6c0cdb370.jpg
2024-01-05,20,'-1,19,False,139,0.69,A Thousand Miles,Vanessa Carlton,Be Not Nobody,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,39,34,1,18,https://lastfm.freetls.fastly.net/i/u/300x300/62a0ec15fbd68ceff61bbdd720aebb4c.jpg
2024-01-05,21,'-7,14,False,130,0.16,Talking In Your Sleep (2023 Remaster),The Romantics,In Heat (2023 Remaster),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,43,37,7,4,https://lastfm.freetls.fastly.net/i/u/300x300/859d8eebe446c825003100cca62a32e6.jpg
2024-01-05,22,'-12,10,False,128,0.67,Take on Me,a-ha,Hunting High and Low,10,8,3,50,24,6,500000,24000,300000,0.61,0.03,0.36,824000,80,48,0,10,2,https://lastfm.freetls.fastly.net/i/u/300x300/b61c0246b523481a92428dc3310ce5fb.png
2024-01-05,23,'-10,13,False,124,0.14,Now That We Don't Talk (Taylor's Version) (From the Vault),Taylor Swift,1989 (Taylor's Version),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,44,30,3,11,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
2024-01-05,24,'+7,31,False,109,0.67,Vision of Love,Mariah Carey,Mariah Carey,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,30,29,16,5,https://lastfm.freetls.fastly.net/i/u/300x300/9fef786f4b2b1d0f4afac655c535b09a.png
2024-01-05,25,'-17,8,False,109,0.14,burned out,dodie,Human,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,51,0,8,23,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2024-01-05,26,'-6,20,False,102,-0.13,You’re Losing Me (From the Vault),Taylor Swift,You're Losing Me (From the Vault),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,39,29,1,6,https://lastfm.freetls.fastly.net/i/u/300x300/7c1d50ee921cc6b4d95405fb59a41f74.jpg
2024-01-05,27,'-9,18,False,100,0.22,Here Comes the Sun - Remastered 2009,The Beatles,Abbey Road (Remastered),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,41,9,18,3,https://lastfm.freetls.fastly.net/i/u/300x300/a4bbf73ba62024be279364e867b0ca20.jpg
2024-01-05,28,'-6,22,False,99,-0.03,Midnight Rain,Taylor Swift,Midnights (3am Edition),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,35,30,1,54,https://lastfm.freetls.fastly.net/i/u/300x300/8cf29cb75e6adfb8700b1665105a0ac8.jpg
2024-01-05,29,'-5,24,False,95,0.0,Lucky,Britney Spears,Oops!... I Did It Again,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,34,27,8,10,https://lastfm.freetls.fastly.net/i/u/300x300/9d9002ec4e0858cbeb0c89a2497173d1.png
2024-01-05,30,'-5,25,False,94,0.03,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,1989 (Taylor's Version) [Deluxe],4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,33,27,4,11,https://lastfm.freetls.fastly.net/i/u/300x300/a5dec73be71cde57d1bd4c97cc0c2699.jpg
2024-01-05,31,'-24,7,False,92,-0.41,Baddie,IVE,I'VE MINE,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,58,0,7,2,https://lastfm.freetls.fastly.net/i/u/300x300/477f82589c42bb5ca605d0d641ed9ce8.jpg
2024-01-05,32,'-9,23,False,85,-0.24,Soñar (Breaker),NMIXX,Soñar (Breaker),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,34,25,5,5,https://lastfm.freetls.fastly.net/i/u/300x300/cd9d4b004f2c81586d55de98064f7025.jpg
2024-01-05,33,'+5,38,False,85,0.83,She's So Mean,Matchbox Twenty,North (Deluxe Edition),5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,23,20,1,32,https://lastfm.freetls.fastly.net/i/u/300x300/e83aa4de0c404dafb2fbed94789c903b.jpg
2024-01-05,34,'-17,17,False,84,0.0,Monster,dodie,Human,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,42,0,15,20,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2024-01-05,35,RE,--,False,77,--,Hard Feelings/Loveless,Lorde,Melodrama,10,5,6,50,15,12,500000,15000,600000,0.45,0.01,0.54,1115000,77,0,0,33,8,https://lastfm.freetls.fastly.net/i/u/300x300/06483355fe8ff1b4eb335c7d9704d84c.jpg
2024-01-05,36,'-4,32,False,75,-0.07,Sweet Crazy Love (Eng Ver.),ODD EYE CIRCLE (ARTMS),Sweet Crazy Love (Eng Ver.),3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,28,21,10,7,https://lastfm.freetls.fastly.net/i/u/300x300/a75dfd5bf122c90a1d40cd5757a9a89a.jpg
2024-01-05,37,'+8,45,False,74,1.33,Bye Bye Bye,*NSYNC,No Strings Attached,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,18,14,34,5,https://lastfm.freetls.fastly.net/i/u/300x300/8d13d2de869455c6faa68d203c91282f.jpg
2024-01-05,38,'-4,34,False,68,0.0,Alapaap,Eraserheads,Circus,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,26,16,1,31,https://lastfm.freetls.fastly.net/i/u/300x300/377b34acbbb94e1081b9701d16f809a7.png
2024-01-05,39,NEW,--,True,66,--,Look Ma No Brains!,Green Day,Look Ma No Brains!,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,0,0,39,1,
2024-01-05,40,NEW,--,True,66,--,The American Dream Is Killing Me,Green Day,The American Dream Is Killing Me,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,0,0,40,1,https://lastfm.freetls.fastly.net/i/u/300x300/975ea3f43c8b8ef8d079de52ed14fec4.jpg
2024-01-05,41,NEW,--,True,66,--,Dilemma,Green Day,Dilemma,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,0,0,41,1,https://lastfm.freetls.fastly.net/i/u/300x300/0d2967df427f2ba3d20ec852fdc26834.jpg
2024-01-05,42,'+12,54,False,65,1.27,Behind These Hazel Eyes,Kelly Clarkson,Breakaway,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,15,16,20,7,https://lastfm.freetls.fastly.net/i/u/300x300/82319aa62c8ffc147a31fae6c0cdb370.jpg
2024-01-05,43,NEW,--,True,65,--,One Eyed Bastard,Green Day,One eyed Bastard,8,7,2,40,21,4,400000,21000,200000,0.64,0.03,0.32,621000,65,0,0,43,1,https://lastfm.freetls.fastly.net/i/u/300x300/c938c6b847badc179e6a8fe99f9c4efb.jpg
2024-01-05,44,'-23,21,False,63,-0.3,Arms Unfolding,dodie,Human,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,37,0,20,23,https://lastfm.freetls.fastly.net/i/u/300x300/16a2bfc7c351cdb1998f08ee1fc07328.jpg
2024-01-05,45,'+6,51,False,57,0.06,Lips of an Angel,Hinder,Extreme Behavior,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,22,21,4,https://lastfm.freetls.fastly.net/i/u/300x300/73f0bcf49b8d468ce3e00b2ef71f831e.jpg
2024-01-05,46,'-13,33,False,57,-0.36,Out of the Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,28,11,3,11,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg
2024-01-05,47,'+22,69,True,54,1.62,Buttons,The Pussycat Dolls,PCD,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,13,7,47,4,https://lastfm.freetls.fastly.net/i/u/300x300/7c9048f891364c56a93ebe77be62dad6.png
2024-01-05,48,'+1,49,False,53,0.53,Sk8er Boi,Avril Lavigne,Let Go,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,17,10,11,15,https://lastfm.freetls.fastly.net/i/u/300x300/2f55e4ac3c60dfbd01d6ac2e5c11ca39.jpg
2024-01-05,49,'-13,36,False,53,-0.6,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,18,1,101,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
2024-01-05,50,NEW,--,True,50,--,Helena,My Chemical Romance,Three Cheers for Sweet Revenge,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,50,1,https://lastfm.freetls.fastly.net/i/u/300x300/09cb27a9f908354fd210a07830951791.png
2024-01-05,51,'-9,42,False,49,-0.1,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,20,11,1,80,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg
