Rank,Song,Artist,Album,Album Cover,Total Points,Most Recent Week Points,Total Streams,Total Sales,Total Airplay,Total Units,Peak,Peak Streak,Weeks on Chart
31,May These Noises Startle You in Your Sleep Tonight,Pierce the Veil,Collide With the Sky,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg,3456,88,291579738,50300,239521770,1487636,3,2,20
32,Scattered,Green Day,Nimrod,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,3429,26,293964819,51170,264867750,1513400,3,2,24
33,A Little Less Sixteen Candles a Little More Touch Me,Fall Out Boy,From Under the Cork Tree,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png,3391,102,299924624,49130,330536880,1519749,3,3,17
34,Manchild,Sabrina Carpenter,Manchild,https://lastfm.freetls.fastly.net/i/u/300x300/02acf4d89bcc82933e1f767ed71cb910.jpg,3379,46,330930600,46143,481799520,1600340,3,1,21
35,Bent,Matchbox Twenty,Mad Season,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg,3378,34,308038500,53606,288022500,1588188,3,1,24
36,She's out of Her Mind,blink-182,California (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/ccd85fcfa4370e1df83a67c7fa79096c.png,3327,75,325646472,52150,334603080,1624980,2,2,16
37,Motivation,Sum 41,All Killer No Filler,https://lastfm.freetls.fastly.net/i/u/300x300/dd9846d796fc425bbd8aecdc6129c7c2.png,3228,43,273475118,46005,327464640,1411032,2,1,24
38,Opalite,Taylor Swift,The Life of a Showgirl,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png,3151,125,310767184,51158,297623250,1563408,2,4,13
39,Unwell,Matchbox Twenty,More Than You Think You Are,https://lastfm.freetls.fastly.net/i/u/770x0/822c1a39f1124f1286f6200d06b86a85.jpg,3030,126,320414318,47089,512296020,1597596,5,1,30
40,What's My Age Again?,blink-182,Enema of the State,https://lastfm.freetls.fastly.net/i/u/300x300/fa585497562506b87fd59b41dfc53ff7.jpg,3015,176,354377091,43260,683731530,1679524,1,2,32
41,Troublemaker,Weezer,Weezer (Red Album),https://lastfm.freetls.fastly.net/i/u/300x300/90d314e8b6456111f7ab90583e2df277.png,2991,132,272787900,45030,262405440,1374975,3,2,15
42,Wake Me Up When September Ends,Green Day,American Idiot,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,2982,44,295708870,43267,476626410,1472072,1,2,17
43,The Fate of Ophelia,Taylor Swift,The Life of a Showgirl,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png,2976,192,266423850,45185,158581799,1329613,3,3,13
44,Sleep,My Chemical Romance,The Black Parade,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png,2938,38,274300950,42574,483877800,1412915,5,1,23
45,The Bends,Radiohead,The Bends,https://lastfm.freetls.fastly.net/i/u/300x300/9ea9931e129bb5efd3606866901855b5.jpg,2882,33,278473381,48690,262902420,1439480,3,1,22
46,Hash Pipe,Weezer,Weezer,https://lastfm.freetls.fastly.net/i/u/300x300/82dea2ae26de9b443208cf21358c876f.jpg,2793,131,285360075,49617,210448440,1452654,4,4,16
47,Hold On Till May,Pierce the Veil,Collide With the Sky,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg,2776,44,240857925,39769,306591477,1237690,7,1,19
48,Fat Lip,Sum 41,All Killer No Filler,https://lastfm.freetls.fastly.net/i/u/300x300/dd9846d796fc425bbd8aecdc6129c7c2.png,2760,66,244652100,42545,183566340,1247316,3,2,16
49,The Middle,Jimmy Eat World,Bleed American,https://lastfm.freetls.fastly.net/i/u/300x300/5f6bed4795106f6a5ace9295accf4493.jpg,2534,89,228251100,37968,229604760,1157695,4,3,14
50,I'm Low on Gas and You Need a Jacket,Pierce the Veil,Collide With the Sky,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg,2531,59,239518120,41877,214288740,1234464,5,2,18
51,Wood,Taylor Swift,The Life of a Showgirl,https://lastfm.freetls.fastly.net/i/u/300x300/837e4d37b0c4a0a65eb12177e1afb8ee.png,2512,116,244273833,41140,223618410,1238706,5,1,13
52,The Static Age,Green Day,21st Century Breakdown,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg,2510,29,252679350,44181,190117440,1291150,4,1,16
53,21 Guns,Green Day,21st Century Breakdown,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg,2429,38,267526870,43746,370701900,1377124,4,1,19
54,Obvious,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,2424,75,237190800,41468,234348660,1229109,5,2,19
55,exes,Tate McRae,THINK LATER,https://lastfm.freetls.fastly.net/i/u/300x300/d5c9a69fcda54143308997e32981c139.jpg,2374,73,253724618,35445,400859550,1237488,8,1,16
56,Last Beautiful Girl,Matchbox Twenty,Mad Season,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg,2362,66,226662975,38275,290597760,1176567,8,1,20
57,Tangled in the Great Escape,Pierce the Veil,Collide With the Sky,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg,2329,85,213504633,37338,182527200,1098020,6,1,16
58,In Bloom,Nirvana,Nevermind (Remastered),https://lastfm.freetls.fastly.net/i/u/300x300/3324e5982f0d81338d2749d5161eb2a8.png,2326,117,215335310,34061,193957740,1060682,2,1,13
59,The Burn,Matchbox Twenty,Mad Season,https://lastfm.freetls.fastly.net/i/u/300x300/168a070f9a7e74269cdff242cbe738a6.jpg,2297,88,216172684,35845,295816050,1119258,6,1,20
60,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg,2292,34,230786319,39304,247157190,1187550,1,1,17
61,Love Drunk,Boys Like Girls,Love Drunk,https://lastfm.freetls.fastly.net/i/u/300x300/46924f64b0604a7fb33075d69c0379f9.png,2227,80,212392950,36614,176202000,1083159,5,1,13
62,When Did You Get Hot?,Sabrina Carpenter,Man’s Best Friend,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png,2222,48,192827246,33719,173129760,994560,6,1,16
63,Hitchin' a Ride,Green Day,Nimrod,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2197,58,203152941,31650,440030610,1074164,2,7,26
64,Nice Guys Finish Last,Green Day,Nimrod,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,2155,46,195928425,33717,357825600,1059058,1,7,28
65,Dead!,My Chemical Romance,The Black Parade,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png,2136,97,204053845,33320,371605500,1078119,3,2,25
66,How Far We've Come,Matchbox Twenty,How Far We've Come,https://lastfm.freetls.fastly.net/i/u/300x300/d62502b5e8134403b1f6b997b609e24d.jpg,2098,45,207218550,34824,264302999,1073541,2,1,19
67,Purple lace bra,Tate McRae,So Close to What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png,2094,123,194204586,33965,86564880,974400,6,2,8
68,Juno,Sabrina Carpenter,Short n' Sweet,https://lastfm.freetls.fastly.net/i/u/300x300/9ba24340be42673d5301c97cc5259a5e.png,2041,22,169357645,29611,193144500,886312,5,1,18
69,Fame Is a Gun,Addison Rae,Addison,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg,2010,38,217879200,35713,320823180,1128834,1,1,18
70,Extraordinary Girl,Green Day,American Idiot,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,1969,40,171864000,30047,304874640,933156,1,2,28
71,When You're Looking Like That - Single Remix,Westlife,Coast to Coast (Expanded Edition),https://lastfm.freetls.fastly.net/i/u/300x300/02cdcba26891ffae5fa9081995302a4b.png,1932,99,166487475,29120,92709360,841337,9,3,9
72,All You Had to Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg,1930,23,188432471,32701,187790670,974120,2,1,16
73,Just,Radiohead,The Bends,https://lastfm.freetls.fastly.net/i/u/300x300/9ea9931e129bb5efd3606866901855b5.jpg,1899,27,188178375,32655,211171320,980084,10,1,18
74,Diet Pepsi,Addison Rae,Addison,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg,1857,58,194819621,33542,200079630,1004850,4,1,15
75,Dilaw,Maki,Dilaw,https://lastfm.freetls.fastly.net/i/u/300x300/7b5d7e4b0e7ca532a195fb02c238c8f4.png,1856,39,185337072,22251,271644750,846874,1,1,10
76,Easy Target,blink-182,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/66f1cec75fe04b7c869712c55fd24528.png,1845,108,185186923,27500,323217720,935424,8,1,9
77,Gnarly,KATSEYE,Gnarly,https://lastfm.freetls.fastly.net/i/u/300x300/20ed6fffe73484e199999d06ff95b410.jpg,1838,47,198475197,26838,413984340,986580,12,1,14
78,Redundant,Green Day,Nimrod,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,1830,58,208916400,34048,419360760,1114239,1,1,25
79,Go Go Juice,Sabrina Carpenter,Man’s Best Friend,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png,1817,51,180873000,30527,244875600,942648,11,1,16
80,THIS IS FOR,TWICE,THIS IS FOR,https://lastfm.freetls.fastly.net/i/u/300x300/242016088da9cf8cf5812614556d34e5.jpg,1807,202,201437770,21043,616707000,976752,3,1,18
81,You Suck at Love,Simple Plan,Get Your Heart On! (Deluxe Edition),https://lastfm.freetls.fastly.net/i/u/300x300/30a16584138b41e8b8753314724c12b0.jpg,1802,32,167991860,23646,354098250,849660,3,1,11
82,King for a Day,Pierce the Veil,Collide With the Sky,https://lastfm.freetls.fastly.net/i/u/300x300/557643a8faaa35768cb6088f576fed30.jpg,1802,49,173342400,29492,230914980,905520,12,1,17
83,Dear god,Tate McRae,So Close to What,https://lastfm.freetls.fastly.net/i/u/300x300/2c927d26b092260dee2e79d4864c1de7.png,1799,36,197045884,34184,167934060,1009204,2,2,13
84,Sugar We're Goin Down,Fall Out Boy,From Under the Cork Tree,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png,1785,32,189486406,27558,499826340,1002078,1,5,29
85,She's a Rebel,Green Day,American Idiot,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,1757,42,166308450,28096,362298420,910203,7,1,29
86,Mr. Brightside,The Killers,Hot Fuss,https://lastfm.freetls.fastly.net/i/u/300x300/fae9c99bbb6ae827b508a97328551912.jpg,1736,361,225014211,30369,154176750,1019914,2,5,5
87,Uptown Girl,Westlife,Coast to Coast (Expanded Edition),https://lastfm.freetls.fastly.net/i/u/300x300/02cdcba26891ffae5fa9081995302a4b.png,1723,42,200479125,29963,444661560,1044680,1,2,20
88,Money Is Everything,Addison Rae,Addison,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg,1700,38,179400372,27789,197707680,886116,8,1,11
89,Like It Like It,TWICE,STRATEGY,https://lastfm.freetls.fastly.net/i/u/300x300/b2d5131f8ae46f912bc73e2e96b1dfc1.jpg,1609,99,199280808,34843,145569960,1016820,5,1,12
90,Wherever You Will Go,The Calling,Camino Palmero,https://lastfm.freetls.fastly.net/i/u/300x300/085669cc3c4f4177bfd54a17739ec88c.png,1605,91,184459274,16128,425437470,806820,1,1,10
91,That's My Floor,Magdalena Bay,Imaginal Disk,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,1586,38,147045932,22528,309528180,768768,9,1,14
92,Before the Lobotomy,Green Day,21st Century Breakdown,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg,1580,31,214804009,28507,541708200,1089270,1,2,17
93,Boulevard of Broken Dreams,Green Day,American Idiot,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,1572,33,156141556,27298,285718320,850080,6,1,24
94,3AM,Matchbox Twenty,Yourself or Someone Like You,https://lastfm.freetls.fastly.net/i/u/300x300/006ed44fa946733c32673682f20e3a45.png,1565,48,145154623,24692,134794529,740597,3,1,10
95,In the Rain,Addison Rae,Addison,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg,1541,40,151680375,22399,289152000,772065,15,1,13
96,Holiday,Green Day,American Idiot,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,1538,33,134597918,23299,248851440,730934,5,1,23
97,St. Jimmy,Green Day,American Idiot,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,1535,32,162941619,26975,348044130,881958,8,1,25
98,Headphones On,Addison Rae,Addison,https://lastfm.freetls.fastly.net/i/u/300x300/ad9e0bcc76824a8327dd4ed57d20dd5b.jpg,1503,37,153072146,25615,186638578,788896,3,1,14
99,Funeral (feat. James Bay),Maisie Peters,Funeral (feat. James Bay),https://lastfm.freetls.fastly.net/i/u/300x300/d8c468aca1592354da30e65a2f0fbd95.jpg,1488,71,166652060,12485,814098420,833504,3,1,10
100,House Tour,Sabrina Carpenter,Man’s Best Friend,https://lastfm.freetls.fastly.net/i/u/300x300/6bbc8416c1f1c3a25054d4ae3b5fbb35.png,1476,41,147814008,25338,169086150,766500,15,1,13
