Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2022-05-20,Soon You’ll Get Better (feat. The Chicks),Lover,Taylor Swift,2,2,1
2022-05-20,tolerate it,evermore,Taylor Swift,3,3,1
2022-05-20,You Are in Love,1989 (Deluxe),Taylor Swift,2,2,1
2022-05-20,Sonatine,Love & Evil,LOOΠΔ 1/3,6,6,1
2022-05-20,A Thousand Years,A Thousand Years,Christina Perri,1,1,1
2022-05-20,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2,2,1
2022-05-20,Guiltless,Guiltless,dodie,1,1,1
2022-05-20,Moonlight Melody,The Perfect Red Velvet - The 2nd Album Repackage,Red Velvet,1,1,1
2022-05-20,pov,Positions,Ariana Grande,1,1,1
2022-05-20,U R,[&],Loona,3,3,1
2022-05-20,ViViD - Acoustic Mix Version,HeeJin,Loona,1,1,1
2022-05-20,7월 7일 One Of These Nights - Piano Version,The Velvet - The 2nd Mini Album,Red Velvet,1,1,1
2022-05-20,willow,evermore (deluxe version),Taylor Swift,1,1,1
2022-05-20,Thinking Bout You,Dangerous Woman,Ariana Grande,1,1,1
2022-05-20,Daylight,Lover,Taylor Swift,2,2,1
2022-05-20,HIT,HIT,Seventeen,1,1,1
2022-05-20,9 and Three Quarters - Run Away,The Dream Chapter: MAGIC,TOMORROW X TOGETHER,1,1,1
2022-05-20,Run Away with Me,Emotion,Carly Rae Jepsen,1,1,1
2022-05-20,I Really Like You,Emotion (Deluxe Expanded Edition),Carly Rae Jepsen,1,1,1
2022-05-20,Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,1,1,1
2022-05-20,Call Me Maybe,Kiss,Carly Rae Jepsen,1,1,1
2022-05-20,What Makes You Beautiful,Up All Night,One Direction,1,1,1
2022-05-20,Kiss You,Take Me Home (Expanded Edition),One Direction,2,2,1
2022-05-20,Party in the U.S.A.,The Time of Our Lives (International Version),Miley Cyrus,1,1,1
2022-05-20,Still Into You,Paramore,Paramore,1,1,1
2022-05-20,Cruel Summer,Lover,Taylor Swift,2,2,1
2022-05-20,I CAN'T STOP ME,Eyes wide open,TWICE,2,2,1
