Song,Artist,Album Cover,Total Points,Peak,Weeks on Chart,Total Units,Total Airplay,Gain
Sugar We're Goin Down,Fall Out Boy,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png,328,18,6,214,70,21
Dance Dance,Fall Out Boy,https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png,324,26,5,196,60,41
Anthem Part Two,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,313,12,5,218,50,60
Breakaway,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/82319aa62c8ffc147a31fae6c0cdb370.jpg,311,19,5,212,60,31
My Boy Only Breaks His Favorite Toys,Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/6e4874b143bf49527bdfce8c8a90f4d9.jpg,311,63,4,276,60,24
She's a Rebel,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,303,48,6,216,80,50
She Looked Like Me!,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,298,38,5,197,80,44
The Ballad Of Matt & Mica,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,29,5,190,70,36
Angel On A Satellite,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,30,5,190,70,36
Cry For Me,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,31,5,190,70,36
Feeling Diskinserted?,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,32,5,190,70,36
Love Is Everywhere,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,33,5,190,70,36
Vampire In The Corner,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,34,5,190,70,36
Fear Sex,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,35,5,190,70,36
True Blue Interlude,Magdalena Bay,https://lastfm.freetls.fastly.net/i/u/300x300/40e357a8c9962876e806cc5328a383e0.jpg,291,36,5,190,70,36
Boulevard of Broken Dreams,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,289,49,5,216,80,28
Happy Holidays You Bastard,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,275,33,6,172,60,44
Funeral (feat. James Bay),Maisie Peters,https://lastfm.freetls.fastly.net/i/u/300x300/d8c468aca1592354da30e65a2f0fbd95.jpg,272,11,1,266,360,254
Extraordinary Girl,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/d6128602380800295151442774164f91.jpg,266,87,1,266,90,26
Roller Coaster,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,256,27,5,178,50,48
Way Back Into Love,Hugh Grant,https://lastfm.freetls.fastly.net/i/u/300x300/d9c63fa9086ab5e9ded76b852a3f32e9.jpg,255,10,2,208,40,81
Easy,Stray Kids,https://lastfm.freetls.fastly.net/i/u/300x300/83d8d498c6b51dfd6766e6180497361a.jpg,250,28,5,170,50,26
Online Songs,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,249,36,5,170,50,52
Please Take Me Home,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,246,35,4,172,60,45
Reckless Abandon,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,234,43,7,134,70,27
East Jesus Nowhere,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/72a314e1e9064a0418159b144fe1ad72.jpg,233,34,2,196,60,55
we can't be friends (wait for your love),Ariana Grande,https://lastfm.freetls.fastly.net/i/u/300x300/6d1923b22731e0eee921a4c7de3a3d88.jpg,219,33,5,146,50,55
Magical,TWICE,https://lastfm.freetls.fastly.net/i/u/300x300/b2d5131f8ae46f912bc73e2e96b1dfc1.jpg,216,31,3,168,40,72
Don’t Smile,Sabrina Carpenter,https://lastfm.freetls.fastly.net/i/u/300x300/9ba24340be42673d5301c97cc5259a5e.png,216,33,3,178,70,125
Holiday,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/5bcb675866706c229ad9f77188b8ac44.jpg,202,101,0,202,90,10
Begin Again (Taylor's Version),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/a758908e6e86dcecbb199c4b19acb799.jpg,197,4,2,161,120,10
Walk Away,Kelly Clarkson,https://lastfm.freetls.fastly.net/i/u/300x300/82319aa62c8ffc147a31fae6c0cdb370.jpg,196,56,5,120,80,28
bye,Ariana Grande,https://lastfm.freetls.fastly.net/i/u/300x300/6d1923b22731e0eee921a4c7de3a3d88.jpg,192,45,3,154,50,51
Famous Last Words,My Chemical Romance,https://lastfm.freetls.fastly.net/i/u/300x300/7675defb2787ce67cd030081eb8ff77c.png,190,52,7,106,90,21
First Date,blink-182,https://lastfm.freetls.fastly.net/i/u/300x300/d1556c35364e423efbfaf1bb0c42663e.png,190,48,6,116,60,30
All the Time,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,188,20,5,134,90,33
Strategy (feat. Megan Thee Stallion),TWICE,https://lastfm.freetls.fastly.net/i/u/300x300/b2d5131f8ae46f912bc73e2e96b1dfc1.jpg,184,25,2,166,30,100
Wonderland (Taylor's Version),Taylor Swift,https://lastfm.freetls.fastly.net/i/u/300x300/f58d29605321bc6e1ee4da6ae5a0cb4a.jpg,183,18,5,135,80,28
Worry Rock,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/cc7bcc37cf9f88e4700dfb9500d1b241.jpg,175,55,6,116,60,49
Jealous,Nick Jonas,https://lastfm.freetls.fastly.net/i/u/300x300/283c446453702536466e9ff122287dd2.png,174,26,1,174,30,154
The American Dream Is Killing Me,Green Day,https://lastfm.freetls.fastly.net/i/u/300x300/f574fa1b6a5f8b213d5bff91d4273d29.jpg,172,37,5,110,70,10
