Week,Song Name,Artist Name,Streams,Sales,Airplay
2022-12-30,Lavender Haze,Taylor Swift,1,1,1
2022-12-30,After LIKE,IVE,1,1,1
2023-01-06,Ang Huling El Bimbo,Eraserheads,2,2,1
2023-01-06,Hawak Kamay,Yeng Constantino,1,1,1
2023-01-06,Prinsesa,6CycleMind,1,1,1
2023-01-06,Migraine,Moonstar88,1,1,1
2023-01-06,Stars,Callalily,1,1,1
2023-01-06,Lando (feat. Chito Miranda),Gloc-9,1,1,1
2023-01-06,Himala,Rivermaya,1,1,1
2023-01-06,Buko,Jireh Lim,1,1,1
2023-01-06,Toyang,Eraserheads,1,1,1
2023-01-06,Elesi,Rivermaya,1,1,1
2023-01-06,Sumayaw Ka,Gloc-9,1,1,1
2023-01-06,Magda,Gloc-9,2,2,1
2023-01-06,The Day You Said Goodnight,Hale,1,1,1
2023-01-06,sirena,Gloc-9,2,2,1
2023-01-06,Tindahan Ni Aling Nena,Eraserheads,1,1,1
2023-01-06,Luha,Aegis,1,1,1
2023-01-06,Halik,Aegis,1,1,1
2023-01-06,Narda,Kamikazee,1,1,1
2023-01-06,Pasensya Ka Na,Silent Sanctuary,1,1,1
2023-01-06,Magasin,Eraserheads,1,1,1
2023-01-06,Hinahanap-Hanap Kita,Rivermaya,1,1,1
2023-01-06,Upuan (feat. Jeazell Grutas),Gloc-9,1,1,1
2023-01-06,Bagsakan,Parokya Ni Edgar,1,1,1
2023-01-06,Dati,Tippy Dos Santos,1,1,1
2023-01-06,Gabay,Siakol,1,1,1
2023-01-06,Kalachuchi,munimuni,1,1,1
2023-01-06,Pangarap Lang Kita,Parokya Ni Edgar,1,1,1
2023-01-06,Kung 'Di Rin Lang Ikaw,December Avenue,3,1,3
2023-01-06,Ikaw Lamang,Silent Sanctuary,1,1,1
2023-01-06,Ligaya,Eraserheads,1,1,1
2023-01-06,Spoliarium,Eraserheads,1,1,1
2023-01-06,With A Smile,Eraserheads,1,1,1
2023-01-06,Gusto Ko Nang Bumitaw - Band Version,Morissette,1,1,1
2023-01-06,Ikot-Ikot,Sarah Geronimo,1,1,1
2023-01-06,Tala,Sarah Geronimo,1,1,1
2023-01-06,Esperanza (From the soap opera Esperanza),April Boy Regino,1,1,1
2023-01-06,Gusto Ko Nang Bumitaw - From The Broken Marriage Vow,Morissette,1,1,1
2023-01-06,Gusto Ko Nang Bumitaw,Sheryn Regis,1,1,1
2023-01-06,Ayokong Tumanda,The Itchyworms,1,1,1
2023-01-06,Bibingka,Ben&Ben,1,1,1
2023-01-06,Rough,GFRIEND,4,4,1
2023-01-06,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,4,3,2
2023-01-06,Remember Me,OH MY GIRL,10,10,1
2023-01-06,MORE & MORE,TWICE,13,13,1
2023-01-06,FEARLESS,LE SSERAFIM,4,4,1
2023-01-06,Wildest Dreams (Taylor's Version),Taylor Swift,3,3,1
2023-01-06,OMG,NewJeans,18,18,1
2023-01-06,FANCY,TWICE,16,16,1
2023-01-06,So What,Loona,18,18,1
2023-01-06,Would've Could've Should've,Taylor Swift,8,8,1
2023-01-06,Hype Boy,NewJeans,7,7,1
2023-01-06,Monster,dodie,8,8,1
2023-01-06,ANTIFRAGILE,LE SSERAFIM,7,7,1
2023-01-06,Midnight Rain,Taylor Swift,6,6,1
2023-01-06,Attention,NewJeans,9,9,1
2023-01-06,Not What I Meant (feat. Lewis Watson),dodie,8,8,1
2023-01-06,LOVE DIVE,IVE,9,9,1
2023-01-06,22 (Taylor's Version),Taylor Swift,4,4,1
2023-01-06,Ditto,NewJeans,18,18,1
2023-01-06,FUN!,fromis_9,66,66,1
2023-01-06,#Cookie Jar,Red Velvet,72,72,1
2023-01-06,After LIKE,IVE,9,9,1
2023-01-06,Sparks Fly,Taylor Swift,1,1,1
2023-01-06,The Story of Us,Taylor Swift,1,1,1
2023-01-06,Mean,Taylor Swift,1,1,1
2023-01-06,Back to December,Taylor Swift,1,1,1
2023-01-06,Mine - POP Mix,Taylor Swift,1,1,1
2023-01-06,Fearless (Taylor’s Version),Taylor Swift,1,1,1
2023-01-06,Fifteen (Taylor’s Version),Taylor Swift,1,1,1
2023-01-06,You Belong with Me (Taylor’s Version),Taylor Swift,1,1,1
2023-01-06,White Horse (Taylor’s Version),Taylor Swift,1,1,1
2023-01-06,Love Story (Taylor’s Version),Taylor Swift,1,1,1
2023-01-06,Should've Said No,Taylor Swift,1,1,1
2023-01-06,Picture to Burn,Taylor Swift,1,1,1
2023-01-06,Our Song,Taylor Swift,1,1,1
2023-01-06,Teardrops on My Guitar - International Mix,Taylor Swift,1,1,1
2023-01-06,Tim McGraw,Taylor Swift,1,1,1
2023-01-06,happiness,Taylor Swift,3,3,1
2023-01-06,WA DA DA,Kep1er,6,6,1
2023-01-06,...Ready for It?,Taylor Swift,1,1,1
2023-01-06,Vigilante Shit,Taylor Swift,2,2,1
2023-01-06,King of My Heart,Taylor Swift,1,1,1
2023-01-06,Maroon,Taylor Swift,2,2,1
2023-01-06,my tears ricochet,Taylor Swift,1,1,1
2023-01-06,Anti-Hero,Taylor Swift,2,2,1
2023-01-06,Gorgeous,Taylor Swift,1,1,1
2023-01-06,I Think He Knows,Taylor Swift,1,1,1
2023-01-06,Lavender Haze,Taylor Swift,4,4,1
2023-01-06,ROYAL,IVE,5,5,1
2023-01-06,MOONLIGHT,TWICE,9,9,1
2023-01-06,Dear Reader,Taylor Swift,2,2,1
2023-01-06,Glitch,Taylor Swift,2,2,1
2023-01-06,High Infidelity,Taylor Swift,2,2,1
2023-01-06,Paris,Taylor Swift,2,2,1
2023-01-06,Bigger Than the Whole Sky,Taylor Swift,2,2,1
2023-01-06,The Great War,Taylor Swift,2,2,1
2023-01-06,Mastermind,Taylor Swift,1,1,1
2023-01-06,Sweet Nothing,Taylor Swift,4,4,1
2023-01-06,no body no crime (feat. HAIM),Taylor Swift,2,2,1
2023-01-06,tolerate it,Taylor Swift,2,2,1
2023-01-06,‘tis the damn season,Taylor Swift,2,2,1
2023-01-06,gold rush,Taylor Swift,2,2,1
2023-01-06,champagne problems,Taylor Swift,2,2,1
2023-01-06,willow,Taylor Swift,2,2,1
2023-01-06,evermore (feat. Bon Iver),Taylor Swift,1,1,1
2023-01-06,closure,Taylor Swift,1,1,1
2023-01-06,marjorie,Taylor Swift,1,1,1
2023-01-06,long story short,Taylor Swift,1,1,1
2023-01-06,cowboy like me,Taylor Swift,1,1,1
2023-01-06,ivy,Taylor Swift,1,1,1
2023-01-06,coney island (feat. The National),Taylor Swift,1,1,1
2023-01-06,dorothea,Taylor Swift,1,1,1
2023-01-06,Karma,Taylor Swift,1,1,1
2023-01-06,Labyrinth,Taylor Swift,1,1,1
2023-01-06,Bejeweled,Taylor Swift,1,1,1
2023-01-06,Question...?,Taylor Swift,1,1,1
2023-01-06,You're on Your Own Kid,Taylor Swift,1,1,1
2023-01-06,Snow on the Beach (feat. Lana Del Rey),Taylor Swift,3,3,1
2023-01-06,I Knew You Were Trouble (Taylor's Version),Taylor Swift,2,2,1
2023-01-06,Dark Paradise,Lana Del Rey,2,2,1
2023-01-06,Take It,IVE,2,2,1
2023-01-06,Sonatine,LOOΠΔ 1/3,2,2,1
2023-01-06,Cookie,NewJeans,2,2,1
2023-01-06,Arms Unfolding,dodie,2,2,1
2023-01-06,O.O,NMIXX,2,2,1
2023-01-06,Hurt,NewJeans,2,2,1
2023-01-06,Blue Flame,LE SSERAFIM,2,2,1
2023-01-06,burned out,dodie,1,1,1
2023-01-06,I Heart ?,Taylor Swift,2,2,1
2023-01-06,Beautiful Eyes,Taylor Swift,3,2,2
2023-01-06,THRILL RIDE,THE BOYZ,1,1,1
2023-01-06,NAVILLERA,GFRIEND,1,1,1
