Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-12-31,ivy,Taylor Swift,1,1,1
2021-12-31,coney island (feat. The National),Taylor Swift,1,1,1
2021-12-31,happiness,Taylor Swift,1,1,1
2021-12-31,tolerate it,Taylor Swift,1,1,1
2021-12-31,‘tis the damn season,Taylor Swift,1,1,1
2021-12-31,Teardrops on My Guitar - Radio Single Remix,Taylor Swift,2,2,1
2021-12-31,Mary's Song (Oh My My My),Taylor Swift,1,1,1
2021-12-31,Picture to Burn,Taylor Swift,1,1,1
2021-12-31,Tim McGraw,Taylor Swift,1,1,1
2021-12-31,Better Than Revenge,Taylor Swift,1,1,1
2021-12-31,Enchanted,Taylor Swift,1,1,1
2021-12-31,Never Grow Up,Taylor Swift,1,1,1
2021-12-31,The Story of Us,Taylor Swift,1,1,1
2021-12-31,Mean,Taylor Swift,1,1,1
2021-12-31,Dear John,Taylor Swift,1,1,1
2021-12-31,Speak Now,Taylor Swift,1,1,1
2021-12-31,Back to December,Taylor Swift,1,1,1
2021-12-31,Sparks Fly,Taylor Swift,1,1,1
2021-12-31,Mine - POP Mix,Taylor Swift,1,1,1
2021-12-31,All Too Well (10 Minute Version) (Taylor's Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,The Very First Night (Taylor's Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,Run (feat. Ed Sheeran) (Taylor’s Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,Forever Winter (Taylor's Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,Message in a Bottle (Taylor's Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,Babe (Taylor's Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From the Vault),Taylor Swift,3,3,1
2021-12-31,Better Man (Taylor's Version) (From the Vault),Taylor Swift,2,2,1
2021-12-31,Ronan (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,State of Grace (Acoustic Version) (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Girl at Home (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Come Back...Be Here (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,The Moment I Knew (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Begin Again (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Starlight (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,2,2,1
2021-12-31,The Lucky One (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Sad Beautiful Tragic (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Holy Ground (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift,2,2,1
2021-12-31,Stay Stay Stay (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,I Almost Do (Taylor's Version),Taylor Swift,3,3,1
2021-12-31,22 (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,All Too Well (Taylor's Version),Taylor Swift,3,3,1
2021-12-31,I Knew You Were Trouble (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Treacherous (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,Red (Taylor's Version),Taylor Swift,2,2,1
2021-12-31,State of Grace (Taylor's Version),Taylor Swift,3,3,1
2021-12-31,Ghost of You,5 Seconds of Summer,1,1,1
2021-12-31,One Thing,One Direction,1,1,1
2021-12-31,Blank Space,Taylor Swift,1,1,1
2021-12-31,Who Says,Selena Gomez & the Scene,1,1,1
2021-12-31,deja vu,Olivia Rodrigo,1,1,1
2021-12-31,Shout Out to My Ex,Little Mix,1,1,1
2021-12-31,2011,5 Seconds of Summer,1,1,1
2021-12-31,Confident,Demi Lovato,1,1,1
2021-12-31,Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,2,2,1
2021-12-31,Party in the U.S.A.,Miley Cyrus,1,1,1
2021-12-31,Since U Been Gone,Kelly Clarkson,1,1,1
2021-12-31,Getaway Car,Taylor Swift,1,1,1
2021-12-31,Bye Bye Baby (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-12-31,Don’t You (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-12-31,That’s When (feat. Keith Urban) (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-12-31,We Were Happy (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-12-31,Mr. Perfectly Fine (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-12-31,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-12-31,Today Was a Fairytale (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,The Other Side of the Door (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Superstar (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Come in with the Rain (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Forever & Always (Piano Version) (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Untouchable (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Jump Then Fall (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Change (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,The Best Day (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Forever & Always (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,The Way I Loved You (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,You’re Not Sorry (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Tell Me Why (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,You Belong with Me (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,White Horse (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Hey Stephen (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Love Story (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Fifteen (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,Fearless (Taylor’s Version),Taylor Swift,1,1,1
2021-12-31,SAY YES,TWICE,1,1,1
2021-12-31,mirrorball,Taylor Swift,1,1,1
2021-12-31,See Saw (Chuu Go Won),Loona,1,1,1
2021-12-31,I Don’t Wanna Live Forever (Fifty Shades Darker),Zayn,1,1,1
2021-12-31,Say Amen (Saturday Night),Panic! at the Disco,1,1,1
2021-12-31,exile (feat. Bon Iver),Taylor Swift,1,1,1
2021-12-31,Mercy - Acoustic,Shawn Mendes,1,1,1
2021-12-31,Photograph,Ed Sheeran,1,1,1
2021-12-31,Secret Love Song (feat. Jason Derulo),Little Mix,1,1,1
2021-12-31,Love Me Like You,Little Mix,1,1,1
2021-12-31,Butterfly,Loona,1,1,1
2021-12-31,Unconditionally,Katy Perry,1,1,1
2021-12-31,The One That Got Away - Acoustic,Katy Perry,1,1,1
2021-12-31,Dear Santa - English Version,Girls' Generation-TTS,1,1,1
2021-12-31,SUMMER RAIN,GFRIEND,1,1,1
2021-12-31,Rough,GFRIEND,1,1,1
2021-12-31,Perfect,Ed Sheeran,1,1,1
2021-12-31,Castle on the Hill,Ed Sheeran,1,1,1
2021-12-31,STAY,BLACKPINK,1,1,1
2021-12-31,Wish You Were Here,Avril Lavigne,1,1,1
2021-12-31,Let Me Go (feat. Chad Kroeger),Avril Lavigne,1,1,1
2022-01-07,Secret,WJSN,1,1,1
2022-01-07,MoMoMo,WJSN,1,1,1
2022-01-07,Panorama,IZ*ONE,2,2,1
2022-01-07,Secret Story of the Swan,IZ*ONE,1,1,1
2022-01-07,FIESTA,IZ*ONE,1,1,1
2022-01-07,Violeta,IZ*ONE,1,1,1
2022-01-07,La Vie en Rose,IZ*ONE,1,1,1
2022-01-07,Dun Dun Dance,OH MY GIRL,1,1,1
2022-01-07,NONSTOP,OH MY GIRL,1,1,1
2022-01-07,BUNGEE (Fall In Love),OH MY GIRL,1,1,1
2022-01-07,5th Season (SSFWL),OH MY GIRL,1,1,1
2022-01-07,Remember Me,OH MY GIRL,1,1,1
2022-01-07,Banana allergy monkey,OH MY GIRL BANHANA,1,1,1
2022-01-07,Secret Garden,OH MY GIRL,1,1,1
2022-01-07,Coloring Book,OH MY GIRL,1,1,1
2022-01-07,Listen To My Word,OH MY GIRL,2,2,1
2022-01-07,WINDY DAY,OH MY GIRL,1,1,1
2022-01-07,Liar Liar (Korean Version),OH MY GIRL,1,1,1
2022-01-07,CLOSER,OH MY GIRL,1,1,1
2022-01-07,CUPID,OH MY GIRL,1,1,1
2022-01-07,STAY,BLACKPINK,1,1,1
2022-01-07,You Never Know,BLACKPINK,1,1,1
2022-01-07,Love to Hate Me,BLACKPINK,1,1,1
2022-01-07,Crazy Over You,BLACKPINK,1,1,1
2022-01-07,Lovesick Girls,BLACKPINK,1,1,1
2022-01-07,Bet You Wanna (feat. Cardi B),BLACKPINK,1,1,1
2022-01-07,Pretty Savage,BLACKPINK,1,1,1
2022-01-07,Ice Cream (with Selena Gomez),BLACKPINK,2,2,1
2022-01-07,How You Like That,BLACKPINK,1,1,1
2022-01-07,Moonlight Melody,Red Velvet,1,1,1
2022-01-07,About Love,Red Velvet,1,1,1
2022-01-07,Perfect 10,Red Velvet,1,1,1
2022-01-07,Attaboy,Red Velvet,1,1,1
2022-01-07,My Second Date,Red Velvet,1,1,1
2022-01-07,Kingdom Come,Red Velvet,1,1,1
2022-01-07,I Just,Red Velvet,1,1,1
2022-01-07,Look,Red Velvet,1,1,1
2022-01-07,Peek-A-Boo,Red Velvet,1,1,1
2022-01-07,Bad Boy,Red Velvet,2,2,1
2022-01-07,AS IF IT'S YOUR LAST,BLACKPINK,1,1,1
2022-01-07,The Feels,TWICE,1,1,1
2022-01-07,SAY YES,TWICE,1,1,1
2022-01-07,DEJAVU,TWICE,1,1,1
2022-01-07,HO!,TWICE,1,1,1
2022-01-07,SWEET TALKER,TWICE,1,1,1
2022-01-07,What Is Love,TWICE,1,1,1
2022-01-07,BREAKTHROUGH - Korean Version,TWICE,1,1,1
2022-01-07,21:29,TWICE,1,1,1
2022-01-07,LOVE FOOLISH,TWICE,1,1,1
2022-01-07,TRICK IT,TWICE,1,1,1
2022-01-07,GET LOUD,TWICE,1,1,1
2022-01-07,RAINBOW,TWICE,1,1,1
2022-01-07,Feel Special,TWICE,3,3,1
2022-01-07,SWEET SUMMER DAY,TWICE,1,1,1
2022-01-07,DON’T CALL ME AGAIN,TWICE,1,1,1
2022-01-07,SHADOW,TWICE,1,1,1
2022-01-07,MAKE ME GO,TWICE,1,1,1
2022-01-07,FIREWORK,TWICE,1,1,1
2022-01-07,OXYGEN,TWICE,1,1,1
2022-01-07,MORE & MORE,TWICE,2,2,1
2022-01-07,Ding Ding Dong,Loona,1,1,1
2022-01-07,Oh (Yes I Am),Loona,1,1,1
2022-01-07,Number 1,Loona,1,1,1
2022-01-07,So What,Loona,1,1,1
2022-01-07,#,Loona,1,1,1
2022-01-07,365,Loona,1,1,1
2022-01-07,Where you at,Loona,1,1,1
2022-01-07,Colors,Loona,1,1,1
2022-01-07,Curiosity,Loona,1,1,1
2022-01-07,Satellite,Loona,1,1,1
2022-01-07,Butterfly,Loona,1,1,1
2022-01-07,X X,Loona,1,1,1
