Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2021-07-02,1,RE,--,True,34,--,Body,Megan Thee Stallion,Good News,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,0,0,1,2
2021-07-02,2,NEW,--,True,32,--,I Love You Jesus,Trisha Paytas,I Love You Jesus,4,2,3,20,6,6,200000,6000,300000,0.4,0.01,0.59,506000,32,0,0,2,1
2021-07-02,3,NEW,--,True,26,--,PTT (Paint the Town),Loona,[&],3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,3,1
2021-07-02,4,-2,2,False,21,-0.09,ข้างๆ - เพลงประกอบซีรีส์ ปลาบนฟ้า,หลุยส์ ธณวิน,เพลงประกอบซีรีส์ ปลาบนฟ้า,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,11,0,2,2
2021-07-02,5,-4,1,False,21,-0.09,คนแบบไหน - เพลงประกอบซีรีส์ ปลาบนฟ้า,มิกซ์ สหภาพ,เพลงประกอบซีรีส์ ปลาบนฟ้า,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,11,0,1,2
2021-07-02,6,+1,7,True,19,0.43,Alcohol-Free,TWICE,Taste of Love,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,7,2,6,3
2021-07-02,7,RE,--,True,18,--,Work,Iggy Azalea,The New Classic (Deluxe Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,7,2
2021-07-02,8,NEW,--,True,18,--,Circles,Megan Thee Stallion,Good News,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,8,1
2021-07-02,9,RE,--,True,18,--,Savage Remix (feat. Beyoncé),Megan Thee Stallion,Good News,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,9,2
2021-07-02,10,RE,--,False,18,--,WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,1,7
