Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2021-08-20,1,NEW,--,True,26,--,Unti-Unti,Up Dharma Down,Unti-Unti,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,1,1
2021-08-20,2,NEW,--,True,26,--,FEVER,Mook,Light on Me (Original Television Soundtrack) Pt. 2,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,2,1
2021-08-20,3,NEW,--,True,26,--,SPARK,A.C.E,Light on Me (Original Television Soundtrack) Pt. 1,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,0,3,1
2021-08-20,4,RE,--,True,22,--,Red Flavor,Red Velvet,The Red Summer - Summer Mini Album,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,4,4,3
2021-08-20,5,NEW,--,True,18,--,Mood Ring,Lorde,Solar Power,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,5,1
2021-08-20,6,NEW,--,True,18,--,Queendom,Red Velvet,Queendom - The 6th Mini Album,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,6,1
2021-08-20,7,RE,--,True,18,--,Zimzalabim,Red Velvet,‘The ReVe Festival’ Day 1,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,7,3
2021-08-20,8,NEW,--,True,18,--,Solar Power,Lorde,Solar Power,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,8,1
2021-08-20,9,NEW,--,True,18,--,Good Love Your Love,Deep Squad,Good Love Your Love,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,9,1
2021-08-20,10,NEW,--,True,18,--,産声,Omoinotake,産声,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,10,1
2021-08-20,11,RE,--,True,18,--,ghostin,Ariana Grande,thank u next,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,11,2
2021-08-20,12,+1,13,True,14,0.17,Style,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,4,0,12,6
2021-08-20,13,RE,--,False,14,--,Waking Up in Vegas,Katy Perry,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,4,5,4
2021-08-20,14,RE,--,False,14,--,Be Natural,Red Velvet,Be Natural,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,4,6,4
2021-08-20,15,RE,--,False,14,--,Chase Me,Dreamcatcher,악몽,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,4,2,5
2021-08-20,16,RE,--,True,13,--,Shake It Off,Taylor Swift,1989 (Deluxe),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,3,16,3
2021-08-20,17,RE,--,False,13,--,Blank Space,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,3,17,9
2021-08-20,18,+72,90,True,13,0.3,Rumors (feat. Cardi B),Lizzo,Rumors (feat. Cardi B),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,18,2
2021-08-20,19,+65,84,True,13,0.3,Wings,Little Mix,DNA (Expanded Edition),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,19,3
2021-08-20,20,+58,78,True,13,0.3,The Edge of Glory,Lady Gaga,Born This Way (International Special Edition Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,20,5
2021-08-20,21,+31,52,True,13,0.3,Bad Romance,Lady Gaga,The Fame Monster (International Deluxe),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,3,0,21,2
2021-08-20,22,RE,--,False,12,--,We Are Never Ever Getting Back Together,Taylor Swift,Red (Deluxe Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,2,12,4
2021-08-20,23,RE,--,False,12,--,Green Light,Lorde,Melodrama,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,2,1,8
2021-08-20,24,RE,--,False,10,--,New Romantics,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,24,5
2021-08-20,25,RE,--,False,10,--,You Are in Love,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,3,6
2021-08-20,26,RE,--,True,10,--,Clean,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,26,3
2021-08-20,27,RE,--,False,10,--,Wildest Dreams,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,11,3
2021-08-20,28,RE,--,True,10,--,I Wish You Would,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,28,2
2021-08-20,29,RE,--,True,10,--,All You Had to Do Was Stay,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,29,2
2021-08-20,30,RE,--,True,10,--,Out of the Woods,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,30,4
2021-08-20,31,RE,--,True,10,--,Welcome to New York,Taylor Swift,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,31,2
2021-08-20,32,RE,--,False,10,--,Worth It (feat. Kid Ink),Fifth Harmony,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,14,4
2021-08-20,33,NEW,--,True,10,--,Sledgehammer,Fifth Harmony,,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,0,0,33,1
