Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2021-05-21,1,+4,5,True,40,4.67,Build A Bitch,Bella Poarch,Build a Bitch,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,6,0,1,2
2021-05-21,2,+12,14,False,29,2.0,Love Story (Taylor’s Version),Taylor Swift,Love Story (Taylor’s Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,6,5,1,8
2021-05-21,3,NEW,--,True,24,--,Hell Nos and Headphones,Hailee Steinfeld,HAIZ,3,1,3,15,3,6,150000,3000,300000,0.33,0.01,0.66,453000,24,0,0,3,1
2021-05-21,4,-3,1,False,21,-0.09,Kura Kura,TWICE,Kura Kura,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,11,0,1,2
2021-05-21,5,-2,3,False,21,0.67,Mr. Perfectly Fine (Taylor’s Version) (From the Vault),Taylor Swift,Fearless (Taylor's Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,5,3,6
2021-05-21,6,-2,4,False,20,0.67,Womanizer,Britney Spears,Circus (Deluxe Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,6,4,4,10
2021-05-21,7,NEW,--,True,18,--,hope ur ok,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,7,1
2021-05-21,8,NEW,--,True,18,--,favorite crime,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,8,1
2021-05-21,9,NEW,--,True,18,--,jealousy jealousy,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,9,1
2021-05-21,10,NEW,--,True,18,--,happier,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,10,1
2021-05-21,11,NEW,--,True,18,--,enough for you,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,11,1
2021-05-21,12,NEW,--,True,18,--,1 step forward 3 steps back,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,12,1
2021-05-21,13,NEW,--,True,18,--,traitor,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,13,1
2021-05-21,14,NEW,--,True,18,--,brutal,Olivia Rodrigo,SOUR,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,14,1
2021-05-21,15,NEW,--,True,18,--,Sober,Selena Gomez,Revival (Deluxe),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,15,1
2021-05-21,16,NEW,--,True,18,--,Only You,TWICE,SIGNAL,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,16,1
2021-05-21,17,RE,--,False,18,--,Rock Bottom,Hailee Steinfeld,HAIZ,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,0,0,6,2
