Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2021-10-08,Genie,Genie - The Second Mini Album,Girls' Generation,1,1,1
2021-10-08,Bubble Pop!,Bubble Pop!,HyunA,1,1,1
2021-10-08,As Long as You Love Me,Believe (Deluxe Edition),Justin Bieber,1,1,1
2021-10-08,Lighters,Hell: The Sequel (Deluxe),Bad Meets Evil,1,1,1
2021-10-08,Womanizer,Circus (Deluxe Version),Britney Spears,1,1,1
2021-10-08,Wide Awake,Teenage Dream: The Complete Confection,Katy Perry,1,1,1
2021-10-08,Fergalicious,The Dutchess,Fergie,1,1,1
2021-10-08,Where Is the Love?,Elephunk,Black Eyed Peas,1,1,1
2021-10-08,Slow Down,Stars Dance (Bonus Track Version),Selena Gomez,1,1,1
2021-10-08,Both of Us (feat. Taylor Swift),Strange Clouds,B.o.B,1,1,1
2021-10-08,Complicated,Let Go,Avril Lavigne,1,1,1
2021-10-08,Back to December,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-10-08,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,1,1,1
2021-10-08,Love Somebody,Overexposed (Deluxe),Maroon 5,1,1,1
2021-10-08,Bleeding Love,Spirit,Leona Lewis,1,1,1
2021-10-08,Word Up!,Word Up!,Little Mix,1,1,1
2021-10-08,Haunted - Acoustic Version,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-10-08,Come Back...Be Here,Red (Deluxe Edition),Taylor Swift,1,1,1
2021-10-08,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2021-10-08,Sonatine,Love & Evil,LOOΠΔ 1/3,2,2,1
2021-10-08,JALJAYO GOOD NIGHT,twicetagram,TWICE,1,1,1
2021-10-08,You In My Heart,twicetagram,TWICE,1,1,1
2021-10-08,TURTLE,twicetagram,TWICE,1,1,1
2021-10-08,SAY YES,Summer Nights,TWICE,1,1,1
2021-10-08,ONE IN A MILLION,TWICEcoaster: LANE1,TWICE,1,1,1
2021-10-08,ghostin,thank u next,Ariana Grande,2,2,1
2021-10-08,Daylight,Lover,Taylor Swift,2,2,1
2021-10-08,Happier Than Ever,Happier Than Ever,Billie Eilish,1,1,1
2021-10-08,bury a friend,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,1,1,1
2021-10-08,when the party's over,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,1,1,1
2021-10-08,wish you were gay,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,1,1,1
2021-10-08,all the good girls go to hell,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,1,1,1
2021-10-08,you should see me in a crown,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,1,1,1
2021-10-08,xanny,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,1,1,1
2021-10-08,Sweetest Devotion,25,Adele,1,1,1
2021-10-08,All I Ask,25,Adele,1,1,1
2021-10-08,Million Years Ago,25,Adele,1,1,1
2021-10-08,Love in the Dark,25,Adele,3,3,1
2021-10-08,Emperor's New Clothes,Death of a Bachelor,Panic! at the Disco,1,1,1
2021-10-08,22,Red (Deluxe Edition),Taylor Swift,1,1,1
2021-10-08,Ours,Speak Now (Deluxe Package),Taylor Swift,1,1,1
2021-10-08,Payphone,Overexposed Track By Track,Maroon 5,1,1,1
2021-10-08,Beautiful Girls,Beautiful Girls,Sean Kingston,1,1,1
2021-10-08,I'm with You,Let Go,Avril Lavigne,1,1,1
2021-10-08,Wolves,Wolves,Selena Gomez,1,1,1
2021-10-08,Jai Ho! (You Are My Destiny),Jai Ho! (You Are My Destiny),A.R. Rahman,1,1,1
2021-10-08,Same Old Love,Revival (Deluxe),Selena Gomez,1,1,1
2021-10-08,Marvin Gaye (feat. Meghan Trainor),Nine Track Mind,Charlie Puth,1,1,1
2021-10-08,That's What You Get,RIOT!,Paramore,1,1,1
2021-10-08,Anaconda,The Pinkprint (International Deluxe Explicit),Nicki Minaj,1,1,1
2021-10-08,Shout Out to My Ex,Glory Days (Expanded Edition),Little Mix,1,1,1
2021-10-08,Work Bitch,Britney Jean (Deluxe Version),Britney Spears,2,1,2
2021-10-08,Look What You Made Me Do,Reputation,Taylor Swift,1,1,1
2021-10-08,Hands to Myself,Revival (Deluxe),Selena Gomez,1,1,1
2021-10-08,Style,1989 (Deluxe),Taylor Swift,1,1,1
2021-10-08,Tell Me Something I Don't Know,For You,Selena Gomez & the Scene,1,1,1
2021-10-08,The Last Time,Red (Deluxe Edition),Taylor Swift,1,1,1
2021-10-08,Call Me Maybe,Kiss,Carly Rae Jepsen,1,1,1
2021-10-08,River Lea,25,Adele,2,2,1
2021-10-08,Begin Again,Red (Deluxe Edition),Taylor Swift,1,1,1
2021-10-08,Safe & Sound - from The Hunger Games Soundtrack,The Hunger Games: Songs From District 12 and Beyond,Taylor Swift,2,2,1
2021-10-08,사탕 (Candy),Ice Cream Cake - The 1st Mini Album,Red Velvet,1,1,1
2021-10-08,Towers,Salute (Expanded Edition),Little Mix,1,1,1
2021-10-08,one way,beauty&thebeat,LOONA/yyxy,1,1,1
2021-10-08,Liability,Melodrama,Lorde,1,1,1
2021-10-08,Let Me Go (feat. Chad Kroeger),Avril Lavigne (Expanded Edition),Avril Lavigne,1,1,1
2021-10-08,this is me trying,folklore,Taylor Swift,1,1,1
2021-10-08,Water Under the Bridge,25,Adele,1,1,1
2021-10-08,Remedy,25,Adele,1,1,1
2021-10-08,When We Were Young,25,Adele,1,1,1
2021-10-08,I Miss You,25,Adele,1,1,1
2021-10-08,Send My Love (to Your New Lover),25,Adele,1,1,1
2021-10-08,Hello,25,Adele,1,1,1
2021-10-08,Someone Like You,21,Adele,1,1,1
2021-10-08,Lovesong,21,Adele,1,1,1
2021-10-08,One and Only,21,Adele,1,1,1
2021-10-08,I'll Be Waiting,21,Adele,1,1,1
2021-10-08,Take It All,21,Adele,1,1,1
2021-10-08,He Won't Go,21,Adele,1,1,1
2021-10-08,Set Fire to the Rain,21,Adele,1,1,1
2021-10-08,Don't You Remember,21,Adele,1,1,1
2021-10-08,Turning Tables,21,Adele,1,1,1
2021-10-08,Rumour Has It,21,Adele,1,1,1
2021-10-08,Rolling in the Deep,21,Adele,1,1,1
