Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2025-02-07,1,+8,9,True,False,540,2.31,She's So Mean,Matchbox Twenty,North (Deluxe Edition),59,59,1,295,177,2,2950000,177000,100000,0.91,0.05,0.03,3227000,474,49,17,1,43,1
2025-02-07,2,NEW,--,True,False,386,--,Mad Season,Matchbox Twenty,Mad Season,48,48,1,240,144,2,2400000,144000,100000,0.91,0.05,0.04,2644000,386,0,0,2,1,1
2025-02-07,3,+19,22,True,False,378,3.15,3AM,Matchbox Twenty,Yourself or Someone Like You,42,42,1,210,126,2,2100000,126000,100000,0.9,0.05,0.04,2326000,338,28,12,3,5,1
2025-02-07,4,+23,27,True,False,363,3.59,Push,Matchbox Twenty,Yourself or Someone Like You,41,41,1,205,123,2,2050000,123000,100000,0.9,0.05,0.04,2273000,330,24,9,4,6,1
2025-02-07,5,+23,28,True,False,353,3.58,Real World,Matchbox Twenty,Yourself or Someone Like You,40,40,1,200,120,2,2000000,120000,100000,0.9,0.05,0.05,2220000,322,24,7,5,5,1
2025-02-07,6,-5,1,False,False,348,-0.08,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),29,29,1,145,87,2,1450000,87000,100000,0.89,0.05,0.06,1637000,234,114,0,1,2,1
2025-02-07,7,-4,3,False,False,336,0.0,Motivation,Sum 41,All Killer No Filler,23,22,2,115,66,4,1150000,66000,200000,0.81,0.05,0.14,1416000,185,101,50,3,5,1
2025-02-07,8,RE,--,True,False,329,--,If You're Gone,Matchbox Twenty,Mad Season,41,40,2,205,120,4,2050000,120000,200000,0.86,0.05,0.08,2370000,329,0,0,8,2,1
2025-02-07,9,NEW,--,True,False,329,--,Bent,Matchbox Twenty,Mad Season,41,40,2,205,120,4,2050000,120000,200000,0.86,0.05,0.08,2370000,329,0,0,9,1,1
2025-02-07,10,-8,2,False,False,326,-0.03,Fat Lip,Sum 41,All Killer No Filler,21,21,1,105,63,2,1050000,63000,100000,0.87,0.05,0.08,1213000,170,101,55,2,5,1
2025-02-07,11,RE,--,False,False,275,--,Unwell,Matchbox Twenty,More Than You Think You Are,33,33,1,165,99,2,1650000,99000,100000,0.89,0.05,0.05,1849000,266,0,9,7,21,1
2025-02-07,12,RE,--,True,False,226,--,How Far We've Come,Matchbox Twenty,How Far We've Come,28,28,1,140,84,2,1400000,84000,100000,0.88,0.05,0.06,1584000,226,0,0,12,2,1
2025-02-07,13,+1,14,False,False,213,0.82,Redundant,Green Day,Nimrod,20,20,1,100,60,2,1000000,60000,100000,0.86,0.05,0.09,1160000,162,36,15,1,46,1
2025-02-07,14,+26,40,True,False,198,1.87,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,19,19,1,95,57,2,950000,57000,100000,0.86,0.05,0.09,1107000,154,21,23,14,9,1
2025-02-07,15,NEW,--,True,False,186,--,Bright Lights,Matchbox Twenty,More Than You Think You Are,23,23,1,115,69,2,1150000,69000,100000,0.87,0.05,0.08,1319000,186,0,0,15,1,1
2025-02-07,16,NEW,--,True,False,184,--,Disease,Matchbox Twenty,More Than You Think You Are,23,21,3,115,63,6,1150000,63000,300000,0.76,0.04,0.2,1513000,184,0,0,16,1,1
2025-02-07,17,RE,--,False,False,179,--,Before the Lobotomy,Green Day,21st Century Breakdown,21,21,1,105,63,2,1050000,63000,100000,0.87,0.05,0.08,1213000,170,0,9,1,26,2
2025-02-07,18,-12,6,False,False,110,-0.56,Give Me One Good Reason,blink-182,Take Off Your Pants and Jacket,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,75,25,6,10,1
2025-02-07,19,-12,7,False,False,101,-0.57,Story of a Lonely Guy,blink-182,Take Off Your Pants and Jacket,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,72,19,7,11,1
2025-02-07,20,-10,10,False,False,88,-0.45,That's My Floor,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,48,22,10,8,1
2025-02-07,21,-9,12,False,False,87,-0.33,Tunnel Vision,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,39,30,12,8,2
2025-02-07,22,-3,19,False,False,68,-0.34,Killing Time,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,31,19,19,5,1
2025-02-07,23,+11,34,False,False,67,-0.07,The Rock Show,blink-182,Take Off Your Pants and Jacket,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,22,19,1,15,3
2025-02-07,24,+15,39,False,False,65,-0.06,Nice Guys Finish Last,Green Day,Nimrod,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,21,18,1,57,7
2025-02-07,25,+16,41,False,False,59,-0.12,Watching T.V.,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,21,20,23,5,1
2025-02-07,26,+11,37,False,False,56,-0.19,Death & Romance,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,21,17,16,8,1
2025-02-07,27,+11,38,False,False,56,-0.19,Image,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,21,17,17,8,1
2025-02-07,28,+8,36,False,False,56,-0.2,Anthem Part Two,blink-182,Take Off Your Pants and Jacket,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,21,25,14,10,1
2025-02-07,29,+39,68,False,False,52,0.13,What's My Age Again?,blink-182,Enema of the State,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,14,12,1,27,2
2025-02-07,30,+5,35,False,False,48,-0.31,Shut Up,blink-182,Take Off Your Pants and Jacket,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,21,17,25,10,1
2025-02-07,31,+13,44,True,False,47,-0.16,The Ballad Of Matt & Mica,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,31,5,1
2025-02-07,32,+13,45,True,False,47,-0.16,Angel On A Satellite,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,32,5,1
2025-02-07,33,+13,46,True,False,47,-0.16,Cry For Me,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,33,5,1
2025-02-07,34,+13,47,True,False,47,-0.16,Feeling Diskinserted?,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,34,5,1
2025-02-07,35,+13,48,True,False,47,-0.16,Love Is Everywhere,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,35,5,1
2025-02-07,36,+13,49,True,False,47,-0.16,Vampire In The Corner,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,36,5,1
2025-02-07,37,+13,50,True,False,47,-0.16,Fear Sex,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,37,5,1
2025-02-07,38,+13,51,True,False,47,-0.16,True Blue Interlude,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,38,5,1
2025-02-07,39,+17,56,False,False,47,-0.11,Online Songs,blink-182,Take Off Your Pants and Jacket,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,16,13,22,10,1
2025-02-07,40,+13,53,True,False,47,-0.13,She Looked Like Me!,Magdalena Bay,Imaginal Disk,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,17,12,40,5,1
2025-02-07,41,+40,81,False,False,44,0.13,Scattered,Green Day,Nimrod,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,12,14,3,26,2
