Week,Position,Rise/Fall,Previous Rank,Total Weighted Points,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2025-02-28,1,+1,2,546,Mad Season,Matchbox Twenty,Mad Season,33,33,1,165,99,2,266,174,106,1,3
2025-02-28,2,-1,1,508,Feeling This,blink-182,blink-182,39,39,1,195,117,2,314,194,0,1,2
2025-02-28,3,+28,31,488,She's out of Her Mind,blink-182,California (Deluxe Edition),58,42,13,290,126,26,442,46,0,3,2
2025-02-28,4,-1,3,453,Always,blink-182,blink-182,38,38,1,190,114,2,306,147,0,3,2
2025-02-28,5,+12,17,425,The Static Age,Green Day,21st Century Breakdown,45,45,1,225,135,2,362,63,0,5,2
2025-02-28,6,-2,4,336,If You're Gone,Matchbox Twenty,Mad Season,13,13,1,65,39,2,106,140,90,3,4
2025-02-28,7,-2,5,323,Bent,Matchbox Twenty,Mad Season,12,12,1,60,36,2,98,137,88,4,4
2025-02-28,8,-2,6,321,She's So Mean,Matchbox Twenty,North (Deluxe Edition),13,13,1,65,39,2,106,116,99,2,9
2025-02-28,9,RE,,314,Shut Up and Dance,Walk the Moon,Talking Is Hard,39,39,1,195,117,2,314,0,0,9,1
2025-02-28,10,RE,,306,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Hands All Over (Revised Asia Standard Version),38,38,1,190,114,2,306,0,0,10,1
2025-02-28,11,RE,,306,Jealous,Nick Jonas,Nick Jonas X2,38,38,1,190,114,2,306,0,0,11,1
2025-02-28,12,RE,,298,Scattered,Green Day,Nimrod,37,37,1,185,111,2,298,0,0,12,6
2025-02-28,13,-6,7,291,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),13,13,1,65,39,2,106,108,77,1,5
2025-02-28,14,-6,8,265,Motivation,Sum 41,All Killer No Filler,12,12,1,60,36,2,98,96,71,2,8
2025-02-28,15,-6,9,262,Fat Lip,Sum 41,All Killer No Filler,12,12,1,60,36,2,98,95,69,3,7
2025-02-28,16,RE,,256,Funeral (feat. James Bay),Maisie Peters,Funeral (feat. James Bay),36,2,35,180,6,70,256,0,0,16,1
2025-02-28,17,RE,,242,I Miss You,blink-182,blink-182,30,30,1,150,90,2,242,0,0,17,1
2025-02-28,18,-8,10,235,3AM,Matchbox Twenty,Yourself or Someone Like You,10,10,1,50,30,2,82,81,72,6,8
2025-02-28,19,+10,29,225,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,20,14,7,100,42,14,156,47,22,4,8
2025-02-28,20,+33,53,215,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),28,4,25,140,12,50,202,13,0,20,3
2025-02-28,21,-5,16,206,Bright Lights,Matchbox Twenty,More Than You Think You Are,12,12,1,60,36,2,98,64,44,14,3
2025-02-28,22,-7,15,199,Unwell,Matchbox Twenty,More Than You Think You Are,10,10,1,50,30,2,82,65,52,12,8
2025-02-28,23,-5,18,191,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,9,9,1,45,27,2,74,63,54,11,9
2025-02-28,24,-11,13,181,Redundant,Green Day,Nimrod,9,9,1,45,27,2,74,68,39,13,9
