Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2025-01-31,1,+61,62,True,253,3.36,Keeper,TWICE,Strategy,30,25,5,150,75,10,1500000,75000,500000,0.72,0.04,0.24,2075000,235,18,0,1,3
2025-01-31,2,+6,8,True,224,0.06,Motivation,Sum 41,All Killer No Filler,18,14,5,90,42,10,900000,42000,500000,0.62,0.03,0.35,1442000,142,64,18,2,4
2025-01-31,3,+61,64,True,220,2.79,Like It Like It,TWICE,Strategy,25,25,1,125,75,2,1250000,75000,100000,0.88,0.05,0.07,1425000,202,18,0,3,3
2025-01-31,4,+2,6,True,214,-0.12,Fat Lip,Sum 41,All Killer No Filler,15,15,1,75,45,2,750000,45000,100000,0.84,0.05,0.11,895000,122,74,18,4,3
2025-01-31,5,-4,1,False,214,-0.59,NEXT PAGE,TWICE,TWICEcoaster: LANE 1,7,6,2,35,18,4,350000,18000,200000,0.62,0.03,0.35,568000,57,157,0,1,3
2025-01-31,6,NEW,--,True,169,--,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Get Your Heart On! (Deluxe Edition),25,8,10,125,24,20,1250000,24000,1000000,0.55,0.01,0.44,2274000,169,0,0,6,1
2025-01-31,7,+2,9,False,154,-0.27,How You Get the Girl (Taylor's Version),Taylor Swift,1989 (Taylor's Version),5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,64,48,1,18
2025-01-31,8,-6,2,False,151,-0.53,Supersonic,fromis_9,Supersonic,7,3,5,35,9,10,350000,9000,500000,0.41,0.01,0.58,859000,54,97,0,2,2
2025-01-31,9,+2,11,False,137,-0.3,All You Had to Do Was Stay (Taylor's Version),Taylor Swift,1989 (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,60,43,4,16
2025-01-31,10,-3,7,False,136,-0.37,Read your Mind,Sabrina Carpenter,emails i can’t send fwd:,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,65,45,2,8
2025-01-31,11,+23,34,True,130,0.57,Stay Together for the Kids,blink-182,Take Off Your Pants and Jacket,11,11,1,55,33,2,550000,33000,100000,0.81,0.05,0.15,683000,90,25,15,11,8
2025-01-31,12,-2,10,False,129,-0.37,Fast Times,Sabrina Carpenter,emails i can’t send fwd:,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,62,41,4,6
2025-01-31,13,+43,56,True,128,0.97,Anthem Part Two,blink-182,Take Off Your Pants and Jacket,12,12,1,60,36,2,600000,36000,100000,0.82,0.05,0.14,736000,98,20,10,13,7
2025-01-31,14,+10,24,True,125,0.24,Give Me One Good Reason,blink-182,Take Off Your Pants and Jacket,10,10,1,50,30,2,500000,30000,100000,0.79,0.05,0.16,630000,82,31,12,14,8
2025-01-31,15,+69,84,False,123,2.84,She's So Mean,Matchbox Twenty,North (Deluxe Edition),13,9,5,65,27,10,650000,27000,500000,0.55,0.02,0.42,1177000,102,10,11,1,41
2025-01-31,16,-3,13,False,119,-0.29,New Romantics (Taylor's Version),Taylor Swift,1989 (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,51,34,8,16
2025-01-31,17,-14,3,False,118,-0.61,PIT-A-PAT,TWICE,TWICEcoaster: LANE 1,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,92,0,3,3
2025-01-31,18,-3,15,False,117,-0.2,That's My Floor,Magdalena Bay,Imaginal Disk,6,2,5,30,6,10,300000,6000,500000,0.37,0.01,0.62,806000,46,44,27,12,7
2025-01-31,19,-5,14,False,112,-0.28,Tunnel Vision,Magdalena Bay,Imaginal Disk,6,2,5,30,6,10,300000,6000,500000,0.37,0.01,0.62,806000,46,47,19,14,7
2025-01-31,20,-15,5,False,111,-0.61,PONYTAIL,TWICE,TWICEcoaster: LANE 1,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,85,0,5,3
2025-01-31,21,=,21,False,111,-0.03,ไหล่เธอ (You’ve Got Ma Back) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ไหล่เธอ (You’ve Got Ma Back) - Single,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,35,42,1,10
2025-01-31,22,-18,4,False,108,-0.64,1 TO 10,TWICE,TWICEcoaster: LANE 1,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,90,0,4,3
2025-01-31,23,+12,35,True,107,0.29,Shut Up,blink-182,Take Off Your Pants and Jacket,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,25,16,23,8
2025-01-31,24,-12,12,False,106,-0.4,Fresh Out the Slammer,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,54,42,1,27
2025-01-31,25,+25,50,True,102,0.32,Story of a Lonely Guy,blink-182,Take Off Your Pants and Jacket,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,24,12,25,8
2025-01-31,26,+18,44,True,102,0.24,Killing Time,Magdalena Bay,Imaginal Disk,11,4,5,55,12,10,550000,12000,500000,0.52,0.01,0.47,1062000,77,25,0,26,4
2025-01-31,27,+39,66,True,100,0.72,Strategy (feat. Megan Thee Stallion),TWICE,Strategy,10,10,1,50,30,2,500000,30000,100000,0.79,0.05,0.16,630000,82,18,0,27,3
2025-01-31,28,-6,22,False,95,-0.14,The Rock Show,blink-182,Take Off Your Pants and Jacket,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,34,35,1,13
2025-01-31,29,-6,23,False,93,-0.11,ง้อว (Smile Please) (เพลงประกอบซีรีส์ แฟนผมเป็นประธานนักเรียน My School President),Fourth,ง้อว (Smile Please) - Single,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,32,35,3,10
2025-01-31,30,+40,70,False,92,0.67,Roller Coaster,blink-182,Take Off Your Pants and Jacket,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,17,9,19,7
2025-01-31,31,-1,30,False,80,-0.06,Please Take Me Home,blink-182,Take Off Your Pants and Jacket,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,26,12,27,8
2025-01-31,32,-1,31,False,80,-0.05,Watching T.V.,Magdalena Bay,Imaginal Disk,6,3,4,30,9,8,300000,9000,400000,0.42,0.01,0.56,709000,47,26,7,31,5
2025-01-31,33,+20,53,False,78,0.07,Happy Holidays You Bastard,blink-182,Take Off Your Pants and Jacket,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,22,14,26,8
2025-01-31,34,+13,47,False,76,-0.03,รักหน้าตาเหมือนเธอไหม (Love Love Love) (เพลงประกอบซีรีส์ Our Skyy แฟนผมเป็นประธานนักเรียน),Gemini,รักหน้าตาเหมือนเธอไหม (Love Love Love) - Single,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,24,26,13,10
2025-01-31,35,+22,57,False,72,0.11,Online Songs,blink-182,Take Off Your Pants and Jacket,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,20,10,20,7
2025-01-31,36,-20,16,False,72,-0.4,Every Time I Look For You,blink-182,Take Off Your Pants and Jacket,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,37,25,4,13
2025-01-31,37,RE,--,False,66,--,Redundant,Green Day,Nimrod,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,0,0,2,44
2025-01-31,38,RE,--,False,66,--,Scattered,Green Day,Nimrod,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,0,8,4,26
2025-01-31,39,-13,26,False,66,-0.32,What's My Age Again?,blink-182,Enema of the State,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,30,18,1,27
2025-01-31,40,-22,18,False,65,-0.45,Death & Romance,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,36,19,18,7
2025-01-31,41,-22,19,False,65,-0.45,Image,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,36,19,19,7
2025-01-31,42,-17,25,False,65,-0.35,Nice Guys Finish Last,Green Day,Nimrod,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,30,17,1,55
2025-01-31,43,+6,49,False,61,-0.21,Sugar We're Goin Down,Fall Out Boy,From Under the Cork Tree,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,24,19,1,22
2025-01-31,44,+16,60,True,60,0.03,Strategy,TWICE,Strategy,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,18,0,44,3
2025-01-31,45,+16,61,True,60,0.03,Magical,TWICE,Strategy,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,18,0,45,3
2025-01-31,46,+17,63,True,60,0.03,Sweetest Obsession,TWICE,Strategy,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,18,0,46,3
2025-01-31,47,+18,65,True,60,0.03,Kiss My Troubles Away,TWICE,Strategy,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,18,0,47,3
2025-01-31,48,RE,--,True,58,--,3AM,Matchbox Twenty,Yourself or Someone Like You,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,0,0,48,2
2025-01-31,49,-20,29,False,57,-0.37,Dance Dance,Fall Out Boy,From Under the Cork Tree,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,27,20,7,23
2025-01-31,50,+8,58,False,55,-0.13,bye,Ariana Grande,eternal sunshine,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,19,10,49,6
2025-01-31,51,RE,--,False,54,--,The Bolter,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,7,3,5,35,9,10,350000,9000,500000,0.41,0.01,0.58,859000,54,0,0,4,21
2025-01-31,52,-24,28,False,54,-0.41,Dead!,My Chemical Romance,The Black Parade,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,28,16,3,51
2025-01-31,53,+16,69,False,53,-0.04,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,17,10,48,7
2025-01-31,54,RE,--,True,50,--,Push,Matchbox Twenty,Yourself or Someone Like You,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,54,3
2025-01-31,55,RE,--,False,50,--,FEARLESS,LE SSERAFIM,FEARLESS,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,0,0,1,67
2025-01-31,56,+42,98,False,48,0.92,Before the Lobotomy,Green Day,21st Century Breakdown,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,8,6,1,28
2025-01-31,57,RE,--,False,48,--,All the Time,Green Day,Nimrod,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,6,2,31
2025-01-31,58,RE,--,False,46,--,Fortnight (feat. Post Malone),Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,6,2,5,30,6,10,300000,6000,500000,0.37,0.01,0.62,806000,46,0,0,26,10
2025-01-31,59,NEW,--,True,46,--,Wherever You Will Go,The Calling,Camino Palmero,6,2,5,30,6,10,300000,6000,500000,0.37,0.01,0.62,806000,46,0,0,59,1
2025-01-31,60,-5,55,False,46,-0.33,Reckless Abandon,blink-182,Take Off Your Pants and Jacket,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,21,15,3,13
2025-01-31,61,+10,71,False,45,-0.13,First Date,blink-182,Take Off Your Pants and Jacket,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,16,11,3,14
2025-01-31,62,-3,59,False,44,-0.24,ONE IN A MILLION,TWICE,TWICEcoaster: LANE 1,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,18,0,14,6
2025-01-31,63,-9,54,False,45,-0.37,Easy,Stray Kids,GO LIVE,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,22,13,1,11
2025-01-31,64,+21,85,False,44,0.42,Wonderland (Taylor's Version),Taylor Swift,1989 (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,10,0,6,10
2025-01-31,65,RE,--,True,42,--,Real World,Matchbox Twenty,Yourself or Someone Like You,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,0,65,2
2025-01-31,66,RE,--,False,42,--,Good Riddance (Time of Your Life),Green Day,Nimrod,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,0,0,18,35
2025-01-31,67,+12,79,False,41,0.03,She's a Rebel,Green Day,American Idiot,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,12,11,8,13
2025-01-31,68,RE,--,False,39,--,Look Ma No Brains!,Green Day,Saviors,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,13,1,35
2025-01-31,69,+31,100,True,40,0.67,Oh Love,Green Day,¡Uno!,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,8,6,69,10
2025-01-31,70,RE,--,False,38,--,Hitchin' a Ride,Green Day,Nimrod,5,1,5,25,3,10,250000,3000,500000,0.33,0.0,0.66,753000,38,0,0,1,51
2025-01-31,71,+5,76,False,35,-0.3,My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,15,10,6,35
2025-01-31,72,RE,--,False,35,--,1981,Green Day,Saviors,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,0,9,2,31
2025-01-31,73,-37,36,False,35,-0.57,The Ballad Of Matt & Mica,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,0,36,4
2025-01-31,74,-37,37,False,35,-0.57,Angel On A Satellite,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,0,37,4
2025-01-31,75,-37,38,False,35,-0.57,Cry For Me,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,0,38,4
2025-01-31,76,-37,39,False,35,-0.57,Feeling Diskinserted?,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,0,39,4
2025-01-31,77,-37,40,False,35,-0.57,Love Is Everywhere,Magdalena Bay,Imaginal Disk,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,25,0,40,4
