Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2023-09-08,1,+5,6,True,True,233,0.61,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),21,11,11,105,33,22,1050000,33000,1100000,0.48,0.02,0.5,2183000,160,44,29,1,76,2
2023-09-08,2,-1,1,False,False,192,-0.37,Deli,Ice Spice,Like..? (Deluxe),8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,93,33,1,4,1
2023-09-08,3,+2,5,True,True,181,0.17,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),16,7,10,80,21,20,800000,21000,1000000,0.44,0.01,0.55,1821000,121,47,13,3,67,4
2023-09-08,4,RE,--,True,False,157,--,A Thousand Miles,Vanessa Carlton,Be Not Nobody,21,8,14,105,24,28,1050000,24000,1400000,0.42,0.01,0.57,2474000,157,0,0,4,2,1
2023-09-08,5,-2,3,False,False,156,-0.25,Never Grow Up,CG5,Never Grow Up,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,63,35,3,3,2
2023-09-08,6,+3,9,True,False,141,0.02,Mean (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),13,6,8,65,18,16,650000,18000,800000,0.44,0.01,0.54,1468000,99,42,0,6,5,1
2023-09-08,7,+8,15,False,False,141,0.78,She's So Mean,Matchbox Twenty,North (Deluxe Edition),16,7,8,80,21,16,800000,21000,800000,0.49,0.01,0.49,1621000,117,24,0,4,14,1
2023-09-08,8,NEW,--,True,False,138,--,Bongos (feat. Megan Thee Stallion),Cardi B,Bongos (feat. Megan Thee Stallion),19,3,17,95,9,34,950000,9000,1700000,0.36,0.0,0.64,2659000,138,0,0,8,1,1
2023-09-08,9,+2,11,False,False,124,0.19,Gasoline (feat. Taylor Swift),HAIM,Women in Music Pt III (Expanded Edition),6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,32,42,2,9,1
2023-09-08,10,-8,2,False,False,117,-0.46,I'ma Walk Right In,CG5,I'ma Walk Right In,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,65,2,2,3,1
2023-09-08,11,-7,4,False,False,112,-0.37,Juicy,Doja Cat,Amala (Deluxe Version),7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,54,0,4,2,1
2023-09-08,12,-5,7,False,False,101,-0.29,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Taylor Swift,Red (Taylor's Version),7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,43,0,1,38,1
2023-09-08,13,-5,8,False,False,100,-0.3,ME! (feat. Brendon Urie of Panic! at the Disco),Taylor Swift,Lover,5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,43,15,4,27,1
2023-09-08,14,+2,16,False,False,97,0.28,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),10,2,9,50,6,18,500000,6000,900000,0.36,0.0,0.64,1406000,74,23,0,1,78,7
2023-09-08,15,-3,12,False,False,95,-0.04,The Story of Us (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,30,31,1,10,1
2023-09-08,16,+2,18,False,False,79,0.14,Get Up,NewJeans,NewJeans 2nd EP 'Get Up',7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,21,0,3,7,1
2023-09-08,17,+8,25,False,False,75,0.34,ETA,NewJeans,NewJeans 2nd EP 'Get Up',7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,17,0,3,7,1
2023-09-08,18,+11,29,False,False,74,0.4,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up',7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,16,0,2,7,1
2023-09-08,19,+1,20,True,False,74,0.12,Diva,Beyoncé,I AM...SASHA FIERCE - Platinum Edition,7,3,5,35,9,10,350000,9000,500000,0.41,0.01,0.58,859000,54,20,0,19,3,1
2023-09-08,20,+15,35,False,False,67,0.37,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',6,6,2,30,18,4,300000,18000,200000,0.58,0.03,0.39,518000,52,15,0,1,9,1
2023-09-08,21,+7,28,False,False,66,0.25,FEARLESS,LE SSERAFIM,FEARLESS,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,16,0,1,53,3
2023-09-08,22,+10,32,False,False,65,0.3,Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,6,6,1,30,18,2,300000,18000,100000,0.72,0.04,0.24,418000,50,15,0,5,10,1
