Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2023-05-26,1,NEW,--,True,762,--,Snow on the Beach (feat. more Lana Del Rey),Taylor Swift,Midnights (The Til Dawn Edition),101,53,49,505,159,98,5050000,159000,4900000,0.5,0.02,0.48,10109000,762,0,0,1,1
2023-05-26,2,NEW,--,True,506,--,Karma (feat. Ice Spice),Taylor Swift,Midnights (The Til Dawn Edition),63,63,1,315,189,2,3150000,189000,100000,0.92,0.05,0.03,3439000,506,0,0,2,1
2023-05-26,3,-2,1,False,474,-0.53,Forever & Always (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,304,152,1,34
2023-05-26,4,NEW,--,True,425,--,Hits Different,Taylor Swift,Midnights (The Til Dawn Edition),53,52,2,265,156,4,2650000,156000,200000,0.88,0.05,0.07,3006000,425,0,0,4,1
2023-05-26,5,RE,--,False,297,--,bury a friend,Billie Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,42,1,42,210,3,84,2100000,3000,4200000,0.33,0.0,0.67,6303000,297,0,0,2,6
2023-05-26,6,-4,2,False,263,-0.62,Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),7,2,6,35,6,12,350000,6000,600000,0.37,0.01,0.63,956000,53,210,0,2,26
2023-05-26,7,+1,8,True,252,0.37,M.P.L,Toni Fowler,M.P.L,29,5,18,145,15,36,1450000,15000,1800000,0.44,0.0,0.55,3265000,196,56,0,7,5
2023-05-26,8,RE,--,True,244,--,Stay Stay Stay (Taylor's Version),Taylor Swift,Red (Taylor's Version),31,3,29,155,9,58,1550000,9000,2900000,0.35,0.0,0.65,4459000,222,0,22,8,24
2023-05-26,9,-6,3,False,225,-0.67,You Belong with Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,207,0,1,44
2023-05-26,10,RE,--,False,183,--,‘tis the damn season,Taylor Swift,evermore,24,5,16,120,15,32,1200000,15000,1600000,0.43,0.01,0.57,2815000,167,0,16,9,34
2023-05-26,11,-6,5,False,181,-0.39,Midnight Rain,Taylor Swift,Midnights (3am Edition),12,5,8,60,15,16,600000,15000,800000,0.42,0.01,0.57,1415000,91,90,0,1,25
2023-05-26,12,-2,10,False,182,0.39,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),14,3,12,70,9,24,700000,9000,1200000,0.37,0.0,0.63,1909000,103,40,39,1,46
2023-05-26,13,-7,6,False,178,-0.32,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,78,82,2,60
2023-05-26,14,RE,--,True,135,--,Eve Psyche & The Bluebeard’s wife,LE SSERAFIM,UNFORGIVEN,16,16,1,80,48,2,800000,48000,100000,0.84,0.05,0.11,948000,130,0,5,14,3
2023-05-26,15,RE,--,False,131,--,I Think He Knows,Taylor Swift,Lover,20,4,7,100,12,14,1000000,12000,700000,0.58,0.01,0.41,1712000,126,0,5,8,27
2023-05-26,16,RE,--,False,128,--,Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version),15,4,7,75,12,14,750000,12000,700000,0.51,0.01,0.48,1462000,101,0,27,1,43
2023-05-26,17,RE,--,False,123,--,Death by a Thousand Cuts,Taylor Swift,Lover,17,2,16,85,6,32,850000,6000,1600000,0.35,0.0,0.65,2456000,123,0,0,2,22
2023-05-26,18,RE,--,False,98,--,Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,12,12,1,60,36,2,600000,36000,100000,0.82,0.05,0.14,736000,98,0,0,7,4
2023-05-26,19,RE,--,False,97,--,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),8,2,7,40,6,14,400000,6000,700000,0.36,0.01,0.63,1106000,60,0,37,2,56
2023-05-26,20,+12,32,False,69,5.9,Young Dumb Stupid,NMIXX,expérgo,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,3,0,1,9
2023-05-26,21,RE,--,False,67,--,I’m Trying (Not Friends),Maisie Peters,You Signed Up For This,9,2,8,45,6,16,450000,6000,800000,0.36,0.0,0.64,1256000,67,0,0,1,15
2023-05-26,22,RE,--,False,66,--,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,1,4,20,3,8,200000,3000,400000,0.33,0.0,0.66,603000,31,0,35,6,41
2023-05-26,23,+4,27,False,61,5.1,HOME,NMIXX,expérgo,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,3,0,2,8
2023-05-26,24,-15,9,False,61,-0.57,Fifteen (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,43,0,5,14
2023-05-26,25,+5,30,False,61,5.1,PAXXWORD,NMIXX,expérgo,7,7,1,35,21,2,350000,21000,100000,0.74,0.04,0.21,471000,58,3,0,5,8
