Week,Position,Rise/Fall,Previous Rank,Total Weighted Points,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2023-08-18,1,RE,,265,She's So Mean,Matchbox Twenty,North (Deluxe Edition),43,10,10,215,30,20,265,0,0,1,1
2023-08-18,2,+39,41,161,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),17,9,9,85,27,18,130,16,15,2,32
2023-08-18,3,RE,,144,Unwell,Matchbox Twenty,More Than You Think You Are,19,9,11,95,27,22,144,0,0,3,1
2023-08-18,4,+6,10,130,FEARLESS,LE SSERAFIM,FEARLESS,3,3,1,15,9,2,26,44,60,1,18
2023-08-18,5,RE,,115,22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),13,7,5,65,21,10,96,0,19,2,30
2023-08-18,6,-4,2,115,ETA,NewJeans,NewJeans 2nd EP 'Get Up',3,3,1,15,9,2,26,58,31,2,5
2023-08-18,7,+5,12,115,Talk that Talk,TWICE,BETWEEN 1&2,2,2,1,10,6,2,18,39,58,2,5
2023-08-18,8,+5,13,113,Rush,Troye Sivan,Rush,10,3,8,50,9,16,75,38,0,8,2
2023-08-18,9,+5,14,113,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),6,3,4,30,9,8,47,38,28,7,23
2023-08-18,10,+65,75,107,Anti-Hero,Taylor Swift,Midnights (3am Edition),14,2,13,70,6,26,102,5,0,10,17
2023-08-18,11,=,11,103,The Story of Us (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2,2,1,10,6,2,18,41,44,2,7
2023-08-18,12,-7,5,99,ASAP,NewJeans,NewJeans 2nd EP 'Get Up',2,2,1,10,6,2,18,54,27,5,5
2023-08-18,13,-9,4,94,Get Up,NewJeans,NewJeans 2nd EP 'Get Up',1,1,1,5,3,2,10,55,29,4,5
2023-08-18,14,-11,3,93,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up',1,1,1,5,3,2,10,55,28,3,5
2023-08-18,15,+12,27,88,august,Taylor Swift,folklore,3,3,1,15,9,2,26,23,39,6,5
2023-08-18,16,-15,1,87,bad idea right?,Olivia Rodrigo,bad idea right?,3,3,1,15,9,2,26,61,0,1,2
2023-08-18,17,+2,19,86,Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2,2,1,10,6,2,18,27,41,4,7
2023-08-18,18,RE,,84,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),13,3,5,65,9,10,84,0,0,1,26
2023-08-18,19,-12,7,83,Alapaap,Eraserheads,Circus,1,1,1,5,3,2,10,53,20,1,12
2023-08-18,20,RE,,80,Mine (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),11,1,11,55,3,22,80,0,0,3,5
2023-08-18,21,-3,18,80,Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,3,3,1,15,9,2,26,28,26,5,8
2023-08-18,22,-5,17,78,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),4,2,3,20,6,6,32,31,15,10,12
2023-08-18,23,-1,22,71,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,34,24,13,1,30
2023-08-18,24,+70,94,69,Blank Space,Taylor Swift,1989,9,5,3,45,15,6,66,3,0,24,8
2023-08-18,25,RE,,68,Treacherous (Taylor's Version),Taylor Swift,Red (Taylor's Version),8,4,5,40,12,10,62,0,6,4,24
2023-08-18,26,RE,,66,‘tis the damn season,Taylor Swift,evermore,3,3,1,15,9,2,26,0,40,3,11
2023-08-18,27,+65,92,64,Shake It Off,Taylor Swift,1989,8,3,6,40,9,12,61,3,0,27,5
2023-08-18,28,-20,8,63,I Have A Hole In My Tooth (And My Dentist is Shut),dodie,Intertwined - EP,2,2,1,10,6,2,18,45,0,2,3
2023-08-18,29,-3,26,64,Clouds,Any Name's Okay,Clouds,2,2,1,10,6,2,18,24,22,2,11
2023-08-18,30,-7,23,61,Move,Little Mix,Salute (Expanded Edition),1,1,1,5,3,2,10,24,27,13,6
2023-08-18,31,RE,,60,Ditto,NewJeans,NewJeans 'OMG',7,2,6,35,6,12,53,0,7,3,28
2023-08-18,32,+33,65,58,Style,Taylor Swift,1989,7,3,4,35,9,8,52,6,0,32,7
2023-08-18,33,-9,24,58,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',1,1,1,5,3,2,10,24,24,2,5
2023-08-18,34,-9,25,57,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up',1,1,1,5,3,2,10,24,23,1,5
2023-08-18,35,+20,55,49,Kung 'Di Rin Lang Ikaw,December Avenue,Kung 'Di Rin Lang Ikaw,3,3,1,15,9,2,26,11,12,2,22
2023-08-18,36,RE,,46,the last great american dynasty,Taylor Swift,folklore,3,3,1,15,9,2,26,0,20,22,5
2023-08-18,37,NEW,,45,Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica),Kyle Gordon,Planet of the Bass (feat. DJ Crazy Times & Ms. Biljana Electronica),6,1,6,30,3,12,45,0,0,37,1
2023-08-18,38,-3,35,44,Funeral (feat. James Bay),Maisie Peters,Funeral (feat. James Bay),3,3,1,15,9,2,26,18,0,35,2
2023-08-18,39,-23,16,43,Lavender Haze,Taylor Swift,Midnights (3am Edition),1,1,1,5,3,2,10,33,0,11,17
2023-08-18,40,+2,42,42,Happy,WJSN,HAPPY MOMENT (1),2,2,1,10,6,2,18,15,9,1,7
2023-08-18,41,-1,40,39,Midnight Rain,Taylor Swift,Midnights (3am Edition),1,1,1,5,3,2,10,16,13,5,26
2023-08-18,42,RE,,39,Holy Ground (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,1,4,20,3,8,31,0,8,1,27
2023-08-18,43,NEW,,38,Good Lookin',Dixon Dallas,Good Lookin',5,1,5,25,3,10,38,0,0,43,1
2023-08-18,44,-6,38,39,BeBe,WJSN,The Secret,1,1,1,5,3,2,10,18,11,4,8
2023-08-18,45,RE,,38,Thunder,Boys Like Girls,Boys Like Girls,5,1,5,25,3,10,38,0,0,45,1
2023-08-18,46,+3,49,38,libidO,OnlyOneOf,Instinct Pt. 1,3,1,3,15,3,6,24,14,0,46,3
2023-08-18,47,+30,77,36,Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),4,3,2,20,9,4,33,3,0,47,2
2023-08-18,48,-27,21,35,Question...?,Taylor Swift,Midnights (3am Edition),1,1,1,5,3,2,10,25,0,18,15
2023-08-18,49,NEW,,34,Your Love,Little Mix,Glory Days (Expanded Edition),4,4,1,20,12,2,34,0,0,49,1
2023-08-18,50,RE,,34,Baby Don’t Stop,NCT,NCT 2018 EMPATHY,4,4,1,20,12,2,34,0,0,50,5
2023-08-18,51,RE,,34,Can't Remember to Forget You (feat. Rihanna),Shakira,Shakira. (Expanded Edition),4,4,1,20,12,2,34,0,0,51,1
2023-08-18,52,RE,,34,FEARNOT (Between you me and the lamppost),LE SSERAFIM,UNFORGIVEN,4,4,1,20,12,2,34,0,0,41,4
2023-08-18,53,+8,61,34,State of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),2,2,1,10,6,2,18,7,9,5,17
2023-08-18,54,RE,,33,Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),4,3,2,20,9,4,33,0,0,2,16
2023-08-18,55,+17,72,32,Queen of Hearts,TWICE,BETWEEN 1&2,3,3,1,15,9,2,26,6,0,55,3
2023-08-18,56,+20,76,32,Music Sounds Better With You,Stardust,Music Sounds Better With You,3,3,1,15,9,2,26,4,2,56,3
2023-08-18,57,-9,48,31,Stay Numb and Carry On,Madison Beer,Life Support,1,1,1,5,3,2,10,14,7,8,10
2023-08-18,58,-7,51,31,You Are in Love,Taylor Swift,1989 (Deluxe),2,2,1,10,6,2,18,13,0,51,5
2023-08-18,59,NEW,,26,Killin’ Me Good,Jihyo,ZONE,3,3,1,15,9,2,26,0,0,59,1
2023-08-18,60,RE,,26,LOVE DIVE,IVE,LOVE DIVE,3,3,1,15,9,2,26,0,0,3,24
2023-08-18,61,RE,,26,UNNATURAL,WJSN,UNNATURAL,3,3,1,15,9,2,26,0,0,61,1
2023-08-18,62,RE,,26,Dress,Taylor Swift,Reputation,3,3,1,15,9,2,26,0,0,46,3
2023-08-18,63,RE,,26,cowboy like me,Taylor Swift,evermore,3,3,1,15,9,2,26,0,0,53,4
2023-08-18,64,RE,,26,coney island (feat. The National),Taylor Swift,evermore,3,3,1,15,9,2,26,0,0,40,5
2023-08-18,65,RE,,26,Death by a Thousand Cuts,Taylor Swift,Lover,3,3,1,15,9,2,26,0,0,17,3
2023-08-18,66,RE,,26,Cornelia Street,Taylor Swift,Lover,3,3,1,15,9,2,26,0,0,66,1
2023-08-18,67,RE,,26,Run (feat. Ed Sheeran) (Taylor’s Version) (From the Vault),Taylor Swift,Red (Taylor's Version),3,3,1,15,9,2,26,0,0,4,3
2023-08-18,68,RE,,26,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),3,3,1,15,9,2,26,0,0,6,21
2023-08-18,69,RE,,26,#Beautiful,Mariah Carey,Me. I Am Mariah…The Elusive Chanteuse,3,3,1,15,9,2,26,0,0,57,2
2023-08-18,70,RE,,26,LA Devotee,Panic! at the Disco,Death of a Bachelor,3,3,1,15,9,2,26,0,0,31,2
2023-08-18,71,RE,,26,The Feels,TWICE,Formula of Love: O+T=<3,3,3,1,15,9,2,26,0,0,33,5
2023-08-18,72,RE,,26,drivers license,Olivia Rodrigo,SOUR,3,3,1,15,9,2,26,0,0,72,1
2023-08-18,73,RE,,26,John Hughes Movie,Maisie Peters,You Signed Up For This,3,3,1,15,9,2,26,0,0,7,10
2023-08-18,74,RE,,26,September - Recorded at The Tracking Room Nashville,Taylor Swift,Spotify Singles,3,3,1,15,9,2,26,0,0,74,2
2023-08-18,75,RE,,26,You Signed Up For This,Maisie Peters,You Signed Up For This,3,3,1,15,9,2,26,0,0,5,11
2023-08-18,76,RE,,26,Cate’s Brother,Maisie Peters,Cate’s Brother,3,3,1,15,9,2,26,0,0,1,11
2023-08-18,77,RE,,26,Don't Start Now,Dua Lipa,Future Nostalgia,3,3,1,15,9,2,26,0,0,64,2
2023-08-18,78,RE,,26,Ghosting,TOMORROW X TOGETHER,minisode1 : Blue Hour,3,3,1,15,9,2,26,0,0,78,1
2023-08-18,79,RE,,26,I FLY,Jihyo,오늘의 웹툰 (Original Soundtrack) Pt. 1,3,3,1,15,9,2,26,0,0,79,1
2023-08-18,80,RE,,24,Fergalicious,Fergie,The Dutchess,3,1,3,15,3,6,24,0,0,80,1
2023-08-18,81,-13,68,24,When We Were Kids,TWICE,BETWEEN 1&2,2,2,1,10,6,2,18,6,0,52,5
2023-08-18,82,RE,,22,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,UNFORGIVEN,1,1,1,5,3,2,10,0,12,29,5
2023-08-18,83,+8,91,21,I Wish You Would,Taylor Swift,1989 (Deluxe),2,2,1,10,6,2,18,3,0,83,2
2023-08-18,84,-28,56,21,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',1,1,1,5,3,2,10,11,0,2,19
2023-08-18,85,RE,,20,PLASTIC OFF THE SOFA,Beyoncé,RENAISSANCE,2,2,1,10,6,2,18,0,2,54,5
2023-08-18,86,NEW,,18,Nightmare,Jihyo,ZONE,2,2,1,10,6,2,18,0,0,86,1
2023-08-18,87,NEW,,18,Room,Jihyo,ZONE,2,2,1,10,6,2,18,0,0,87,1
2023-08-18,88,NEW,,18,Don’t Wanna Go Back (Duet with Heize),Jihyo,ZONE,2,2,1,10,6,2,18,0,0,88,1
2023-08-18,89,NEW,,18,Wishing On You,Jihyo,ZONE,2,2,1,10,6,2,18,0,0,89,1
2023-08-18,90,NEW,,18,Closer,Jihyo,ZONE,2,2,1,10,6,2,18,0,0,90,1
2023-08-18,91,NEW,,18,Talkin’ About It (Feat. 24kGoldn),Jihyo,ZONE,2,2,1,10,6,2,18,0,0,91,1
2023-08-18,92,NEW,,18,The Great Escape,Boys Like Girls,Boys Like Girls,2,2,1,10,6,2,18,0,0,92,1
2023-08-18,93,NEW,,18,Tokyo Love Hotel,Rina Sawayama,SAWAYAMA,2,2,1,10,6,2,18,0,0,93,1
2023-08-18,94,RE,,18,ELEVEN,IVE,ELEVEN,2,2,1,10,6,2,18,0,0,53,6
2023-08-18,95,RE,,18,After LIKE,IVE,After LIKE,2,2,1,10,6,2,18,0,0,2,17
2023-08-18,96,RE,,18,Dangerous Woman,Ariana Grande,Dangerous Woman,2,2,1,10,6,2,18,0,0,81,2
2023-08-18,97,RE,,18,STRAWBERRY,TWICE,FANCY YOU,2,2,1,10,6,2,18,0,0,85,2
