Week,Position,Rise/Fall,Previous Rank,New Peak?,Re-peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC,Peak Streak
2023-10-20,1,=,1,True,True,222,-0.54,Cruel Summer,Taylor Swift,Lover,9,9,2,45,27,4,450000,27000,200000,0.66,0.04,0.3,677000,76,146,0,1,48,2
2023-10-20,2,=,2,True,True,200,-0.52,Cruel Summer - Live from TS | The Eras Tour,Taylor Swift,The Cruelest Summer,9,9,1,45,27,2,450000,27000,100000,0.78,0.05,0.17,577000,74,126,0,2,2,2
2023-10-20,3,=,3,True,True,189,-0.54,Cruel Summer - LP Giobbi Remix,Taylor Swift,The Cruelest Summer,8,8,1,40,24,2,400000,24000,100000,0.76,0.05,0.19,524000,66,123,0,3,2,2
2023-10-20,4,+8,12,False,False,146,1.06,Midnight Rain,Taylor Swift,Midnights (3am Edition),13,6,9,65,18,18,650000,18000,900000,0.41,0.01,0.57,1568000,101,22,23,1,48,2
2023-10-20,5,-1,4,False,False,145,-0.46,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,81,22,1,82,2
2023-10-20,6,-1,5,False,False,128,-0.51,All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,78,16,1,84,7
2023-10-20,7,+1,8,False,False,125,-0.21,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,48,43,1,72,1
2023-10-20,8,-2,6,False,False,119,-0.5,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,72,13,2,62,1
2023-10-20,9,+54,63,True,True,117,4.09,Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),14,4,11,70,12,22,700000,12000,1100000,0.39,0.01,0.61,1812000,104,7,6,9,11,2
2023-10-20,10,-3,7,False,False,101,-0.51,22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,63,4,1,79,5
2023-10-20,11,RE,--,True,False,77,--,Automatic,Red Velvet,The 1st Mini Album ‘Ice Cream Cake’,10,3,9,50,9,18,500000,9000,900000,0.35,0.01,0.64,1409000,77,0,0,11,11,1
2023-10-20,12,+8,20,False,False,71,0.37,The Story of Us (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,16,13,1,16,1
2023-10-20,13,+3,16,False,False,68,0.28,You Belong with Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),6,4,3,30,12,6,300000,12000,300000,0.49,0.02,0.49,612000,48,16,4,1,56,4
2023-10-20,14,-1,13,False,False,66,-0.07,A Thousand Miles,Vanessa Carlton,Be Not Nobody,3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,22,18,1,8,2
2023-10-20,15,-5,10,False,False,64,-0.19,‘tis the damn season,Taylor Swift,evermore,2,1,2,10,3,4,100000,3000,200000,0.33,0.01,0.66,303000,17,24,23,1,42,1
2023-10-20,16,+1,17,False,False,64,0.21,Sensitive,Loossemble,LOOSSEMBLE,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,16,14,3,6,1
2023-10-20,17,-8,9,False,False,65,-0.44,Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,35,20,1,53,8
2023-10-20,18,RE,--,False,False,59,--,Countdown,Beyoncé,4,8,1,8,40,3,16,400000,3000,800000,0.33,0.0,0.67,1203000,59,0,0,8,4,1
2023-10-20,19,+10,29,False,False,58,0.49,FEARLESS,LE SSERAFIM,FEARLESS,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,12,12,1,58,3
2023-10-20,20,-5,15,False,False,57,-0.08,BYOB (bring your own best friend),Billlie,Billlie 'BYOB (bring your own best friend)',3,3,1,15,9,2,150000,9000,100000,0.58,0.03,0.39,259000,26,19,12,3,4,1
2023-10-20,21,+6,27,False,False,57,0.39,She's So Mean,Matchbox Twenty,North (Deluxe Edition),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,13,10,4,19,1
