Week,Position,Rise/Fall,Previous Rank,New Peak?,Total Weighted Points,%,Song,Artist,Album,Streams,Sales,Airplay,Streams Points,Sales Points,Airplay Points,Streams Units,Sales Units,Airplay Units,Streams %,Sales %,Airplay %,Total Units,Current Week Points,Previous Week Points,Two Weeks Ago Points,Peak,WOC
2023-06-30,1,RE,--,True,434,--,Happy,WJSN,HAPPY MOMENT (1),54,54,1,270,162,2,2700000,162000,100000,0.91,0.05,0.03,2962000,434,0,0,1,24
2023-06-30,2,RE,--,True,426,--,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',53,53,1,265,159,2,2650000,159000,100000,0.91,0.05,0.03,2909000,426,0,0,2,20
2023-06-30,3,RE,--,True,418,--,Hurt,NewJeans,NewJeans 1st EP 'New Jeans',52,52,1,260,156,2,2600000,156000,100000,0.91,0.05,0.04,2856000,418,0,0,3,22
2023-06-30,4,RE,--,True,418,--,BeBe,WJSN,The Secret,52,52,1,260,156,2,2600000,156000,100000,0.91,0.05,0.04,2856000,418,0,0,4,7
2023-06-30,5,NEW,--,True,275,--,Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,35,28,8,175,84,16,1750000,84000,800000,0.66,0.03,0.3,2634000,275,0,0,5,1
2023-06-30,6,=,6,False,276,4.33,Snow on the Beach (feat. more Lana Del Rey),Taylor Swift,Midnights (The Til Dawn Edition),29,3,27,145,9,54,1450000,9000,2700000,0.35,0.0,0.65,4159000,208,39,29,1,6
2023-06-30,7,RE,--,True,202,--,섬찟 (Hypnosis),IVE,I've IVE,25,25,1,125,75,2,1250000,75000,100000,0.88,0.05,0.07,1425000,202,0,0,7,6
2023-06-30,8,RE,--,True,192,--,Stay Numb and Carry On,Madison Beer,Life Support,27,1,27,135,3,54,1350000,3000,2700000,0.33,0.0,0.67,4053000,192,0,0,8,10
2023-06-30,9,RE,--,False,170,--,Begin Again (Taylor's Version),Taylor Swift,Red (Taylor's Version),24,4,19,120,12,38,1200000,12000,1900000,0.39,0.0,0.61,3112000,170,0,0,6,42
2023-06-30,10,-7,3,False,164,-0.24,Clouds,Any Name's Okay,Clouds,7,5,3,35,15,6,350000,15000,300000,0.53,0.02,0.45,665000,56,74,34,2,4
2023-06-30,11,-9,2,False,153,-0.71,Intertwined,dodie,Intertwined - EP,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,119,0,2,10
2023-06-30,12,-11,1,False,139,-0.85,Bigger Than the Whole Sky,Taylor Swift,Midnights (3am Edition),2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,121,0,1,13
2023-06-30,13,-9,4,False,125,-0.29,I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,48,43,1,51
2023-06-30,14,-9,5,False,109,-0.19,Kung 'Di Rin Lang Ikaw,December Avenue,Kung 'Di Rin Lang Ikaw,4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,42,33,2,15
2023-06-30,15,-7,8,False,98,0.2,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),5,5,1,25,15,2,250000,15000,100000,0.68,0.04,0.27,365000,42,35,21,2,65
2023-06-30,16,-7,9,False,94,0.0,You Belong with Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),4,4,1,20,12,2,200000,12000,100000,0.64,0.04,0.32,312000,34,34,26,1,49
2023-06-30,17,+2,19,False,80,1.53,Midnight Rain,Taylor Swift,Midnights (3am Edition),6,4,3,30,12,6,300000,12000,300000,0.49,0.02,0.49,612000,48,19,13,1,30
2023-06-30,18,+45,63,False,75,4.27,22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),8,4,3,40,12,6,400000,12000,300000,0.56,0.02,0.42,712000,58,11,6,1,64
2023-06-30,19,-12,7,False,73,-0.72,Ditto,NewJeans,Ditto,1,1,1,5,3,2,50000,3000,100000,0.33,0.02,0.65,153000,10,36,27,1,23
2023-06-30,20,-7,13,False,70,-0.33,Cruel Summer,Taylor Swift,Lover,2,2,1,10,6,2,100000,6000,100000,0.49,0.03,0.49,206000,18,27,25,1,40
