Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2023-10-20,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE - Platinum Edition,Beyoncé,2,1,2
2023-10-20,Countdown,4,Beyoncé,8,1,8
2023-10-20,Dear Reader,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Would've Could've Should've,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Glitch,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,High Infidelity,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Paris,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Bigger Than the Whole Sky,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,The Great War,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Mastermind,Midnights (3am Edition),Taylor Swift,3,3,1
2023-10-20,Karma,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Sweet Nothing,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Labyrinth,Midnights (3am Edition),Taylor Swift,3,3,1
2023-10-20,Bejeweled,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Vigilante Shit,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Question...?,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,You're on Your Own Kid,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Midnight Rain,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Snow on the Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Anti-Hero,Midnights (3am Edition),Taylor Swift,4,3,2
2023-10-20,Cruel Summer - Live from TS | The Eras Tour,The Cruelest Summer,Taylor Swift,60,60,1
2023-10-20,Cruel Summer,The Cruelest Summer,Taylor Swift,58,57,2
2023-10-20,Cruel Summer - LP Giobbi Remix,The Cruelest Summer,Taylor Swift,58,57,2
2023-10-20,Maroon,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Lavender Haze,Midnights (3am Edition),Taylor Swift,2,2,1
2023-10-20,Mine (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,4,4,1
2023-10-20,Long Live (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Haunted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Innocent (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,5,3,3
2023-10-20,Enchanted (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,The Story of Us (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,4,4,1
2023-10-20,Mean (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Dear John (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Speak Now (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Back to December (Taylor's Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,Automatic,Ice Cream Cake - The 1st Mini Album,Red Velvet,8,1,8
2023-10-20,I Can See You (Taylor’s Version) (From the Vault),Speak Now (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,When Emma Falls in Love (Taylor’s Version) (From the Vault),Speak Now (Taylor's Version),Taylor Swift,2,2,1
2023-10-20,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From the Vault),Speak Now (Taylor's Version),Taylor Swift,2,2,1
2023-10-20,Superman (Taylor’s Version),Speak Now (Taylor's Version),Taylor Swift,6,2,5
2023-10-20,Ours (Taylor’s Version),Speak Now (Taylor's Version),Taylor Swift,2,2,1
2023-10-20,Timeless (Taylor’s Version) (From the Vault),Speak Now (Taylor's Version),Taylor Swift,1,1,1
2023-10-20,Foolish One (Taylor’s Version) (From the Vault),Speak Now (Taylor's Version),Taylor Swift,1,1,1
2023-10-20,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From the Vault),Speak Now (Taylor's Version),Taylor Swift,1,1,1
2023-10-20,Sensitive,LOOSSEMBLE,Loossemble,3,3,1
2023-10-20,ME! (feat. Brendon Urie of Panic! at the Disco),Lover,Taylor Swift,3,3,1
2023-10-20,Huwag Na Huwag Mong Sasabihin...,Kitchie Nadal,Kitchie Nadal,3,3,1
2023-10-20,Get Up,NewJeans 2nd EP 'Get Up',NewJeans,3,3,1
2023-10-20,Real world,LOOSSEMBLE,Loossemble,3,3,1
2023-10-20,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,25,25,1
2023-10-20,I'ma Walk Right In,I'ma Walk Right In,CG5,3,3,1
2023-10-20,Gasoline (feat. Taylor Swift),Women in Music Pt III (Expanded Edition),HAIM,3,3,1
2023-10-20,Day by day,LOOSSEMBLE,Loossemble,3,3,1
2023-10-20,Midnight Rain,Midnights,Taylor Swift,3,3,1
2023-10-20,BYOB (bring your own best friend),Billlie 'BYOB (bring your own best friend)',Billlie,3,3,1
2023-10-20,ETA,NewJeans 2nd EP 'Get Up',NewJeans,3,3,1
2023-10-20,Intro: Searching for their friends,LOOSSEMBLE,Loossemble,3,3,1
2023-10-20,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,25,25,1
2023-10-20,bad idea right?,GUTS,Olivia Rodrigo,3,3,1
2023-10-20,Talk that Talk,BETWEEN 1&2,TWICE,3,3,1
2023-10-20,Juicy,Amala (Deluxe Version),Doja Cat,4,4,1
2023-10-20,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,10,5,6
2023-10-20,Never Grow Up,Never Grow Up,CG5,3,3,1
2023-10-20,Alapaap,Circus,Eraserheads,3,3,1
2023-10-20,A Thousand Miles,Be Not Nobody,Vanessa Carlton,3,3,1
2023-10-20,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,25,25,1
2023-10-20,Deli,Like..? (Deluxe),Ice Spice,3,3,1
2023-10-20,FEARLESS,FEARLESS,LE SSERAFIM,3,3,1
2023-10-20,She's So Mean,North (Deluxe Edition),Matchbox Twenty,3,3,1
2023-10-20,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,25,25,1
2023-10-20,Strawberry soda,LOOSSEMBLE,Loossemble,1,1,1
2023-10-20,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,3,3,1
2023-10-20,I Have A Hole In My Tooth (And My Dentist is Shut),Intertwined - EP,dodie,1,1,1
2023-10-20,Cool With You,NewJeans 2nd EP 'Get Up',NewJeans,2,2,1
2023-10-20,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From the Vault),Red (Taylor's Version),Taylor Swift,3,1,3
2023-10-20,ESPRESSO,Formula of Love: O+T=<3,TWICE,3,3,1
2023-10-20,LAST WALTZ,Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,F.I.L.A (Fall in Love Again),Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,REAL YOU,Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,CRUEL,Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,ICON,Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,MOONLIGHT,Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,SCIENTIST,Formula of Love: O+T=<3,TWICE,4,4,1
2023-10-20,Scientist (R3HAB Remix),Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,The Feels,Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,CANDY,Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,1 3 2 (JEONGYEON MINA TZUYU),Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,HELLO (NAYEON MOMO CHAEYOUNG),Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,PUSH & PULL (JIHYO SANA DAHYUN),Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,CACTUS,Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,REWIND,Formula of Love: O+T=<3,TWICE,2,2,1
2023-10-20,Hurt,NewJeans 1st EP 'New Jeans',NewJeans,2,2,1
2023-10-20,Cookie,NewJeans 1st EP 'New Jeans',NewJeans,2,2,1
2023-10-20,Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2,2,1
