Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2023-04-14,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,3,3,1
2023-04-14,PAXXWORD,expérgo,NMIXX,16,16,1
2023-04-14,Kitsch,I've IVE,IVE,6,6,1
2023-04-14,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,19,8,8
2023-04-14,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),Taylor Swift,38,8,18
2023-04-14,If This Was a Movie (Taylor’s Version),If This Was a Movie (Taylor’s Version),Taylor Swift,33,8,16
2023-04-14,BOYS LIKE YOU,BOYS LIKE YOU,dodie,5,5,1
2023-04-14,hot mess,Hot Mess,dodie,6,6,1
2023-04-14,Cate’s Brother,Cate’s Brother,Maisie Peters,3,3,1
2023-04-14,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,53,9,18
2023-04-14,You Belong with Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,57,9,28
2023-04-14,secret for the mad,You - EP,dodie,3,3,1
2023-04-14,Lonely Bones,Hot Mess,dodie,4,4,1
2023-04-14,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,8,5,4
2023-04-14,Holy Ground (Taylor's Version),Red (Taylor's Version),Taylor Swift,28,7,12
2023-04-14,Guiltless,Guiltless,dodie,3,3,1
2023-04-14,Boy's a liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,4,4,1
2023-04-14,Under / Over,minor,Gracie Abrams,7,7,1
2023-04-14,OMG,NewJeans 'OMG',NewJeans,4,4,1
2023-04-14,LOVE DIVE,LOVE DIVE,IVE,4,4,1
2023-04-14,My Gosh,expérgo,NMIXX,16,16,1
2023-04-14,I’m Trying (Not Friends),You Signed Up For This,Maisie Peters,4,4,1
2023-04-14,Young Dumb Stupid,expérgo,NMIXX,16,16,1
2023-04-14,We Were Happy (Taylor’s Version) (From the Vault),Fearless (Taylor's Version),Taylor Swift,6,4,3
2023-04-14,Just Did It,expérgo,NMIXX,16,16,1
2023-04-14,HOME,expérgo,NMIXX,16,16,1
2023-04-14,Body Better,Body Better,Maisie Peters,3,3,1
2023-04-14,Love Me Like This,expérgo,NMIXX,16,16,1
2023-04-14,HEROINE,I've IVE,IVE,23,22,2
2023-04-14,illicit affairs,folklore,Taylor Swift,1,1,1
2023-04-14,this is me trying,folklore,Taylor Swift,2,2,1
2023-04-14,august,folklore,Taylor Swift,1,1,1
2023-04-14,seven,folklore,Taylor Swift,1,1,1
2023-04-14,mirrorball,folklore,Taylor Swift,1,1,1
2023-04-14,my tears ricochet,folklore,Taylor Swift,1,1,1
2023-04-14,exile (feat. Bon Iver),folklore,Taylor Swift,2,2,1
2023-04-14,the last great american dynasty,folklore,Taylor Swift,1,1,1
2023-04-14,cardigan,folklore,Taylor Swift,2,2,1
2023-04-14,the 1,folklore,Taylor Swift,2,2,1
2023-04-14,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,Change (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2023-04-14,The Best Day (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2023-04-14,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2023-04-14,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,White Horse (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,3,3,1
2023-04-14,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,1,1,1
2023-04-14,Love Story (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,3,3,1
2023-04-14,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,11,4,8
2023-04-14,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,7,4,4
2023-04-14,Begin Again (Taylor's Version),Red (Taylor's Version),Taylor Swift,8,3,5
2023-04-14,Starlight (Taylor's Version),Red (Taylor's Version),Taylor Swift,1,1,1
2023-04-14,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,4,4,1
2023-04-14,The Lucky One (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),Taylor Swift,14,2,13
2023-04-14,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),Taylor Swift,13,6,4
2023-04-14,I Almost Do (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,Treacherous (Taylor's Version),Red (Taylor's Version),Taylor Swift,6,2,5
2023-04-14,Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,11,5,7
2023-04-14,State of Grace (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-14,NYMPHOLOGY,PORTALS,Melanie Martinez,8,1,8
2023-04-14,minor,minor,Gracie Abrams,5,5,1
2023-04-14,Glue Song,Glue Song,beabadoobee,1,1,1
2023-04-14,Mr Loverman,Montgomery Ricky,Ricky Montgomery,1,1,1
2023-04-14,Kyoto,Punisher,Phoebe Bridgers,1,1,1
2023-04-14,Sofia,Immunity,Clairo,1,1,1
2023-04-14,EVIL,PORTALS,Melanie Martinez,1,1,1
2023-04-14,21,minor,Gracie Abrams,5,5,1
2023-04-14,섬찟 (Hypnosis),I've IVE,IVE,21,21,1
2023-04-14,Mine,I've IVE,IVE,15,15,1
2023-04-14,Ditto,NewJeans 'OMG',NewJeans,3,3,1
2023-04-14,Excuse,Minecraft - Volume Alpha,C418,5,5,1
2023-04-14,Thirteen,Minecraft - Volume Alpha,C418,4,4,1
2023-04-14,Chris,Minecraft - Volume Alpha,C418,5,5,1
2023-04-14,Clark,Minecraft - Volume Alpha,C418,5,5,1
2023-04-14,Wet Hands,Minecraft - Volume Alpha,C418,3,3,1
2023-04-14,Dry Hands,Minecraft - Volume Alpha,C418,5,5,1
2023-04-14,Mice on Venus,Minecraft - Volume Alpha,C418,4,4,1
2023-04-14,Équinoxe,Minecraft - Volume Alpha,C418,5,5,1
2023-04-14,Oxygène,Minecraft - Volume Alpha,C418,5,5,1
2023-04-14,Minecraft,Minecraft - Volume Alpha,C418,3,3,1
