Week,Song Name,Album Name,Artist Name,Streams,Sales,Airplay
2023-04-07,Forever & Always (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,12,3,10
2023-04-07,You Belong with Me (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,33,7,14
2023-04-07,Daylight,Lover,Taylor Swift,1,1,1
2023-04-07,Paris,Midnights (3am Edition),Taylor Swift,2,2,1
2023-04-07,Call It What You Want,Reputation,Taylor Swift,1,1,1
2023-04-07,King of My Heart,Reputation,Taylor Swift,1,1,1
2023-04-07,Sweet Nothing,Midnights (3am Edition),Taylor Swift,2,2,1
2023-04-07,I Think He Knows,Lover,Taylor Swift,1,1,1
2023-04-07,Lavender Haze,Midnights (3am Edition),Taylor Swift,2,2,1
2023-04-07,Dress,Reputation,Taylor Swift,1,1,1
2023-04-07,the lakes - bonus track,folklore (deluxe version),Taylor Swift,1,1,1
2023-04-07,...Ready for It?,Reputation,Taylor Swift,2,2,1
2023-04-07,Delicate,Reputation,Taylor Swift,2,2,1
2023-04-07,invisible string,folklore,Taylor Swift,1,1,1
2023-04-07,Lover,Lover,Taylor Swift,5,5,1
2023-04-07,Love Me Like This,expérgo,NMIXX,7,7,1
2023-04-07,All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,4,4,1
2023-04-07,BOYS LIKE YOU,BOYS LIKE YOU,dodie,66,64,3
2023-04-07,Bejeweled,Midnights (3am Edition),Taylor Swift,3,3,1
2023-04-07,You Signed Up For This,You Signed Up For This,Maisie Peters,3,3,1
2023-04-07,Boy's a liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,37,5,20
2023-04-07,Young Dumb Stupid,expérgo,NMIXX,3,3,1
2023-04-07,Fearless (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,5,5,1
2023-04-07,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM,2,2,1
2023-04-07,I’m Trying (Not Friends),You Signed Up For This,Maisie Peters,3,3,1
2023-04-07,DICE,ENTWURF,NMIXX,13,13,1
2023-04-07,If This Was a Movie (Taylor’s Version),If This Was a Movie (Taylor’s Version),Taylor Swift,3,3,1
2023-04-07,LOVE DIVE,LOVE DIVE,IVE,2,2,1
2023-04-07,Body Better,Body Better,Maisie Peters,3,3,1
2023-04-07,Just Did It,expérgo,NMIXX,6,6,1
2023-04-07,Holy Ground (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-07,Guiltless,Guiltless,dodie,47,47,1
2023-04-07,OMG,NewJeans 'OMG',NewJeans,6,6,1
2023-04-07,HOME,expérgo,NMIXX,6,6,1
2023-04-07,Midnight Rain,Midnights (3am Edition),Taylor Swift,10,4,5
2023-04-07,Lonely Bones,Hot Mess,dodie,49,49,1
2023-04-07,Kitsch,Kitsch,IVE,2,2,1
2023-04-07,My Gosh,expérgo,NMIXX,6,6,1
2023-04-07,22 (Taylor's Version),Red (Taylor's Version),Taylor Swift,2,2,1
2023-04-07,hot mess,Hot Mess,dodie,64,63,2
2023-04-07,Cate’s Brother,Cate’s Brother,Maisie Peters,9,9,1
2023-04-07,PAXXWORD,expérgo,NMIXX,6,6,1
2023-04-07,secret for the mad,You - EP,dodie,59,59,1
2023-04-07,Ditto,NewJeans 'OMG',NewJeans,6,6,1
2023-04-07,happiness,evermore,Taylor Swift,9,2,5
2023-04-07,Under / Over,minor,Gracie Abrams,6,6,1
2023-04-07,21,minor,Gracie Abrams,6,6,1
2023-04-07,Ego,I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,Video Phone,I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,Sweet Dreams,I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,Radio,I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,Broken-Hearted Girl,I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,If I Were a Boy,I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,If,B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Listen (from the Motion Picture Dreamgirls),B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Resentment,B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Deja Vu (feat. Jay-Z),B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Freakum Dress,B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,World Wide Woman,B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Upgrade U (feat. Jay-Z),B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Green Light,B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Dangerously In Love,Dangerously in Love,Beyoncé,1,1,1
2023-04-07,Signs (feat. Missy Elliott),Dangerously in Love,Beyoncé,1,1,1
2023-04-07,Me Myself and I,Dangerously in Love,Beyoncé,1,1,1
2023-04-07,Naughty Girl,Dangerously in Love,Beyoncé,1,1,1
2023-04-07,Top Off - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,1,1,1
2023-04-07,Formation,Lemonade,Beyoncé,1,1,1
2023-04-07,***Flawless (feat. Chimamanda Ngozi Adichie),BEYONCÉ [Platinum Edition],Beyoncé,1,1,1
2023-04-07,Countdown,4,Beyoncé,2,2,1
2023-04-07,Single Ladies (Put a Ring on It),I Am...Sasha Fierce,Beyoncé,1,1,1
2023-04-07,Irreplaceable,B'Day Deluxe Edition,Beyoncé,1,1,1
2023-04-07,Crazy in Love (feat. JAY-Z),Dangerously in Love,Beyoncé,1,1,1
2023-04-07,Nothing Else Matters,Glory Days (Expanded Edition),Little Mix,1,1,1
2023-04-07,Right Now,Good Riddance,Gracie Abrams,1,1,1
2023-04-07,Block me out,Block Me Out,Gracie Abrams,1,1,1
2023-04-07,Stay Young,Stay Young,Maisie Peters,1,1,1
2023-04-07,Long Sleeves,minor,Gracie Abrams,2,2,1
2023-04-07,Not Another Rockstar,Not Another Rockstar,Maisie Peters,1,1,1
2023-04-07,Will you cry?,Good Riddance,Gracie Abrams,1,1,1
2023-04-07,Blonde,Blonde,Maisie Peters,1,1,1
2023-04-07,Amelie,Good Riddance,Gracie Abrams,1,1,1
2023-04-07,Boy,You Signed Up For This,Maisie Peters,2,1,2
2023-04-07,Rolling in the Deep,21,Adele,1,1,1
2023-04-07,What the Hell,Goodbye Lullaby (Expanded Edition),Avril Lavigne,1,1,1
2023-04-07,Thot Shit,Something for Thee Hotties,Megan Thee Stallion,1,1,1
2023-04-07,Mess It Up,Mess It Up,Gracie Abrams,1,1,1
2023-04-07,John Hughes Movie,You Signed Up For This,Maisie Peters,2,2,1
2023-04-07,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),Taylor Swift,1,1,1
2023-04-07,Best,Good Riddance,Gracie Abrams,2,2,1
2023-04-07,Cate’s Brother - Matt's Version,Cate’s Brother (Matt's Version),Maisie Peters,1,1,1
